linha=1 | nome=Igor | acao=estudou computacao | valor=3970
linha=2 | nome=Tiago | acao=otimizou o algoritmo | valor=9093
linha=3 | nome=Renata | acao=escreveu o relatorio | valor=1476
linha=4 | nome=Karen | acao=analisou os resultados | valor=7209
linha=5 | nome=Gabriela | acao=escreveu o relatorio | valor=6243
linha=6 | nome=Tiago | acao=fez um experimento | valor=1246
linha=7 | nome=Karen | acao=participou da aula | valor=2217
linha=8 | nome=Natalia | acao=executou o benchmark | valor=2164
linha=9 | nome=Daniela | acao=estudou computacao | valor=3975
linha=10 | nome=Paulo | acao=estudou computacao | valor=6443
linha=11 | nome=Tiago | acao=estudou computacao | valor=2160
linha=12 | nome=Vitor | acao=otimizou o algoritmo | valor=7003
linha=13 | nome=Mariana | acao=fez um experimento | valor=5094
linha=14 | nome=Vitor | acao=otimizou o algoritmo | valor=6499
linha=15 | nome=Natalia | acao=escreveu o relatorio | valor=2573
linha=16 | nome=Ana | acao=escreveu o relatorio | valor=4093
linha=17 | nome=Daniela | acao=estudou computacao | valor=5807
linha=18 | nome=Eduarda | acao=escreveu o relatorio | valor=6479
linha=19 | nome=Daniela | acao=participou da aula | valor=3759
linha=20 | nome=Renata | acao=escreveu o relatorio | valor=1328
linha=21 | nome=Mariana | acao=analisou os resultados | valor=7983
linha=22 | nome=Gabriela | acao=executou o benchmark | valor=3522
linha=23 | nome=Sofia | acao=fez um experimento | valor=9031
linha=24 | nome=Paulo | acao=participou da aula | valor=3679
linha=25 | nome=Tiago | acao=participou da aula | valor=5652
linha=26 | nome=Daniela | acao=otimizou o algoritmo | valor=5402
linha=27 | nome=Tiago | acao=comparou as metricas | valor=4672
linha=28 | nome=Carlos | acao=fez um experimento | valor=4433
linha=29 | nome=Bruno | acao=otimizou o algoritmo | valor=5904
linha=30 | nome=Natalia | acao=otimizou o algoritmo | valor=9741
linha=31 | nome=Bruno | acao=fez um experimento | valor=7481
linha=32 | nome=Lucas | acao=analisou os resultados | valor=4441
linha=33 | nome=Ana | acao=participou da aula | valor=9065
linha=34 | nome=Joao | acao=analisou os resultados | valor=2291
linha=35 | nome=Bruno | acao=fez um experimento | valor=8006
linha=36 | nome=Renata | acao=participou da aula | valor=5342
linha=37 | nome=Karen | acao=fez um experimento | valor=1774
linha=38 | nome=Felipe | acao=fez um experimento | valor=9331
linha=39 | nome=Gabriela | acao=comparou as metricas | valor=9766
linha=40 | nome=Daniela | acao=executou o benchmark | valor=8374
linha=41 | nome=Tiago | acao=comparou as metricas | valor=4269
linha=42 | nome=Lucas | acao=estudou computacao | valor=3780
linha=43 | nome=Igor | acao=participou da aula | valor=8894
linha=44 | nome=Lucas | acao=otimizou o algoritmo | valor=6323
linha=45 | nome=Lucas | acao=participou da aula | valor=6673
linha=46 | nome=Natalia | acao=otimizou o algoritmo | valor=8987
linha=47 | nome=Tiago | acao=executou o benchmark | valor=5266
linha=48 | nome=Karen | acao=comparou as metricas | valor=2290
linha=49 | nome=Lucas | acao=escreveu o relatorio | valor=6088
linha=50 | nome=Lucas | acao=otimizou o algoritmo | valor=5675
linha=51 | nome=Bruno | acao=fez um experimento | valor=3253
linha=52 | nome=Vitor | acao=analisou os resultados | valor=9131
linha=53 | nome=Ana | acao=estudou computacao | valor=1064
linha=54 | nome=Helena | acao=analisou os resultados | valor=2206
linha=55 | nome=Igor | acao=fez um experimento | valor=9510
linha=56 | nome=Gabriela | acao=analisou os resultados | valor=3842
linha=57 | nome=Mariana | acao=analisou os resultados | valor=9410
linha=58 | nome=Igor | acao=comparou as metricas | valor=4590
linha=59 | nome=Vitor | acao=estudou computacao | valor=9507
linha=60 | nome=Paulo | acao=executou o benchmark | valor=5993
linha=61 | nome=Otavio | acao=comparou as metricas | valor=4960
linha=62 | nome=Natalia | acao=estudou computacao | valor=2352
linha=63 | nome=Eduarda | acao=escreveu o relatorio | valor=3243
linha=64 | nome=Natalia | acao=escreveu o relatorio | valor=7800
linha=65 | nome=Otavio | acao=escreveu o relatorio | valor=8688
linha=66 | nome=Bruno | acao=executou o benchmark | valor=8302
linha=67 | nome=Bruno | acao=estudou computacao | valor=9036
linha=68 | nome=Natalia | acao=otimizou o algoritmo | valor=4386
linha=69 | nome=Helena | acao=participou da aula | valor=9011
linha=70 | nome=Natalia | acao=participou da aula | valor=7518
linha=71 | nome=Bruno | acao=participou da aula | valor=8860
linha=72 | nome=Mariana | acao=estudou computacao | valor=2732
linha=73 | nome=Ana | acao=fez um experimento | valor=4856
linha=74 | nome=Gabriela | acao=executou o benchmark | valor=4380
linha=75 | nome=Tiago | acao=comparou as metricas | valor=6852
linha=76 | nome=Otavio | acao=analisou os resultados | valor=8588
linha=77 | nome=Mariana | acao=fez um experimento | valor=3802
linha=78 | nome=Felipe | acao=fez um experimento | valor=1921
linha=79 | nome=Igor | acao=otimizou o algoritmo | valor=1055
linha=80 | nome=Gabriela | acao=estudou computacao | valor=9860
linha=81 | nome=Helena | acao=otimizou o algoritmo | valor=2978
linha=82 | nome=Bruno | acao=otimizou o algoritmo | valor=6542
linha=83 | nome=Sofia | acao=comparou as metricas | valor=4208
linha=84 | nome=Helena | acao=fez um experimento | valor=8850
linha=85 | nome=Natalia | acao=analisou os resultados | valor=4974
linha=86 | nome=Igor | acao=estudou computacao | valor=4753
linha=87 | nome=Lucas | acao=escreveu o relatorio | valor=5786
linha=88 | nome=Bruno | acao=executou o benchmark | valor=2100
linha=89 | nome=Lucas | acao=otimizou o algoritmo | valor=4894
linha=90 | nome=Bruno | acao=otimizou o algoritmo | valor=4402
linha=91 | nome=Ana | acao=estudou computacao | valor=3297
linha=92 | nome=Bruno | acao=escreveu o relatorio | valor=3125
linha=93 | nome=Vitor | acao=estudou computacao | valor=8608
linha=94 | nome=Otavio | acao=fez um experimento | valor=2746
linha=95 | nome=Sofia | acao=analisou os resultados | valor=7806
linha=96 | nome=Felipe | acao=comparou as metricas | valor=7526
linha=97 | nome=Felipe | acao=estudou computacao | valor=2530
linha=98 | nome=Otavio | acao=comparou as metricas | valor=9401
linha=99 | nome=Otavio | acao=escreveu o relatorio | valor=3713
