linha=1 | nome=Sofia | acao=escreveu o relatorio | valor=2453
linha=2 | nome=Sofia | acao=otimizou o algoritmo | valor=1968
linha=3 | nome=Gabriela | acao=estudou computacao | valor=8663
linha=4 | nome=Gabriela | acao=participou da aula | valor=3406
linha=5 | nome=Sofia | acao=participou da aula | valor=7900
linha=6 | nome=Tiago | acao=estudou computacao | valor=5874
linha=7 | nome=Eduarda | acao=analisou os resultados | valor=8015
linha=8 | nome=Felipe | acao=comparou as metricas | valor=2631
linha=9 | nome=Sofia | acao=otimizou o algoritmo | valor=8620
linha=10 | nome=Sofia | acao=fez um experimento | valor=1815
linha=11 | nome=Renata | acao=analisou os resultados | valor=4400
linha=12 | nome=Igor | acao=otimizou o algoritmo | valor=4443
linha=13 | nome=Ana | acao=analisou os resultados | valor=1067
linha=14 | nome=Otavio | acao=otimizou o algoritmo | valor=8500
linha=15 | nome=Joao | acao=analisou os resultados | valor=7564
linha=16 | nome=Renata | acao=estudou computacao | valor=8147
linha=17 | nome=Sofia | acao=participou da aula | valor=1577
linha=18 | nome=Daniela | acao=escreveu o relatorio | valor=7783
linha=19 | nome=Lucas | acao=estudou computacao | valor=2678
linha=20 | nome=Otavio | acao=estudou computacao | valor=5259
linha=21 | nome=Bruno | acao=executou o benchmark | valor=4411
linha=22 | nome=Helena | acao=estudou computacao | valor=1858
linha=23 | nome=Carlos | acao=estudou computacao | valor=9972
linha=24 | nome=Eduarda | acao=analisou os resultados | valor=8163
linha=25 | nome=Joao | acao=participou da aula | valor=6899
linha=26 | nome=Tiago | acao=otimizou o algoritmo | valor=7194
linha=27 | nome=Daniela | acao=comparou as metricas | valor=6039
linha=28 | nome=Otavio | acao=fez um experimento | valor=6033
linha=29 | nome=Helena | acao=analisou os resultados | valor=3660
linha=30 | nome=Mariana | acao=otimizou o algoritmo | valor=6096
linha=31 | nome=Eduarda | acao=executou o benchmark | valor=4527
linha=32 | nome=Lucas | acao=escreveu o relatorio | valor=7574
linha=33 | nome=Gabriela | acao=comparou as metricas | valor=6267
linha=34 | nome=Paulo | acao=analisou os resultados | valor=8780
linha=35 | nome=Tiago | acao=executou o benchmark | valor=4431
linha=36 | nome=Paulo | acao=fez um experimento | valor=1705
linha=37 | nome=Tiago | acao=estudou computacao | valor=2847
linha=38 | nome=Otavio | acao=analisou os resultados | valor=5408
linha=39 | nome=Mariana | acao=executou o benchmark | valor=5088
linha=40 | nome=Gabriela | acao=executou o benchmark | valor=5675
linha=41 | nome=Carlos | acao=escreveu o relatorio | valor=8217
linha=42 | nome=Renata | acao=fez um experimento | valor=6768
linha=43 | nome=Bruno | acao=otimizou o algoritmo | valor=8443
linha=44 | nome=Karen | acao=comparou as metricas | valor=3415
linha=45 | nome=Joao | acao=escreveu o relatorio | valor=5063
linha=46 | nome=Felipe | acao=participou da aula | valor=1907
linha=47 | nome=Otavio | acao=fez um experimento | valor=1911
linha=48 | nome=Renata | acao=escreveu o relatorio | valor=3805
linha=49 | nome=Igor | acao=analisou os resultados | valor=3019
linha=50 | nome=Natalia | acao=escreveu o relatorio | valor=8670
linha=51 | nome=Bruno | acao=fez um experimento | valor=5114
linha=52 | nome=Mariana | acao=comparou as metricas | valor=2859
linha=53 | nome=Tiago | acao=escreveu o relatorio | valor=1570
linha=54 | nome=Lucas | acao=estudou computacao | valor=2685
linha=55 | nome=Joao | acao=participou da aula | valor=6907
linha=56 | nome=Joao | acao=executou o benchmark | valor=2617
linha=57 | nome=Daniela | acao=fez um experimento | valor=8040
linha=58 | nome=Mariana | acao=executou o benchmark | valor=5262
linha=59 | nome=Igor | acao=fez um experimento | valor=9207
linha=60 | nome=Sofia | acao=participou da aula | valor=1918
linha=61 | nome=Paulo | acao=participou da aula | valor=7914
linha=62 | nome=Renata | acao=comparou as metricas | valor=2535
linha=63 | nome=Mariana | acao=estudou computacao | valor=3076
linha=64 | nome=Renata | acao=analisou os resultados | valor=6432
linha=65 | nome=Felipe | acao=escreveu o relatorio | valor=6598
linha=66 | nome=Felipe | acao=comparou as metricas | valor=2998
linha=67 | nome=Renata | acao=otimizou o algoritmo | valor=2422
linha=68 | nome=Otavio | acao=escreveu o relatorio | valor=9003
linha=69 | nome=Sofia | acao=analisou os resultados | valor=3772
linha=70 | nome=Carlos | acao=otimizou o algoritmo | valor=4163
linha=71 | nome=Natalia | acao=executou o benchmark | valor=8057
linha=72 | nome=Karen | acao=escreveu o relatorio | valor=2135
linha=73 | nome=Sofia | acao=estudou computacao | valor=5658
linha=74 | nome=Bruno | acao=participou da aula | valor=8568
linha=75 | nome=Bruno | acao=fez um experimento | valor=6673
linha=76 | nome=Natalia | acao=otimizou o algoritmo | valor=9568
linha=77 | nome=Lucas | acao=executou o benchmark | valor=7193
linha=78 | nome=Renata | acao=otimizou o algoritmo | valor=2167
linha=79 | nome=Natalia | acao=analisou os resultados | valor=3377
linha=80 | nome=Mariana | acao=comparou as metricas | valor=2562
linha=81 | nome=Daniela | acao=estudou computacao | valor=8061
linha=82 | nome=Eduarda | acao=estudou computacao | valor=3298
linha=83 | nome=Lucas | acao=executou o benchmark | valor=4472
linha=84 | nome=Igor | acao=executou o benchmark | valor=1141
linha=85 | nome=Bruno | acao=escreveu o relatorio | valor=5138
linha=86 | nome=Helena | acao=escreveu o relatorio | valor=2719
linha=87 | nome=Gabriela | acao=comparou as metricas | valor=1917
linha=88 | nome=Natalia | acao=comparou as metricas | valor=7496
linha=89 | nome=Bruno | acao=estudou computacao | valor=6559
linha=90 | nome=Bruno | acao=fez um experimento | valor=9945
linha=91 | nome=Paulo | acao=executou o benchmark | valor=3602
linha=92 | nome=Daniela | acao=otimizou o algoritmo | valor=1844
linha=93 | nome=Helena | acao=escreveu o relatorio | valor=1123
linha=94 | nome=Gabriela | acao=estudou computacao | valor=4368
linha=95 | nome=Sofia | acao=executou o benchmark | valor=6956
linha=96 | nome=Otavio | acao=comparou as metricas | valor=5968
linha=97 | nome=Helena | acao=executou o benchmark | valor=4684
linha=98 | nome=Felipe | acao=comparou as metricas | valor=7109
