linha=1 | nome=Bruno | acao=participou da aula | valor=3317
linha=2 | nome=Bruno | acao=participou da aula | valor=1792
linha=3 | nome=Carlos | acao=fez um experimento | valor=8018
linha=4 | nome=Carlos | acao=escreveu o relatorio | valor=3777
linha=5 | nome=Bruno | acao=executou o benchmark | valor=7301
linha=6 | nome=Felipe | acao=executou o benchmark | valor=1585
linha=7 | nome=Eduarda | acao=comparou as metricas | valor=2608
linha=8 | nome=Lucas | acao=escreveu o relatorio | valor=7445
linha=9 | nome=Tiago | acao=fez um experimento | valor=1427
linha=10 | nome=Ana | acao=comparou as metricas | valor=3998
linha=11 | nome=Felipe | acao=participou da aula | valor=9856
linha=12 | nome=Eduarda | acao=fez um experimento | valor=6420
linha=13 | nome=Paulo | acao=comparou as metricas | valor=8592
linha=14 | nome=Vitor | acao=analisou os resultados | valor=5621
linha=15 | nome=Carlos | acao=executou o benchmark | valor=3433
linha=16 | nome=Ana | acao=analisou os resultados | valor=4117
linha=17 | nome=Paulo | acao=participou da aula | valor=1492
linha=18 | nome=Lucas | acao=executou o benchmark | valor=3245
linha=19 | nome=Ana | acao=participou da aula | valor=5580
linha=20 | nome=Felipe | acao=executou o benchmark | valor=9711
linha=21 | nome=Otavio | acao=analisou os resultados | valor=7282
linha=22 | nome=Mariana | acao=otimizou o algoritmo | valor=7859
linha=23 | nome=Joao | acao=fez um experimento | valor=5661
linha=24 | nome=Gabriela | acao=analisou os resultados | valor=3498
linha=25 | nome=Igor | acao=comparou as metricas | valor=7947
linha=26 | nome=Gabriela | acao=executou o benchmark | valor=4448
linha=27 | nome=Tiago | acao=escreveu o relatorio | valor=1227
linha=28 | nome=Igor | acao=comparou as metricas | valor=6636
linha=29 | nome=Tiago | acao=participou da aula | valor=6538
linha=30 | nome=Daniela | acao=fez um experimento | valor=6607
linha=31 | nome=Igor | acao=escreveu o relatorio | valor=3745
linha=32 | nome=Tiago | acao=analisou os resultados | valor=1321
linha=33 | nome=Lucas | acao=analisou os resultados | valor=7412
linha=34 | nome=Carlos | acao=estudou computacao | valor=9658
linha=35 | nome=Karen | acao=participou da aula | valor=3099
linha=36 | nome=Natalia | acao=executou o benchmark | valor=3431
linha=37 | nome=Gabriela | acao=participou da aula | valor=6192
linha=38 | nome=Lucas | acao=participou da aula | valor=3201
linha=39 | nome=Vitor | acao=escreveu o relatorio | valor=5895
linha=40 | nome=Lucas | acao=escreveu o relatorio | valor=7445
linha=41 | nome=Natalia | acao=executou o benchmark | valor=1758
linha=42 | nome=Igor | acao=comparou as metricas | valor=8568
linha=43 | nome=Gabriela | acao=escreveu o relatorio | valor=7877
linha=44 | nome=Paulo | acao=escreveu o relatorio | valor=2209
linha=45 | nome=Carlos | acao=analisou os resultados | valor=1264
linha=46 | nome=Tiago | acao=participou da aula | valor=1539
linha=47 | nome=Helena | acao=estudou computacao | valor=3891
linha=48 | nome=Igor | acao=analisou os resultados | valor=8516
linha=49 | nome=Gabriela | acao=escreveu o relatorio | valor=4281
linha=50 | nome=Eduarda | acao=analisou os resultados | valor=2269
linha=51 | nome=Mariana | acao=executou o benchmark | valor=9496
linha=52 | nome=Felipe | acao=otimizou o algoritmo | valor=3756
linha=53 | nome=Daniela | acao=participou da aula | valor=3525
linha=54 | nome=Mariana | acao=participou da aula | valor=1606
linha=55 | nome=Gabriela | acao=estudou computacao | valor=9159
linha=56 | nome=Karen | acao=estudou computacao | valor=8055
linha=57 | nome=Daniela | acao=estudou computacao | valor=7764
linha=58 | nome=Renata | acao=comparou as metricas | valor=9875
linha=59 | nome=Mariana | acao=executou o benchmark | valor=5661
linha=60 | nome=Bruno | acao=estudou computacao | valor=1337
linha=61 | nome=Tiago | acao=participou da aula | valor=1203
linha=62 | nome=Renata | acao=escreveu o relatorio | valor=4224
linha=63 | nome=Tiago | acao=estudou computacao | valor=4048
linha=64 | nome=Otavio | acao=otimizou o algoritmo | valor=2156
linha=65 | nome=Bruno | acao=executou o benchmark | valor=8785
linha=66 | nome=Joao | acao=participou da aula | valor=4330
linha=67 | nome=Ana | acao=executou o benchmark | valor=5206
linha=68 | nome=Otavio | acao=otimizou o algoritmo | valor=3909
linha=69 | nome=Karen | acao=fez um experimento | valor=3331
linha=70 | nome=Mariana | acao=estudou computacao | valor=1880
linha=71 | nome=Felipe | acao=comparou as metricas | valor=1183
linha=72 | nome=Lucas | acao=otimizou o algoritmo | valor=6910
linha=73 | nome=Eduarda | acao=participou da aula | valor=9572
linha=74 | nome=Tiago | acao=estudou computacao | valor=7744
linha=75 | nome=Joao | acao=otimizou o algoritmo | valor=3648
linha=76 | nome=Tiago | acao=executou o benchmark | valor=3366
linha=77 | nome=Paulo | acao=estudou computacao | valor=9677
linha=78 | nome=Karen | acao=participou da aula | valor=5438
linha=79 | nome=Lucas | acao=otimizou o algoritmo | valor=8677
linha=80 | nome=Vitor | acao=participou da aula | valor=8988
linha=81 | nome=Natalia | acao=otimizou o algoritmo | valor=9300
linha=82 | nome=Gabriela | acao=fez um experimento | valor=1520
linha=83 | nome=Helena | acao=analisou os resultados | valor=3169
linha=84 | nome=Gabriela | acao=escreveu o relatorio | valor=1588
linha=85 | nome=Daniela | acao=otimizou o algoritmo | valor=7188
linha=86 | nome=Vitor | acao=participou da aula | valor=4694
linha=87 | nome=Helena | acao=analisou os resultados | valor=7509
linha=88 | nome=Vitor | acao=otimizou o algoritmo | valor=9201
linha=89 | nome=Renata | acao=executou o benchmark | valor=8088
linha=90 | nome=Daniela | acao=executou o benchmark | valor=5533
linha=91 | nome=Mariana | acao=fez um experimento | valor=8802
linha=92 | nome=Otavio | acao=estudou computacao | valor=9009
linha=93 | nome=Eduarda | acao=otimizou o algoritmo | valor=9437
linha=94 | nome=Renata | acao=analisou os resultados | valor=2179
linha=95 | nome=Bruno | acao=escreveu o relatorio | valor=7645
linha=96 | nome=Natalia | acao=analisou os resultados | valor=6464
linha=97 | nome=Carlos | acao=fez um experimento | valor=7875
linha=98 | nome=Otavio | acao=participou da aula | valor=4262
linha=99 | nome=Renata | acao=estudou computacao | valor=4214
linha=100 | nome=Vitor | acao=otimizou o algoritmo | valor=8499
linha=101 | nome=Mariana | acao=executou o benchmark | valor=4335
linha=102 | nome=Helena | acao=participou da aula | valor=1925
linha=103 | nome=Carlos | acao=escreveu o relatorio | valor=8637
linha=104 | nome=Karen | acao=analisou os resultados | valor=4957
linha=105 | nome=Lucas | acao=escreveu o relatorio | valor=9624
linha=106 | nome=Mariana | acao=otimizou o algoritmo | valor=1433
linha=107 | nome=Carlos | acao=executou o benchmark | valor=3882
linha=108 | nome=Paulo | acao=fez um experimento | valor=3559
linha=109 | nome=Lucas | acao=comparou as metricas | valor=8291
linha=110 | nome=Sofia | acao=participou da aula | valor=6341
linha=111 | nome=Natalia | acao=comparou as metricas | valor=1902
linha=112 | nome=Karen | acao=otimizou o algoritmo | valor=2273
linha=113 | nome=Igor | acao=executou o benchmark | valor=3422
linha=114 | nome=Renata | acao=estudou computacao | valor=6313
linha=115 | nome=Bruno | acao=otimizou o algoritmo | valor=5658
linha=116 | nome=Natalia | acao=participou da aula | valor=3470
linha=117 | nome=Renata | acao=escreveu o relatorio | valor=8229
linha=118 | nome=Gabriela | acao=executou o benchmark | valor=6134
linha=119 | nome=Ana | acao=fez um experimento | valor=8180
linha=120 | nome=Sofia | acao=analisou os resultados | valor=2308
linha=121 | nome=Karen | acao=comparou as metricas | valor=1620
linha=122 | nome=Helena | acao=comparou as metricas | valor=6314
linha=123 | nome=Renata | acao=comparou as metricas | valor=3265
linha=124 | nome=Renata | acao=escreveu o relatorio | valor=9473
linha=125 | nome=Igor | acao=participou da aula | valor=7090
linha=126 | nome=Felipe | acao=fez um experimento | valor=9484
linha=127 | nome=Natalia | acao=otimizou o algoritmo | valor=3676
linha=128 | nome=Otavio | acao=participou da aula | valor=4466
linha=129 | nome=Natalia | acao=analisou os resultados | valor=4214
linha=130 | nome=Tiago | acao=participou da aula | valor=3953
linha=131 | nome=Karen | acao=comparou as metricas | valor=7033
linha=132 | nome=Tiago | acao=comparou as metricas | valor=6118
linha=133 | nome=Mariana | acao=fez um experimento | valor=1276
linha=134 | nome=Daniela | acao=participou da aula | valor=1656
linha=135 | nome=Natalia | acao=estudou computacao | valor=1384
linha=136 | nome=Carlos | acao=fez um experimento | valor=6771
linha=137 | nome=Ana | acao=comparou as metricas | valor=4782
linha=138 | nome=Renata | acao=participou da aula | valor=2901
linha=139 | nome=Carlos | acao=executou o benchmark | valor=9489
linha=140 | nome=Karen | acao=fez um experimento | valor=3268
linha=141 | nome=Natalia | acao=comparou as metricas | valor=3118
linha=142 | nome=Bruno | acao=estudou computacao | valor=4161
linha=143 | nome=Lucas | acao=comparou as metricas | valor=6145
linha=144 | nome=Felipe | acao=analisou os resultados | valor=1269
linha=145 | nome=Otavio | acao=comparou as metricas | valor=9637
linha=146 | nome=Daniela | acao=comparou as metricas | valor=2400
linha=147 | nome=Felipe | acao=executou o benchmark | valor=1276
linha=148 | nome=Igor | acao=otimizou o algoritmo | valor=9559
linha=149 | nome=Ana | acao=comparou as metricas | valor=4713
linha=150 | nome=Renata | acao=fez um experimento | valor=5032
linha=151 | nome=Sofia | acao=comparou as metricas | valor=4124
linha=152 | nome=Ana | acao=escreveu o relatorio | valor=1671
linha=153 | nome=Tiago | acao=analisou os resultados | valor=6412
linha=154 | nome=Helena | acao=executou o benchmark | valor=4620
linha=155 | nome=Eduarda | acao=escreveu o relatorio | valor=5960
linha=156 | nome=Lucas | acao=fez um experimento | valor=2264
linha=157 | nome=Felipe | acao=fez um experimento | valor=2603
linha=158 | nome=Daniela | acao=otimizou o algoritmo | valor=2690
linha=159 | nome=Lucas | acao=estudou computacao | valor=5843
linha=160 | nome=Daniela | acao=estudou computacao | valor=5751
linha=161 | nome=Mariana | acao=comparou as metricas | valor=2140
linha=162 | nome=Bruno | acao=analisou os resultados | valor=5445
linha=163 | nome=Carlos | acao=escreveu o relatorio | valor=4065
linha=164 | nome=Mariana | acao=escreveu o relatorio | valor=8867
linha=165 | nome=Joao | acao=comparou as metricas | valor=3783
linha=166 | nome=Vitor | acao=participou da aula | valor=4711
linha=167 | nome=Karen | acao=participou da aula | valor=3747
linha=168 | nome=Ana | acao=participou da aula | valor=3375
linha=169 | nome=Lucas | acao=comparou as metricas | valor=7958
linha=170 | nome=Ana | acao=estudou computacao | valor=8966
linha=171 | nome=Tiago | acao=fez um experimento | valor=8075
linha=172 | nome=Natalia | acao=comparou as metricas | valor=5188
linha=173 | nome=Otavio | acao=fez um experimento | valor=1288
linha=174 | nome=Natalia | acao=fez um experimento | valor=5218
linha=175 | nome=Vitor | acao=otimizou o algoritmo | valor=9713
linha=176 | nome=Vitor | acao=fez um experimento | valor=9504
linha=177 | nome=Ana | acao=fez um experimento | valor=1047
linha=178 | nome=Daniela | acao=fez um experimento | valor=4408
linha=179 | nome=Daniela | acao=otimizou o algoritmo | valor=9700
linha=180 | nome=Joao | acao=analisou os resultados | valor=5012
linha=181 | nome=Gabriela | acao=otimizou o algoritmo | valor=3394
linha=182 | nome=Gabriela | acao=escreveu o relatorio | valor=9470
linha=183 | nome=Eduarda | acao=otimizou o algoritmo | valor=3997
linha=184 | nome=Helena | acao=executou o benchmark | valor=7543
linha=185 | nome=Renata | acao=analisou os resultados | valor=2070
linha=186 | nome=Sofia | acao=fez um experimento | valor=4388
linha=187 | nome=Carlos | acao=estudou computacao | valor=7806
linha=188 | nome=Karen | acao=otimizou o algoritmo | valor=4557
linha=189 | nome=Vitor | acao=otimizou o algoritmo | valor=1270
linha=190 | nome=Bruno | acao=fez um experimento | valor=5658
linha=191 | nome=Igor | acao=fez um experimento | valor=1809
linha=192 | nome=Paulo | acao=comparou as metricas | valor=2738
linha=193 | nome=Sofia | acao=analisou os resultados | valor=6242
linha=194 | nome=Ana | acao=analisou os resultados | valor=4259
linha=195 | nome=Felipe | acao=executou o benchmark | valor=5484
linha=196 | nome=Natalia | acao=escreveu o relatorio | valor=9393
linha=197 | nome=Karen | acao=comparou as metricas | valor=7844
linha=198 | nome=Joao | acao=executou o benchmark | valor=1541
linha=199 | nome=Felipe | acao=analisou os resultados | valor=4417
linha=200 | nome=Karen | acao=escreveu o relatorio | valor=9971
linha=201 | nome=Natalia | acao=otimizou o algoritmo | valor=8733
linha=202 | nome=Sofia | acao=analisou os resultados | valor=3588
linha=203 | nome=Daniela | acao=estudou computacao | valor=8186
linha=204 | nome=Karen | acao=escreveu o relatorio | valor=5462
linha=205 | nome=Tiago | acao=executou o benchmark | valor=3600
linha=206 | nome=Ana | acao=escreveu o relatorio | valor=2707
linha=207 | nome=Natalia | acao=executou o benchmark | valor=9922
linha=208 | nome=Mariana | acao=escreveu o relatorio | valor=5039
linha=209 | nome=Joao | acao=fez um experimento | valor=3601
linha=210 | nome=Mariana | acao=fez um experimento | valor=1220
linha=211 | nome=Natalia | acao=fez um experimento | valor=4175
linha=212 | nome=Mariana | acao=estudou computacao | valor=9457
linha=213 | nome=Bruno | acao=estudou computacao | valor=2752
linha=214 | nome=Carlos | acao=analisou os resultados | valor=6732
linha=215 | nome=Gabriela | acao=analisou os resultados | valor=2907
linha=216 | nome=Helena | acao=analisou os resultados | valor=2141
linha=217 | nome=Felipe | acao=fez um experimento | valor=5328
linha=218 | nome=Gabriela | acao=otimizou o algoritmo | valor=8543
linha=219 | nome=Helena | acao=comparou as metricas | valor=7167
linha=220 | nome=Mariana | acao=participou da aula | valor=2398
linha=221 | nome=Joao | acao=comparou as metricas | valor=7924
linha=222 | nome=Ana | acao=otimizou o algoritmo | valor=7115
linha=223 | nome=Joao | acao=analisou os resultados | valor=2599
linha=224 | nome=Felipe | acao=otimizou o algoritmo | valor=8358
linha=225 | nome=Felipe | acao=fez um experimento | valor=9625
linha=226 | nome=Otavio | acao=escreveu o relatorio | valor=3569
linha=227 | nome=Sofia | acao=fez um experimento | valor=3765
linha=228 | nome=Renata | acao=participou da aula | valor=2776
linha=229 | nome=Vitor | acao=executou o benchmark | valor=2357
linha=230 | nome=Sofia | acao=analisou os resultados | valor=5667
linha=231 | nome=Paulo | acao=executou o benchmark | valor=9438
linha=232 | nome=Carlos | acao=analisou os resultados | valor=2114
linha=233 | nome=Eduarda | acao=otimizou o algoritmo | valor=5942
linha=234 | nome=Eduarda | acao=estudou computacao | valor=2763
linha=235 | nome=Tiago | acao=estudou computacao | valor=6163
linha=236 | nome=Helena | acao=estudou computacao | valor=7557
linha=237 | nome=Joao | acao=estudou computacao | valor=7305
linha=238 | nome=Sofia | acao=estudou computacao | valor=5427
linha=239 | nome=Mariana | acao=comparou as metricas | valor=5178
linha=240 | nome=Helena | acao=participou da aula | valor=6184
linha=241 | nome=Otavio | acao=participou da aula | valor=3111
linha=242 | nome=Mariana | acao=escreveu o relatorio | valor=2571
linha=243 | nome=Eduarda | acao=escreveu o relatorio | valor=5761
linha=244 | nome=Renata | acao=participou da aula | valor=8490
linha=245 | nome=Daniela | acao=otimizou o algoritmo | valor=1298
linha=246 | nome=Otavio | acao=participou da aula | valor=5259
linha=247 | nome=Paulo | acao=escreveu o relatorio | valor=6053
linha=248 | nome=Renata | acao=fez um experimento | valor=2676
linha=249 | nome=Carlos | acao=escreveu o relatorio | valor=4701
linha=250 | nome=Mariana | acao=participou da aula | valor=2888
linha=251 | nome=Ana | acao=comparou as metricas | valor=1959
linha=252 | nome=Joao | acao=analisou os resultados | valor=5868
linha=253 | nome=Ana | acao=comparou as metricas | valor=1549
linha=254 | nome=Tiago | acao=participou da aula | valor=6506
linha=255 | nome=Gabriela | acao=executou o benchmark | valor=3372
linha=256 | nome=Igor | acao=fez um experimento | valor=1460
linha=257 | nome=Vitor | acao=escreveu o relatorio | valor=4071
linha=258 | nome=Mariana | acao=fez um experimento | valor=5218
linha=259 | nome=Natalia | acao=comparou as metricas | valor=7391
linha=260 | nome=Mariana | acao=analisou os resultados | valor=4969
linha=261 | nome=Karen | acao=otimizou o algoritmo | valor=1327
linha=262 | nome=Daniela | acao=fez um experimento | valor=1873
linha=263 | nome=Bruno | acao=analisou os resultados | valor=5654
linha=264 | nome=Carlos | acao=executou o benchmark | valor=8024
linha=265 | nome=Otavio | acao=escreveu o relatorio | valor=8233
linha=266 | nome=Tiago | acao=participou da aula | valor=8468
linha=267 | nome=Ana | acao=comparou as metricas | valor=5741
linha=268 | nome=Felipe | acao=estudou computacao | valor=4908
linha=269 | nome=Gabriela | acao=fez um experimento | valor=7464
