linha=1 | nome=Bruno | acao=escreveu o relatorio | valor=8028
linha=2 | nome=Joao | acao=analisou os resultados | valor=2149
linha=3 | nome=Joao | acao=otimizou o algoritmo | valor=7860
linha=4 | nome=Lucas | acao=comparou as metricas | valor=2983
linha=5 | nome=Felipe | acao=participou da aula | valor=1125
linha=6 | nome=Lucas | acao=estudou computacao | valor=4765
linha=7 | nome=Igor | acao=fez um experimento | valor=5653
linha=8 | nome=Eduarda | acao=participou da aula | valor=6002
linha=9 | nome=Renata | acao=otimizou o algoritmo | valor=5882
linha=10 | nome=Felipe | acao=otimizou o algoritmo | valor=6524
linha=11 | nome=Natalia | acao=participou da aula | valor=5730
linha=12 | nome=Sofia | acao=analisou os resultados | valor=6681
linha=13 | nome=Helena | acao=estudou computacao | valor=7119
linha=14 | nome=Vitor | acao=fez um experimento | valor=5963
linha=15 | nome=Eduarda | acao=fez um experimento | valor=9298
linha=16 | nome=Renata | acao=estudou computacao | valor=8169
linha=17 | nome=Igor | acao=participou da aula | valor=5763
linha=18 | nome=Vitor | acao=comparou as metricas | valor=5419
linha=19 | nome=Daniela | acao=comparou as metricas | valor=4619
linha=20 | nome=Carlos | acao=executou o benchmark | valor=2011
linha=21 | nome=Natalia | acao=fez um experimento | valor=3826
linha=22 | nome=Otavio | acao=analisou os resultados | valor=3123
linha=23 | nome=Natalia | acao=analisou os resultados | valor=5860
linha=24 | nome=Karen | acao=executou o benchmark | valor=2910
linha=25 | nome=Paulo | acao=escreveu o relatorio | valor=1787
linha=26 | nome=Gabriela | acao=fez um experimento | valor=9690
linha=27 | nome=Vitor | acao=executou o benchmark | valor=9814
linha=28 | nome=Felipe | acao=analisou os resultados | valor=3366
linha=29 | nome=Daniela | acao=analisou os resultados | valor=5314
linha=30 | nome=Natalia | acao=participou da aula | valor=3118
linha=31 | nome=Ana | acao=analisou os resultados | valor=8633
linha=32 | nome=Eduarda | acao=estudou computacao | valor=3911
linha=33 | nome=Sofia | acao=comparou as metricas | valor=5041
linha=34 | nome=Paulo | acao=otimizou o algoritmo | valor=8978
linha=35 | nome=Renata | acao=escreveu o relatorio | valor=1604
linha=36 | nome=Felipe | acao=executou o benchmark | valor=4129
linha=37 | nome=Mariana | acao=comparou as metricas | valor=6608
linha=38 | nome=Gabriela | acao=participou da aula | valor=5650
linha=39 | nome=Tiago | acao=executou o benchmark | valor=5380
linha=40 | nome=Ana | acao=escreveu o relatorio | valor=7576
linha=41 | nome=Gabriela | acao=analisou os resultados | valor=2804
linha=42 | nome=Natalia | acao=analisou os resultados | valor=1851
linha=43 | nome=Felipe | acao=participou da aula | valor=5586
linha=44 | nome=Renata | acao=analisou os resultados | valor=8674
linha=45 | nome=Helena | acao=analisou os resultados | valor=2253
linha=46 | nome=Sofia | acao=escreveu o relatorio | valor=1291
linha=47 | nome=Igor | acao=executou o benchmark | valor=6415
linha=48 | nome=Lucas | acao=estudou computacao | valor=6332
linha=49 | nome=Tiago | acao=fez um experimento | valor=5124
linha=50 | nome=Ana | acao=analisou os resultados | valor=4110
linha=51 | nome=Ana | acao=executou o benchmark | valor=7158
linha=52 | nome=Natalia | acao=escreveu o relatorio | valor=3183
linha=53 | nome=Gabriela | acao=comparou as metricas | valor=3103
linha=54 | nome=Lucas | acao=participou da aula | valor=8818
linha=55 | nome=Joao | acao=executou o benchmark | valor=5316
linha=56 | nome=Otavio | acao=comparou as metricas | valor=7177
linha=57 | nome=Carlos | acao=executou o benchmark | valor=1315
linha=58 | nome=Daniela | acao=fez um experimento | valor=6625
linha=59 | nome=Daniela | acao=escreveu o relatorio | valor=1371
linha=60 | nome=Joao | acao=escreveu o relatorio | valor=3347
linha=61 | nome=Sofia | acao=estudou computacao | valor=3502
linha=62 | nome=Vitor | acao=fez um experimento | valor=3578
linha=63 | nome=Felipe | acao=fez um experimento | valor=6769
linha=64 | nome=Tiago | acao=executou o benchmark | valor=2822
linha=65 | nome=Igor | acao=otimizou o algoritmo | valor=7711
linha=66 | nome=Joao | acao=fez um experimento | valor=7342
linha=67 | nome=Gabriela | acao=otimizou o algoritmo | valor=2108
linha=68 | nome=Ana | acao=analisou os resultados | valor=7108
linha=69 | nome=Joao | acao=executou o benchmark | valor=8364
linha=70 | nome=Mariana | acao=executou o benchmark | valor=8566
linha=71 | nome=Natalia | acao=executou o benchmark | valor=1828
linha=72 | nome=Eduarda | acao=estudou computacao | valor=3879
linha=73 | nome=Bruno | acao=executou o benchmark | valor=7965
linha=74 | nome=Sofia | acao=estudou computacao | valor=9305
linha=75 | nome=Mariana | acao=estudou computacao | valor=3389
linha=76 | nome=Carlos | acao=participou da aula | valor=5294
linha=77 | nome=Vitor | acao=escreveu o relatorio | valor=6091
linha=78 | nome=Igor | acao=comparou as metricas | valor=1363
linha=79 | nome=Mariana | acao=fez um experimento | valor=8433
linha=80 | nome=Carlos | acao=estudou computacao | valor=4160
linha=81 | nome=Tiago | acao=analisou os resultados | valor=2764
linha=82 | nome=Carlos | acao=analisou os resultados | valor=4363
linha=83 | nome=Lucas | acao=otimizou o algoritmo | valor=8545
linha=84 | nome=Karen | acao=estudou computacao | valor=4332
linha=85 | nome=Gabriela | acao=analisou os resultados | valor=6813
linha=86 | nome=Daniela | acao=otimizou o algoritmo | valor=1145
linha=87 | nome=Daniela | acao=comparou as metricas | valor=8685
linha=88 | nome=Carlos | acao=executou o benchmark | valor=3835
linha=89 | nome=Joao | acao=escreveu o relatorio | valor=5824
linha=90 | nome=Lucas | acao=participou da aula | valor=6422
linha=91 | nome=Mariana | acao=participou da aula | valor=7637
linha=92 | nome=Sofia | acao=analisou os resultados | valor=7043
linha=93 | nome=Otavio | acao=escreveu o relatorio | valor=4119
linha=94 | nome=Renata | acao=executou o benchmark | valor=4021
linha=95 | nome=Eduarda | acao=escreveu o relatorio | valor=4786
linha=96 | nome=Tiago | acao=otimizou o algoritmo | valor=7022
linha=97 | nome=Carlos | acao=comparou as metricas | valor=4932
