linha=1 | nome=Eduarda | acao=estudou computacao | valor=8770
linha=2 | nome=Karen | acao=fez um experimento | valor=7380
linha=3 | nome=Lucas | acao=analisou os resultados | valor=3700
linha=4 | nome=Mariana | acao=fez um experimento | valor=2591
linha=5 | nome=Sofia | acao=analisou os resultados | valor=4677
linha=6 | nome=Daniela | acao=otimizou o algoritmo | valor=8632
linha=7 | nome=Vitor | acao=participou da aula | valor=4629
linha=8 | nome=Lucas | acao=fez um experimento | valor=1856
linha=9 | nome=Otavio | acao=escreveu o relatorio | valor=1867
linha=10 | nome=Igor | acao=comparou as metricas | valor=7948
linha=11 | nome=Sofia | acao=estudou computacao | valor=6892
linha=12 | nome=Igor | acao=executou o benchmark | valor=1632
linha=13 | nome=Igor | acao=comparou as metricas | valor=1415
linha=14 | nome=Otavio | acao=otimizou o algoritmo | valor=2112
linha=15 | nome=Eduarda | acao=analisou os resultados | valor=1717
linha=16 | nome=Mariana | acao=comparou as metricas | valor=1909
linha=17 | nome=Igor | acao=escreveu o relatorio | valor=8431
linha=18 | nome=Gabriela | acao=otimizou o algoritmo | valor=9117
linha=19 | nome=Renata | acao=executou o benchmark | valor=4546
linha=20 | nome=Karen | acao=otimizou o algoritmo | valor=8880
linha=21 | nome=Otavio | acao=participou da aula | valor=6297
linha=22 | nome=Ana | acao=executou o benchmark | valor=7566
linha=23 | nome=Lucas | acao=analisou os resultados | valor=6380
linha=24 | nome=Vitor | acao=fez um experimento | valor=4883
linha=25 | nome=Ana | acao=analisou os resultados | valor=1969
linha=26 | nome=Daniela | acao=executou o benchmark | valor=4121
linha=27 | nome=Karen | acao=comparou as metricas | valor=4731
linha=28 | nome=Tiago | acao=estudou computacao | valor=4609
linha=29 | nome=Tiago | acao=otimizou o algoritmo | valor=2321
linha=30 | nome=Daniela | acao=executou o benchmark | valor=8210
linha=31 | nome=Igor | acao=analisou os resultados | valor=4166
linha=32 | nome=Sofia | acao=otimizou o algoritmo | valor=4236
linha=33 | nome=Eduarda | acao=fez um experimento | valor=9643
linha=34 | nome=Sofia | acao=analisou os resultados | valor=7714
linha=35 | nome=Natalia | acao=analisou os resultados | valor=2637
linha=36 | nome=Vitor | acao=analisou os resultados | valor=3142
linha=37 | nome=Renata | acao=otimizou o algoritmo | valor=2913
linha=38 | nome=Natalia | acao=fez um experimento | valor=6708
linha=39 | nome=Eduarda | acao=otimizou o algoritmo | valor=2745
linha=40 | nome=Lucas | acao=estudou computacao | valor=9796
linha=41 | nome=Renata | acao=analisou os resultados | valor=8157
linha=42 | nome=Daniela | acao=fez um experimento | valor=2608
linha=43 | nome=Paulo | acao=fez um experimento | valor=5674
linha=44 | nome=Sofia | acao=otimizou o algoritmo | valor=1624
linha=45 | nome=Joao | acao=analisou os resultados | valor=9731
linha=46 | nome=Felipe | acao=comparou as metricas | valor=3385
linha=47 | nome=Carlos | acao=estudou computacao | valor=4824
linha=48 | nome=Ana | acao=fez um experimento | valor=5809
linha=49 | nome=Mariana | acao=participou da aula | valor=1755
linha=50 | nome=Mariana | acao=executou o benchmark | valor=4717
linha=51 | nome=Lucas | acao=escreveu o relatorio | valor=9610
linha=52 | nome=Karen | acao=analisou os resultados | valor=5929
linha=53 | nome=Gabriela | acao=fez um experimento | valor=6956
linha=54 | nome=Igor | acao=otimizou o algoritmo | valor=8984
linha=55 | nome=Renata | acao=fez um experimento | valor=2178
linha=56 | nome=Ana | acao=escreveu o relatorio | valor=6193
linha=57 | nome=Karen | acao=fez um experimento | valor=2474
linha=58 | nome=Bruno | acao=participou da aula | valor=3284
linha=59 | nome=Daniela | acao=otimizou o algoritmo | valor=8090
linha=60 | nome=Renata | acao=comparou as metricas | valor=8989
linha=61 | nome=Daniela | acao=analisou os resultados | valor=1081
linha=62 | nome=Paulo | acao=executou o benchmark | valor=1545
linha=63 | nome=Lucas | acao=otimizou o algoritmo | valor=1145
linha=64 | nome=Daniela | acao=fez um experimento | valor=8352
linha=65 | nome=Natalia | acao=executou o benchmark | valor=6691
linha=66 | nome=Otavio | acao=analisou os resultados | valor=2869
