linha=1 | nome=Carlos | acao=analisou os resultados | valor=3789
linha=2 | nome=Tiago | acao=fez um experimento | valor=4867
linha=3 | nome=Felipe | acao=otimizou o algoritmo | valor=5253
linha=4 | nome=Mariana | acao=estudou computacao | valor=5134
linha=5 | nome=Lucas | acao=comparou as metricas | valor=6400
linha=6 | nome=Joao | acao=escreveu o relatorio | valor=6104
linha=7 | nome=Daniela | acao=analisou os resultados | valor=4218
linha=8 | nome=Felipe | acao=executou o benchmark | valor=1557
linha=9 | nome=Gabriela | acao=participou da aula | valor=5638
linha=10 | nome=Mariana | acao=comparou as metricas | valor=9093
linha=11 | nome=Sofia | acao=fez um experimento | valor=4879
linha=12 | nome=Sofia | acao=comparou as metricas | valor=3031
linha=13 | nome=Karen | acao=otimizou o algoritmo | valor=7443
linha=14 | nome=Lucas | acao=escreveu o relatorio | valor=3524
linha=15 | nome=Felipe | acao=fez um experimento | valor=4925
linha=16 | nome=Ana | acao=comparou as metricas | valor=2279
linha=17 | nome=Felipe | acao=analisou os resultados | valor=8916
linha=18 | nome=Tiago | acao=escreveu o relatorio | valor=4415
linha=19 | nome=Otavio | acao=estudou computacao | valor=1912
linha=20 | nome=Natalia | acao=escreveu o relatorio | valor=6212
linha=21 | nome=Daniela | acao=executou o benchmark | valor=6111
linha=22 | nome=Karen | acao=estudou computacao | valor=7127
linha=23 | nome=Joao | acao=fez um experimento | valor=4753
linha=24 | nome=Mariana | acao=otimizou o algoritmo | valor=8405
linha=25 | nome=Natalia | acao=analisou os resultados | valor=4562
linha=26 | nome=Tiago | acao=escreveu o relatorio | valor=1561
linha=27 | nome=Helena | acao=fez um experimento | valor=5619
linha=28 | nome=Sofia | acao=fez um experimento | valor=8732
linha=29 | nome=Otavio | acao=analisou os resultados | valor=2808
linha=30 | nome=Vitor | acao=participou da aula | valor=4712
linha=31 | nome=Natalia | acao=estudou computacao | valor=5446
linha=32 | nome=Karen | acao=participou da aula | valor=3878
linha=33 | nome=Mariana | acao=escreveu o relatorio | valor=5261
linha=34 | nome=Daniela | acao=comparou as metricas | valor=3584
linha=35 | nome=Vitor | acao=otimizou o algoritmo | valor=2742
linha=36 | nome=Bruno | acao=escreveu o relatorio | valor=2220
linha=37 | nome=Daniela | acao=executou o benchmark | valor=5912
linha=38 | nome=Joao | acao=fez um experimento | valor=9894
linha=39 | nome=Lucas | acao=otimizou o algoritmo | valor=8019
linha=40 | nome=Ana | acao=escreveu o relatorio | valor=8796
linha=41 | nome=Karen | acao=executou o benchmark | valor=8380
linha=42 | nome=Karen | acao=otimizou o algoritmo | valor=7840
linha=43 | nome=Carlos | acao=comparou as metricas | valor=8228
linha=44 | nome=Paulo | acao=estudou computacao | valor=6460
linha=45 | nome=Karen | acao=estudou computacao | valor=9838
linha=46 | nome=Mariana | acao=analisou os resultados | valor=2052
linha=47 | nome=Mariana | acao=analisou os resultados | valor=6974
linha=48 | nome=Bruno | acao=escreveu o relatorio | valor=8485
linha=49 | nome=Renata | acao=comparou as metricas | valor=5491
linha=50 | nome=Vitor | acao=executou o benchmark | valor=6945
linha=51 | nome=Joao | acao=fez um experimento | valor=7838
linha=52 | nome=Vitor | acao=executou o benchmark | valor=1369
linha=53 | nome=Eduarda | acao=otimizou o algoritmo | valor=9403
linha=54 | nome=Vitor | acao=executou o benchmark | valor=9140
linha=55 | nome=Karen | acao=fez um experimento | valor=5006
linha=56 | nome=Mariana | acao=participou da aula | valor=4530
linha=57 | nome=Paulo | acao=otimizou o algoritmo | valor=6694
linha=58 | nome=Mariana | acao=fez um experimento | valor=6922
linha=59 | nome=Karen | acao=comparou as metricas | valor=6707
linha=60 | nome=Mariana | acao=escreveu o relatorio | valor=6428
linha=61 | nome=Ana | acao=otimizou o algoritmo | valor=6878
linha=62 | nome=Paulo | acao=analisou os resultados | valor=4592
linha=63 | nome=Renata | acao=analisou os resultados | valor=2862
linha=64 | nome=Bruno | acao=analisou os resultados | valor=4094
linha=65 | nome=Lucas | acao=estudou computacao | valor=4866
linha=66 | nome=Felipe | acao=executou o benchmark | valor=3457
linha=67 | nome=Daniela | acao=fez um experimento | valor=1758
linha=68 | nome=Paulo | acao=estudou computacao | valor=7371
linha=69 | nome=Bruno | acao=escreveu o relatorio | valor=6287
linha=70 | nome=Tiago | acao=executou o benchmark | valor=9582
linha=71 | nome=Mariana | acao=fez um experimento | valor=4039
linha=72 | nome=Mariana | acao=participou da aula | valor=4586
linha=73 | nome=Mariana | acao=otimizou o algoritmo | valor=5678
linha=74 | nome=Renata | acao=comparou as metricas | valor=2847
linha=75 | nome=Helena | acao=comparou as metricas | valor=6663
linha=76 | nome=Mariana | acao=estudou computacao | valor=9870
linha=77 | nome=Sofia | acao=escreveu o relatorio | valor=6067
linha=78 | nome=Bruno | acao=analisou os resultados | valor=9406
linha=79 | nome=Gabriela | acao=escreveu o relatorio | valor=1710
linha=80 | nome=Carlos | acao=executou o benchmark | valor=9802
linha=81 | nome=Igor | acao=estudou computacao | valor=8216
linha=82 | nome=Felipe | acao=participou da aula | valor=8588
linha=83 | nome=Lucas | acao=fez um experimento | valor=9205
linha=84 | nome=Gabriela | acao=estudou computacao | valor=1533
linha=85 | nome=Helena | acao=participou da aula | valor=1825
linha=86 | nome=Daniela | acao=otimizou o algoritmo | valor=7902
linha=87 | nome=Felipe | acao=estudou computacao | valor=1658
linha=88 | nome=Karen | acao=analisou os resultados | valor=6127
linha=89 | nome=Karen | acao=executou o benchmark | valor=2441
