linha=1 | nome=Igor | acao=otimizou o algoritmo | valor=4561
linha=2 | nome=Bruno | acao=analisou os resultados | valor=7626
linha=3 | nome=Sofia | acao=fez um experimento | valor=8623
linha=4 | nome=Renata | acao=comparou as metricas | valor=2243
linha=5 | nome=Helena | acao=executou o benchmark | valor=6474
linha=6 | nome=Sofia | acao=escreveu o relatorio | valor=8821
linha=7 | nome=Paulo | acao=executou o benchmark | valor=6305
linha=8 | nome=Paulo | acao=escreveu o relatorio | valor=8022
linha=9 | nome=Gabriela | acao=comparou as metricas | valor=2659
linha=10 | nome=Ana | acao=escreveu o relatorio | valor=1310
linha=11 | nome=Helena | acao=executou o benchmark | valor=6622
linha=12 | nome=Otavio | acao=estudou computacao | valor=9649
linha=13 | nome=Otavio | acao=otimizou o algoritmo | valor=1887
linha=14 | nome=Renata | acao=estudou computacao | valor=3699
linha=15 | nome=Paulo | acao=participou da aula | valor=2999
linha=16 | nome=Tiago | acao=participou da aula | valor=7912
linha=17 | nome=Sofia | acao=fez um experimento | valor=5804
linha=18 | nome=Mariana | acao=fez um experimento | valor=1049
linha=19 | nome=Gabriela | acao=estudou computacao | valor=6696
linha=20 | nome=Helena | acao=fez um experimento | valor=8698
linha=21 | nome=Mariana | acao=estudou computacao | valor=8615
linha=22 | nome=Felipe | acao=otimizou o algoritmo | valor=1964
linha=23 | nome=Ana | acao=fez um experimento | valor=4671
linha=24 | nome=Natalia | acao=estudou computacao | valor=8515
linha=25 | nome=Eduarda | acao=participou da aula | valor=5356
linha=26 | nome=Tiago | acao=participou da aula | valor=9835
linha=27 | nome=Paulo | acao=otimizou o algoritmo | valor=8000
linha=28 | nome=Karen | acao=otimizou o algoritmo | valor=8905
linha=29 | nome=Daniela | acao=analisou os resultados | valor=4789
linha=30 | nome=Vitor | acao=executou o benchmark | valor=8401
linha=31 | nome=Lucas | acao=executou o benchmark | valor=6521
linha=32 | nome=Vitor | acao=estudou computacao | valor=8605
linha=33 | nome=Helena | acao=comparou as metricas | valor=6196
linha=34 | nome=Karen | acao=estudou computacao | valor=9671
linha=35 | nome=Bruno | acao=estudou computacao | valor=2477
linha=36 | nome=Tiago | acao=estudou computacao | valor=5497
linha=37 | nome=Renata | acao=analisou os resultados | valor=2646
linha=38 | nome=Igor | acao=executou o benchmark | valor=7278
linha=39 | nome=Renata | acao=otimizou o algoritmo | valor=1462
linha=40 | nome=Gabriela | acao=participou da aula | valor=7114
linha=41 | nome=Carlos | acao=escreveu o relatorio | valor=7629
linha=42 | nome=Daniela | acao=otimizou o algoritmo | valor=8913
linha=43 | nome=Ana | acao=escreveu o relatorio | valor=5723
linha=44 | nome=Helena | acao=analisou os resultados | valor=1091
linha=45 | nome=Otavio | acao=otimizou o algoritmo | valor=5866
linha=46 | nome=Ana | acao=analisou os resultados | valor=8120
linha=47 | nome=Helena | acao=fez um experimento | valor=3547
linha=48 | nome=Carlos | acao=otimizou o algoritmo | valor=1986
linha=49 | nome=Renata | acao=escreveu o relatorio | valor=7389
linha=50 | nome=Vitor | acao=analisou os resultados | valor=4456
linha=51 | nome=Gabriela | acao=estudou computacao | valor=5757
linha=52 | nome=Mariana | acao=fez um experimento | valor=8678
linha=53 | nome=Mariana | acao=fez um experimento | valor=1804
linha=54 | nome=Felipe | acao=executou o benchmark | valor=4959
linha=55 | nome=Tiago | acao=fez um experimento | valor=9150
linha=56 | nome=Bruno | acao=executou o benchmark | valor=5468
linha=57 | nome=Carlos | acao=participou da aula | valor=3273
linha=58 | nome=Joao | acao=comparou as metricas | valor=8261
linha=59 | nome=Otavio | acao=otimizou o algoritmo | valor=8435
linha=60 | nome=Vitor | acao=fez um experimento | valor=2010
linha=61 | nome=Lucas | acao=estudou computacao | valor=1754
linha=62 | nome=Otavio | acao=analisou os resultados | valor=9964
linha=63 | nome=Tiago | acao=executou o benchmark | valor=6376
linha=64 | nome=Mariana | acao=otimizou o algoritmo | valor=1106
linha=65 | nome=Bruno | acao=participou da aula | valor=9114
linha=66 | nome=Vitor | acao=estudou computacao | valor=6193
linha=67 | nome=Natalia | acao=otimizou o algoritmo | valor=4175
linha=68 | nome=Tiago | acao=comparou as metricas | valor=1618
linha=69 | nome=Mariana | acao=otimizou o algoritmo | valor=8441
linha=70 | nome=Ana | acao=estudou computacao | valor=1679
linha=71 | nome=Bruno | acao=otimizou o algoritmo | valor=9039
linha=72 | nome=Carlos | acao=fez um experimento | valor=5541
linha=73 | nome=Renata | acao=fez um experimento | valor=8837
linha=74 | nome=Paulo | acao=escreveu o relatorio | valor=1983
linha=75 | nome=Eduarda | acao=estudou computacao | valor=8953
linha=76 | nome=Eduarda | acao=comparou as metricas | valor=9310
linha=77 | nome=Carlos | acao=executou o benchmark | valor=8037
linha=78 | nome=Joao | acao=escreveu o relatorio | valor=7019
linha=79 | nome=Eduarda | acao=comparou as metricas | valor=7118
linha=80 | nome=Otavio | acao=participou da aula | valor=4146
linha=81 | nome=Tiago | acao=otimizou o algoritmo | valor=9814
linha=82 | nome=Felipe | acao=participou da aula | valor=9206
