linha=1 | nome=Gabriela | acao=comparou as metricas | valor=4588
linha=2 | nome=Karen | acao=otimizou o algoritmo | valor=3295
linha=3 | nome=Daniela | acao=otimizou o algoritmo | valor=2583
linha=4 | nome=Eduarda | acao=fez um experimento | valor=2920
linha=5 | nome=Gabriela | acao=analisou os resultados | valor=1964
linha=6 | nome=Otavio | acao=participou da aula | valor=8065
linha=7 | nome=Tiago | acao=analisou os resultados | valor=5148
linha=8 | nome=Mariana | acao=executou o benchmark | valor=2106
linha=9 | nome=Helena | acao=executou o benchmark | valor=3228
linha=10 | nome=Otavio | acao=otimizou o algoritmo | valor=6673
linha=11 | nome=Felipe | acao=escreveu o relatorio | valor=3217
linha=12 | nome=Joao | acao=executou o benchmark | valor=6398
linha=13 | nome=Sofia | acao=executou o benchmark | valor=2785
linha=14 | nome=Karen | acao=estudou computacao | valor=1979
linha=15 | nome=Lucas | acao=analisou os resultados | valor=9793
linha=16 | nome=Igor | acao=estudou computacao | valor=4028
linha=17 | nome=Helena | acao=analisou os resultados | valor=4380
linha=18 | nome=Mariana | acao=comparou as metricas | valor=1190
linha=19 | nome=Sofia | acao=comparou as metricas | valor=1441
linha=20 | nome=Eduarda | acao=analisou os resultados | valor=2328
linha=21 | nome=Felipe | acao=participou da aula | valor=2603
linha=22 | nome=Bruno | acao=participou da aula | valor=7348
linha=23 | nome=Joao | acao=fez um experimento | valor=2118
linha=24 | nome=Karen | acao=estudou computacao | valor=7567
linha=25 | nome=Daniela | acao=participou da aula | valor=6731
linha=26 | nome=Igor | acao=otimizou o algoritmo | valor=7826
linha=27 | nome=Joao | acao=fez um experimento | valor=7267
linha=28 | nome=Tiago | acao=fez um experimento | valor=5465
linha=29 | nome=Igor | acao=escreveu o relatorio | valor=1849
linha=30 | nome=Ana | acao=comparou as metricas | valor=2809
linha=31 | nome=Daniela | acao=participou da aula | valor=4591
linha=32 | nome=Bruno | acao=comparou as metricas | valor=5579
linha=33 | nome=Karen | acao=analisou os resultados | valor=9335
linha=34 | nome=Ana | acao=escreveu o relatorio | valor=1030
linha=35 | nome=Eduarda | acao=fez um experimento | valor=7572
linha=36 | nome=Renata | acao=estudou computacao | valor=7541
linha=37 | nome=Ana | acao=executou o benchmark | valor=8666
linha=38 | nome=Ana | acao=escreveu o relatorio | valor=3988
linha=39 | nome=Renata | acao=escreveu o relatorio | valor=3858
linha=40 | nome=Joao | acao=escreveu o relatorio | valor=4450
linha=41 | nome=Otavio | acao=participou da aula | valor=6216
linha=42 | nome=Joao | acao=analisou os resultados | valor=5852
linha=43 | nome=Bruno | acao=estudou computacao | valor=9203
linha=44 | nome=Natalia | acao=participou da aula | valor=2657
linha=45 | nome=Ana | acao=otimizou o algoritmo | valor=4383
linha=46 | nome=Natalia | acao=otimizou o algoritmo | valor=7053
linha=47 | nome=Paulo | acao=analisou os resultados | valor=4256
linha=48 | nome=Carlos | acao=comparou as metricas | valor=9214
linha=49 | nome=Vitor | acao=fez um experimento | valor=5985
linha=50 | nome=Carlos | acao=fez um experimento | valor=2222
linha=51 | nome=Felipe | acao=analisou os resultados | valor=8145
linha=52 | nome=Eduarda | acao=estudou computacao | valor=8477
linha=53 | nome=Paulo | acao=estudou computacao | valor=3445
linha=54 | nome=Tiago | acao=comparou as metricas | valor=9492
linha=55 | nome=Daniela | acao=estudou computacao | valor=9547
linha=56 | nome=Paulo | acao=executou o benchmark | valor=3189
linha=57 | nome=Sofia | acao=executou o benchmark | valor=3432
linha=58 | nome=Sofia | acao=otimizou o algoritmo | valor=9674
linha=59 | nome=Paulo | acao=comparou as metricas | valor=6642
linha=60 | nome=Gabriela | acao=fez um experimento | valor=5605
linha=61 | nome=Joao | acao=escreveu o relatorio | valor=3530
linha=62 | nome=Paulo | acao=escreveu o relatorio | valor=4420
linha=63 | nome=Helena | acao=estudou computacao | valor=8871
linha=64 | nome=Vitor | acao=participou da aula | valor=1597
linha=65 | nome=Lucas | acao=executou o benchmark | valor=8443
linha=66 | nome=Eduarda | acao=estudou computacao | valor=1480
linha=67 | nome=Ana | acao=comparou as metricas | valor=7579
linha=68 | nome=Paulo | acao=executou o benchmark | valor=5331
linha=69 | nome=Daniela | acao=estudou computacao | valor=3317
linha=70 | nome=Felipe | acao=estudou computacao | valor=2626
linha=71 | nome=Mariana | acao=fez um experimento | valor=2794
linha=72 | nome=Karen | acao=comparou as metricas | valor=8080
linha=73 | nome=Renata | acao=executou o benchmark | valor=9779
linha=74 | nome=Felipe | acao=executou o benchmark | valor=9817
linha=75 | nome=Gabriela | acao=fez um experimento | valor=9540
linha=76 | nome=Karen | acao=estudou computacao | valor=7182
linha=77 | nome=Sofia | acao=comparou as metricas | valor=9127
linha=78 | nome=Joao | acao=executou o benchmark | valor=9675
linha=79 | nome=Lucas | acao=fez um experimento | valor=6701
linha=80 | nome=Sofia | acao=fez um experimento | valor=3937
linha=81 | nome=Carlos | acao=executou o benchmark | valor=1515
linha=82 | nome=Sofia | acao=executou o benchmark | valor=7586
linha=83 | nome=Tiago | acao=escreveu o relatorio | valor=1629
linha=84 | nome=Eduarda | acao=executou o benchmark | valor=9446
linha=85 | nome=Karen | acao=participou da aula | valor=9318
linha=86 | nome=Eduarda | acao=executou o benchmark | valor=7521
linha=87 | nome=Natalia | acao=escreveu o relatorio | valor=9579
linha=88 | nome=Natalia | acao=otimizou o algoritmo | valor=6236
linha=89 | nome=Lucas | acao=executou o benchmark | valor=2311
linha=90 | nome=Paulo | acao=escreveu o relatorio | valor=7191
linha=91 | nome=Lucas | acao=otimizou o algoritmo | valor=5651
linha=92 | nome=Joao | acao=executou o benchmark | valor=1741
linha=93 | nome=Sofia | acao=participou da aula | valor=9599
linha=94 | nome=Helena | acao=executou o benchmark | valor=4726
linha=95 | nome=Helena | acao=executou o benchmark | valor=2055
linha=96 | nome=Ana | acao=estudou computacao | valor=5312
linha=97 | nome=Natalia | acao=analisou os resultados | valor=2191
linha=98 | nome=Karen | acao=comparou as metricas | valor=3784
linha=99 | nome=Daniela | acao=comparou as metricas | valor=4122
linha=100 | nome=Tiago | acao=otimizou o algoritmo | valor=5447
linha=101 | nome=Bruno | acao=participou da aula | valor=3697
linha=102 | nome=Mariana | acao=otimizou o algoritmo | valor=3951
linha=103 | nome=Carlos | acao=executou o benchmark | valor=4911
linha=104 | nome=Ana | acao=comparou as metricas | valor=2144
linha=105 | nome=Lucas | acao=comparou as metricas | valor=5803
linha=106 | nome=Helena | acao=executou o benchmark | valor=7607
linha=107 | nome=Vitor | acao=executou o benchmark | valor=3113
linha=108 | nome=Helena | acao=otimizou o algoritmo | valor=1234
linha=109 | nome=Tiago | acao=fez um experimento | valor=9350
linha=110 | nome=Lucas | acao=comparou as metricas | valor=5961
linha=111 | nome=Otavio | acao=otimizou o algoritmo | valor=3013
linha=112 | nome=Sofia | acao=escreveu o relatorio | valor=4078
linha=113 | nome=Natalia | acao=executou o benchmark | valor=9445
linha=114 | nome=Daniela | acao=comparou as metricas | valor=1423
linha=115 | nome=Sofia | acao=estudou computacao | valor=6619
linha=116 | nome=Otavio | acao=analisou os resultados | valor=6359
linha=117 | nome=Eduarda | acao=fez um experimento | valor=6674
linha=118 | nome=Carlos | acao=executou o benchmark | valor=1223
linha=119 | nome=Renata | acao=otimizou o algoritmo | valor=5594
linha=120 | nome=Gabriela | acao=estudou computacao | valor=9326
linha=121 | nome=Otavio | acao=fez um experimento | valor=3972
linha=122 | nome=Daniela | acao=estudou computacao | valor=7965
linha=123 | nome=Helena | acao=analisou os resultados | valor=7033
linha=124 | nome=Carlos | acao=executou o benchmark | valor=1270
linha=125 | nome=Eduarda | acao=fez um experimento | valor=6995
linha=126 | nome=Otavio | acao=escreveu o relatorio | valor=6338
linha=127 | nome=Joao | acao=escreveu o relatorio | valor=3451
linha=128 | nome=Ana | acao=otimizou o algoritmo | valor=1417
linha=129 | nome=Natalia | acao=executou o benchmark | valor=3245
linha=130 | nome=Otavio | acao=otimizou o algoritmo | valor=4138
linha=131 | nome=Tiago | acao=executou o benchmark | valor=6723
linha=132 | nome=Felipe | acao=escreveu o relatorio | valor=7645
linha=133 | nome=Gabriela | acao=analisou os resultados | valor=9345
linha=134 | nome=Helena | acao=escreveu o relatorio | valor=9174
linha=135 | nome=Karen | acao=analisou os resultados | valor=6933
linha=136 | nome=Felipe | acao=analisou os resultados | valor=3974
linha=137 | nome=Carlos | acao=fez um experimento | valor=6345
linha=138 | nome=Eduarda | acao=participou da aula | valor=9815
linha=139 | nome=Bruno | acao=fez um experimento | valor=3686
linha=140 | nome=Sofia | acao=analisou os resultados | valor=5185
linha=141 | nome=Paulo | acao=estudou computacao | valor=3358
linha=142 | nome=Karen | acao=executou o benchmark | valor=6267
linha=143 | nome=Vitor | acao=otimizou o algoritmo | valor=2459
linha=144 | nome=Gabriela | acao=executou o benchmark | valor=7954
linha=145 | nome=Paulo | acao=executou o benchmark | valor=4108
linha=146 | nome=Mariana | acao=fez um experimento | valor=2606
linha=147 | nome=Mariana | acao=participou da aula | valor=5016
linha=148 | nome=Gabriela | acao=otimizou o algoritmo | valor=2004
linha=149 | nome=Gabriela | acao=escreveu o relatorio | valor=9469
linha=150 | nome=Felipe | acao=fez um experimento | valor=2367
linha=151 | nome=Karen | acao=escreveu o relatorio | valor=4279
linha=152 | nome=Natalia | acao=fez um experimento | valor=6715
linha=153 | nome=Otavio | acao=estudou computacao | valor=2708
linha=154 | nome=Karen | acao=fez um experimento | valor=8928
linha=155 | nome=Bruno | acao=executou o benchmark | valor=7304
linha=156 | nome=Daniela | acao=escreveu o relatorio | valor=4097
linha=157 | nome=Karen | acao=analisou os resultados | valor=6215
linha=158 | nome=Ana | acao=participou da aula | valor=1600
linha=159 | nome=Karen | acao=analisou os resultados | valor=3602
linha=160 | nome=Otavio | acao=escreveu o relatorio | valor=1011
linha=161 | nome=Carlos | acao=participou da aula | valor=4014
linha=162 | nome=Otavio | acao=otimizou o algoritmo | valor=1690
linha=163 | nome=Sofia | acao=comparou as metricas | valor=3652
linha=164 | nome=Eduarda | acao=comparou as metricas | valor=9523
linha=165 | nome=Vitor | acao=otimizou o algoritmo | valor=6026
linha=166 | nome=Natalia | acao=fez um experimento | valor=9441
linha=167 | nome=Felipe | acao=participou da aula | valor=5632
linha=168 | nome=Helena | acao=estudou computacao | valor=7019
linha=169 | nome=Vitor | acao=comparou as metricas | valor=5805
linha=170 | nome=Tiago | acao=comparou as metricas | valor=6888
linha=171 | nome=Paulo | acao=otimizou o algoritmo | valor=6518
linha=172 | nome=Carlos | acao=escreveu o relatorio | valor=5758
linha=173 | nome=Karen | acao=estudou computacao | valor=7047
linha=174 | nome=Felipe | acao=otimizou o algoritmo | valor=1887
linha=175 | nome=Karen | acao=executou o benchmark | valor=1394
linha=176 | nome=Igor | acao=executou o benchmark | valor=4398
linha=177 | nome=Renata | acao=estudou computacao | valor=9190
linha=178 | nome=Sofia | acao=estudou computacao | valor=9435
linha=179 | nome=Gabriela | acao=executou o benchmark | valor=5730
linha=180 | nome=Ana | acao=executou o benchmark | valor=2897
linha=181 | nome=Renata | acao=otimizou o algoritmo | valor=3645
linha=182 | nome=Sofia | acao=otimizou o algoritmo | valor=9653
linha=183 | nome=Eduarda | acao=analisou os resultados | valor=5760
linha=184 | nome=Joao | acao=estudou computacao | valor=4590
linha=185 | nome=Daniela | acao=fez um experimento | valor=5551
linha=186 | nome=Sofia | acao=executou o benchmark | valor=1076
linha=187 | nome=Gabriela | acao=fez um experimento | valor=5496
linha=188 | nome=Mariana | acao=estudou computacao | valor=7043
linha=189 | nome=Daniela | acao=analisou os resultados | valor=9090
linha=190 | nome=Mariana | acao=participou da aula | valor=5483
linha=191 | nome=Karen | acao=estudou computacao | valor=8275
linha=192 | nome=Natalia | acao=fez um experimento | valor=8372
linha=193 | nome=Tiago | acao=comparou as metricas | valor=1412
linha=194 | nome=Paulo | acao=executou o benchmark | valor=1885
linha=195 | nome=Mariana | acao=escreveu o relatorio | valor=9913
linha=196 | nome=Joao | acao=executou o benchmark | valor=4319
linha=197 | nome=Bruno | acao=fez um experimento | valor=1165
linha=198 | nome=Paulo | acao=analisou os resultados | valor=5255
linha=199 | nome=Gabriela | acao=analisou os resultados | valor=7312
linha=200 | nome=Tiago | acao=escreveu o relatorio | valor=6064
linha=201 | nome=Bruno | acao=otimizou o algoritmo | valor=8855
linha=202 | nome=Karen | acao=escreveu o relatorio | valor=3270
linha=203 | nome=Carlos | acao=participou da aula | valor=2680
linha=204 | nome=Helena | acao=otimizou o algoritmo | valor=3196
linha=205 | nome=Daniela | acao=escreveu o relatorio | valor=8827
linha=206 | nome=Natalia | acao=executou o benchmark | valor=3241
linha=207 | nome=Paulo | acao=estudou computacao | valor=4366
linha=208 | nome=Joao | acao=participou da aula | valor=2226
linha=209 | nome=Mariana | acao=participou da aula | valor=6661
linha=210 | nome=Paulo | acao=fez um experimento | valor=9696
linha=211 | nome=Helena | acao=estudou computacao | valor=9275
linha=212 | nome=Paulo | acao=analisou os resultados | valor=6641
linha=213 | nome=Karen | acao=participou da aula | valor=7679
linha=214 | nome=Ana | acao=comparou as metricas | valor=9507
linha=215 | nome=Joao | acao=comparou as metricas | valor=1622
linha=216 | nome=Daniela | acao=estudou computacao | valor=7662
linha=217 | nome=Lucas | acao=executou o benchmark | valor=9696
linha=218 | nome=Lucas | acao=analisou os resultados | valor=5793
linha=219 | nome=Joao | acao=comparou as metricas | valor=6475
linha=220 | nome=Mariana | acao=comparou as metricas | valor=2161
linha=221 | nome=Bruno | acao=otimizou o algoritmo | valor=5770
linha=222 | nome=Otavio | acao=escreveu o relatorio | valor=8329
linha=223 | nome=Renata | acao=estudou computacao | valor=1829
linha=224 | nome=Sofia | acao=fez um experimento | valor=2250
linha=225 | nome=Sofia | acao=otimizou o algoritmo | valor=5198
linha=226 | nome=Karen | acao=otimizou o algoritmo | valor=3434
linha=227 | nome=Renata | acao=analisou os resultados | valor=5179
linha=228 | nome=Daniela | acao=escreveu o relatorio | valor=4218
linha=229 | nome=Eduarda | acao=comparou as metricas | valor=5782
linha=230 | nome=Helena | acao=executou o benchmark | valor=7614
linha=231 | nome=Lucas | acao=estudou computacao | valor=7633
linha=232 | nome=Ana | acao=estudou computacao | valor=6293
linha=233 | nome=Gabriela | acao=escreveu o relatorio | valor=6782
linha=234 | nome=Daniela | acao=otimizou o algoritmo | valor=1322
linha=235 | nome=Felipe | acao=fez um experimento | valor=1030
linha=236 | nome=Daniela | acao=escreveu o relatorio | valor=5820
linha=237 | nome=Felipe | acao=otimizou o algoritmo | valor=8359
