linha=1 | nome=Joao | acao=comparou as metricas | valor=7931
linha=2 | nome=Igor | acao=comparou as metricas | valor=8187
linha=3 | nome=Helena | acao=executou o benchmark | valor=6299
linha=4 | nome=Felipe | acao=executou o benchmark | valor=7097
linha=5 | nome=Paulo | acao=estudou computacao | valor=6491
linha=6 | nome=Bruno | acao=executou o benchmark | valor=5317
linha=7 | nome=Mariana | acao=fez um experimento | valor=6797
linha=8 | nome=Tiago | acao=otimizou o algoritmo | valor=6758
linha=9 | nome=Sofia | acao=comparou as metricas | valor=1469
linha=10 | nome=Vitor | acao=executou o benchmark | valor=9717
linha=11 | nome=Igor | acao=comparou as metricas | valor=7229
linha=12 | nome=Renata | acao=comparou as metricas | valor=2766
linha=13 | nome=Natalia | acao=estudou computacao | valor=5081
linha=14 | nome=Natalia | acao=comparou as metricas | valor=5697
linha=15 | nome=Felipe | acao=participou da aula | valor=1344
linha=16 | nome=Joao | acao=estudou computacao | valor=4301
linha=17 | nome=Sofia | acao=fez um experimento | valor=5705
linha=18 | nome=Renata | acao=estudou computacao | valor=7508
linha=19 | nome=Paulo | acao=estudou computacao | valor=4266
linha=20 | nome=Karen | acao=fez um experimento | valor=1241
linha=21 | nome=Ana | acao=comparou as metricas | valor=6847
linha=22 | nome=Ana | acao=estudou computacao | valor=2877
linha=23 | nome=Felipe | acao=estudou computacao | valor=1029
linha=24 | nome=Sofia | acao=otimizou o algoritmo | valor=8901
linha=25 | nome=Renata | acao=estudou computacao | valor=2051
linha=26 | nome=Sofia | acao=comparou as metricas | valor=9669
linha=27 | nome=Karen | acao=estudou computacao | valor=1906
linha=28 | nome=Otavio | acao=executou o benchmark | valor=3498
linha=29 | nome=Tiago | acao=executou o benchmark | valor=4350
linha=30 | nome=Carlos | acao=otimizou o algoritmo | valor=5639
linha=31 | nome=Joao | acao=executou o benchmark | valor=9913
linha=32 | nome=Vitor | acao=executou o benchmark | valor=2697
linha=33 | nome=Mariana | acao=executou o benchmark | valor=7402
linha=34 | nome=Helena | acao=otimizou o algoritmo | valor=7617
linha=35 | nome=Karen | acao=analisou os resultados | valor=8646
linha=36 | nome=Bruno | acao=analisou os resultados | valor=7637
linha=37 | nome=Joao | acao=comparou as metricas | valor=4671
linha=38 | nome=Lucas | acao=fez um experimento | valor=1480
linha=39 | nome=Carlos | acao=otimizou o algoritmo | valor=8584
linha=40 | nome=Joao | acao=executou o benchmark | valor=3120
linha=41 | nome=Paulo | acao=escreveu o relatorio | valor=9701
linha=42 | nome=Bruno | acao=analisou os resultados | valor=7230
linha=43 | nome=Ana | acao=otimizou o algoritmo | valor=4893
linha=44 | nome=Helena | acao=analisou os resultados | valor=1864
linha=45 | nome=Otavio | acao=analisou os resultados | valor=6063
linha=46 | nome=Gabriela | acao=participou da aula | valor=3529
linha=47 | nome=Karen | acao=escreveu o relatorio | valor=5353
linha=48 | nome=Bruno | acao=fez um experimento | valor=4152
linha=49 | nome=Helena | acao=otimizou o algoritmo | valor=9115
linha=50 | nome=Mariana | acao=executou o benchmark | valor=4088
linha=51 | nome=Paulo | acao=otimizou o algoritmo | valor=9221
linha=52 | nome=Bruno | acao=comparou as metricas | valor=9756
linha=53 | nome=Eduarda | acao=participou da aula | valor=1537
linha=54 | nome=Helena | acao=escreveu o relatorio | valor=2837
linha=55 | nome=Eduarda | acao=fez um experimento | valor=8822
linha=56 | nome=Gabriela | acao=escreveu o relatorio | valor=2606
linha=57 | nome=Tiago | acao=fez um experimento | valor=1497
linha=58 | nome=Felipe | acao=executou o benchmark | valor=9640
linha=59 | nome=Karen | acao=otimizou o algoritmo | valor=8360
linha=60 | nome=Sofia | acao=executou o benchmark | valor=2323
linha=61 | nome=Sofia | acao=fez um experimento | valor=3516
linha=62 | nome=Bruno | acao=otimizou o algoritmo | valor=6489
linha=63 | nome=Helena | acao=executou o benchmark | valor=9513
linha=64 | nome=Mariana | acao=executou o benchmark | valor=5342
linha=65 | nome=Igor | acao=fez um experimento | valor=8753
linha=66 | nome=Mariana | acao=fez um experimento | valor=3225
linha=67 | nome=Carlos | acao=escreveu o relatorio | valor=2505
linha=68 | nome=Lucas | acao=escreveu o relatorio | valor=1857
linha=69 | nome=Joao | acao=participou da aula | valor=4136
linha=70 | nome=Carlos | acao=participou da aula | valor=7917
linha=71 | nome=Renata | acao=executou o benchmark | valor=7101
linha=72 | nome=Karen | acao=comparou as metricas | valor=6427
linha=73 | nome=Renata | acao=escreveu o relatorio | valor=6797
linha=74 | nome=Natalia | acao=fez um experimento | valor=1817
linha=75 | nome=Ana | acao=otimizou o algoritmo | valor=8715
linha=76 | nome=Renata | acao=fez um experimento | valor=4274
linha=77 | nome=Igor | acao=executou o benchmark | valor=5171
linha=78 | nome=Natalia | acao=executou o benchmark | valor=5709
linha=79 | nome=Daniela | acao=estudou computacao | valor=2824
linha=80 | nome=Vitor | acao=fez um experimento | valor=2839
linha=81 | nome=Mariana | acao=analisou os resultados | valor=9665
linha=82 | nome=Renata | acao=otimizou o algoritmo | valor=2989
linha=83 | nome=Felipe | acao=otimizou o algoritmo | valor=9574
linha=84 | nome=Vitor | acao=participou da aula | valor=9767
linha=85 | nome=Helena | acao=comparou as metricas | valor=7744
linha=86 | nome=Ana | acao=executou o benchmark | valor=8890
linha=87 | nome=Natalia | acao=participou da aula | valor=5043
linha=88 | nome=Sofia | acao=fez um experimento | valor=6669
linha=89 | nome=Gabriela | acao=executou o benchmark | valor=3458
linha=90 | nome=Paulo | acao=escreveu o relatorio | valor=5744
linha=91 | nome=Ana | acao=fez um experimento | valor=5491
linha=92 | nome=Joao | acao=escreveu o relatorio | valor=1490
linha=93 | nome=Lucas | acao=escreveu o relatorio | valor=8944
linha=94 | nome=Tiago | acao=fez um experimento | valor=1500
linha=95 | nome=Sofia | acao=executou o benchmark | valor=4918
linha=96 | nome=Sofia | acao=analisou os resultados | valor=9149
linha=97 | nome=Paulo | acao=analisou os resultados | valor=3987
linha=98 | nome=Mariana | acao=executou o benchmark | valor=6084
linha=99 | nome=Renata | acao=participou da aula | valor=2952
linha=100 | nome=Gabriela | acao=escreveu o relatorio | valor=5408
linha=101 | nome=Ana | acao=executou o benchmark | valor=8225
linha=102 | nome=Bruno | acao=analisou os resultados | valor=8726
linha=103 | nome=Igor | acao=comparou as metricas | valor=7475
linha=104 | nome=Vitor | acao=fez um experimento | valor=6046
linha=105 | nome=Natalia | acao=fez um experimento | valor=5061
linha=106 | nome=Mariana | acao=analisou os resultados | valor=1762
linha=107 | nome=Carlos | acao=estudou computacao | valor=4285
linha=108 | nome=Ana | acao=escreveu o relatorio | valor=5525
linha=109 | nome=Natalia | acao=estudou computacao | valor=9829
linha=110 | nome=Joao | acao=otimizou o algoritmo | valor=1085
linha=111 | nome=Felipe | acao=estudou computacao | valor=3767
linha=112 | nome=Daniela | acao=comparou as metricas | valor=8318
linha=113 | nome=Gabriela | acao=executou o benchmark | valor=8598
linha=114 | nome=Lucas | acao=executou o benchmark | valor=2362
linha=115 | nome=Mariana | acao=fez um experimento | valor=9325
linha=116 | nome=Tiago | acao=executou o benchmark | valor=5104
linha=117 | nome=Ana | acao=fez um experimento | valor=9893
linha=118 | nome=Paulo | acao=executou o benchmark | valor=8392
linha=119 | nome=Otavio | acao=fez um experimento | valor=9521
linha=120 | nome=Tiago | acao=fez um experimento | valor=8906
linha=121 | nome=Paulo | acao=fez um experimento | valor=2549
linha=122 | nome=Carlos | acao=comparou as metricas | valor=3657
linha=123 | nome=Carlos | acao=executou o benchmark | valor=8628
linha=124 | nome=Sofia | acao=fez um experimento | valor=1113
linha=125 | nome=Eduarda | acao=estudou computacao | valor=2475
linha=126 | nome=Tiago | acao=estudou computacao | valor=3719
linha=127 | nome=Ana | acao=estudou computacao | valor=4624
linha=128 | nome=Paulo | acao=executou o benchmark | valor=2120
linha=129 | nome=Gabriela | acao=participou da aula | valor=5273
linha=130 | nome=Felipe | acao=fez um experimento | valor=2670
linha=131 | nome=Natalia | acao=comparou as metricas | valor=4054
linha=132 | nome=Bruno | acao=comparou as metricas | valor=4077
linha=133 | nome=Natalia | acao=fez um experimento | valor=5739
linha=134 | nome=Ana | acao=estudou computacao | valor=4555
linha=135 | nome=Mariana | acao=analisou os resultados | valor=3982
linha=136 | nome=Karen | acao=analisou os resultados | valor=5690
linha=137 | nome=Paulo | acao=otimizou o algoritmo | valor=9985
linha=138 | nome=Sofia | acao=analisou os resultados | valor=8414
linha=139 | nome=Bruno | acao=otimizou o algoritmo | valor=9021
linha=140 | nome=Carlos | acao=estudou computacao | valor=9140
linha=141 | nome=Mariana | acao=comparou as metricas | valor=3580
linha=142 | nome=Karen | acao=comparou as metricas | valor=9672
linha=143 | nome=Helena | acao=escreveu o relatorio | valor=1298
linha=144 | nome=Eduarda | acao=fez um experimento | valor=9667
linha=145 | nome=Renata | acao=executou o benchmark | valor=2053
linha=146 | nome=Lucas | acao=participou da aula | valor=3524
linha=147 | nome=Igor | acao=participou da aula | valor=7130
linha=148 | nome=Helena | acao=comparou as metricas | valor=4486
linha=149 | nome=Karen | acao=fez um experimento | valor=2855
linha=150 | nome=Paulo | acao=comparou as metricas | valor=9131
linha=151 | nome=Natalia | acao=analisou os resultados | valor=1858
linha=152 | nome=Mariana | acao=fez um experimento | valor=8730
linha=153 | nome=Carlos | acao=escreveu o relatorio | valor=7085
linha=154 | nome=Igor | acao=fez um experimento | valor=4430
linha=155 | nome=Gabriela | acao=escreveu o relatorio | valor=4971
linha=156 | nome=Igor | acao=fez um experimento | valor=4383
linha=157 | nome=Eduarda | acao=escreveu o relatorio | valor=2470
linha=158 | nome=Natalia | acao=analisou os resultados | valor=9173
linha=159 | nome=Vitor | acao=comparou as metricas | valor=1856
linha=160 | nome=Felipe | acao=participou da aula | valor=1032
linha=161 | nome=Joao | acao=participou da aula | valor=7870
linha=162 | nome=Karen | acao=participou da aula | valor=2631
linha=163 | nome=Igor | acao=escreveu o relatorio | valor=6379
linha=164 | nome=Helena | acao=executou o benchmark | valor=4140
