linha=1 | nome=Sofia | acao=estudou computacao | valor=7362
linha=2 | nome=Sofia | acao=estudou computacao | valor=9669
linha=3 | nome=Lucas | acao=otimizou o algoritmo | valor=1306
linha=4 | nome=Daniela | acao=escreveu o relatorio | valor=7874
linha=5 | nome=Eduarda | acao=estudou computacao | valor=3392
linha=6 | nome=Vitor | acao=comparou as metricas | valor=1930
linha=7 | nome=Gabriela | acao=fez um experimento | valor=4166
linha=8 | nome=Karen | acao=participou da aula | valor=1400
linha=9 | nome=Tiago | acao=comparou as metricas | valor=7412
linha=10 | nome=Eduarda | acao=analisou os resultados | valor=5326
linha=11 | nome=Ana | acao=escreveu o relatorio | valor=6254
linha=12 | nome=Igor | acao=executou o benchmark | valor=3897
linha=13 | nome=Lucas | acao=otimizou o algoritmo | valor=4665
linha=14 | nome=Vitor | acao=fez um experimento | valor=7566
linha=15 | nome=Bruno | acao=fez um experimento | valor=5091
linha=16 | nome=Bruno | acao=estudou computacao | valor=7668
linha=17 | nome=Renata | acao=comparou as metricas | valor=3240
linha=18 | nome=Renata | acao=escreveu o relatorio | valor=6052
linha=19 | nome=Daniela | acao=escreveu o relatorio | valor=5689
linha=20 | nome=Gabriela | acao=estudou computacao | valor=3006
linha=21 | nome=Otavio | acao=fez um experimento | valor=3315
linha=22 | nome=Lucas | acao=executou o benchmark | valor=9209
linha=23 | nome=Tiago | acao=estudou computacao | valor=4417
linha=24 | nome=Otavio | acao=participou da aula | valor=6102
linha=25 | nome=Ana | acao=estudou computacao | valor=7005
linha=26 | nome=Sofia | acao=escreveu o relatorio | valor=6097
linha=27 | nome=Daniela | acao=otimizou o algoritmo | valor=6182
linha=28 | nome=Natalia | acao=estudou computacao | valor=7940
linha=29 | nome=Bruno | acao=analisou os resultados | valor=7208
linha=30 | nome=Bruno | acao=otimizou o algoritmo | valor=3939
linha=31 | nome=Joao | acao=participou da aula | valor=9854
linha=32 | nome=Gabriela | acao=otimizou o algoritmo | valor=3166
linha=33 | nome=Lucas | acao=fez um experimento | valor=1375
linha=34 | nome=Karen | acao=otimizou o algoritmo | valor=7051
linha=35 | nome=Otavio | acao=comparou as metricas | valor=4105
linha=36 | nome=Sofia | acao=estudou computacao | valor=3049
linha=37 | nome=Daniela | acao=estudou computacao | valor=7986
linha=38 | nome=Helena | acao=comparou as metricas | valor=9182
linha=39 | nome=Eduarda | acao=comparou as metricas | valor=7950
linha=40 | nome=Helena | acao=comparou as metricas | valor=5312
linha=41 | nome=Carlos | acao=comparou as metricas | valor=3233
linha=42 | nome=Paulo | acao=escreveu o relatorio | valor=7521
linha=43 | nome=Mariana | acao=estudou computacao | valor=4401
linha=44 | nome=Carlos | acao=executou o benchmark | valor=5380
linha=45 | nome=Karen | acao=analisou os resultados | valor=2592
linha=46 | nome=Eduarda | acao=comparou as metricas | valor=2254
linha=47 | nome=Ana | acao=analisou os resultados | valor=7466
linha=48 | nome=Eduarda | acao=participou da aula | valor=6487
linha=49 | nome=Sofia | acao=analisou os resultados | valor=4186
linha=50 | nome=Helena | acao=otimizou o algoritmo | valor=8596
linha=51 | nome=Sofia | acao=executou o benchmark | valor=5848
linha=52 | nome=Mariana | acao=comparou as metricas | valor=8990
linha=53 | nome=Carlos | acao=fez um experimento | valor=8217
linha=54 | nome=Helena | acao=comparou as metricas | valor=3097
linha=55 | nome=Sofia | acao=fez um experimento | valor=8667
linha=56 | nome=Mariana | acao=escreveu o relatorio | valor=1008
linha=57 | nome=Gabriela | acao=executou o benchmark | valor=6496
linha=58 | nome=Otavio | acao=participou da aula | valor=2740
linha=59 | nome=Paulo | acao=fez um experimento | valor=8068
linha=60 | nome=Bruno | acao=estudou computacao | valor=2536
linha=61 | nome=Helena | acao=comparou as metricas | valor=2736
linha=62 | nome=Renata | acao=escreveu o relatorio | valor=2248
linha=63 | nome=Natalia | acao=fez um experimento | valor=7433
linha=64 | nome=Mariana | acao=fez um experimento | valor=5517
linha=65 | nome=Lucas | acao=analisou os resultados | valor=6272
linha=66 | nome=Vitor | acao=analisou os resultados | valor=3421
linha=67 | nome=Karen | acao=analisou os resultados | valor=5570
linha=68 | nome=Felipe | acao=participou da aula | valor=4917
linha=69 | nome=Igor | acao=estudou computacao | valor=1134
linha=70 | nome=Mariana | acao=escreveu o relatorio | valor=6719
linha=71 | nome=Carlos | acao=estudou computacao | valor=1712
linha=72 | nome=Joao | acao=estudou computacao | valor=8298
linha=73 | nome=Otavio | acao=otimizou o algoritmo | valor=1367
linha=74 | nome=Gabriela | acao=analisou os resultados | valor=3165
linha=75 | nome=Sofia | acao=executou o benchmark | valor=1209
linha=76 | nome=Daniela | acao=otimizou o algoritmo | valor=8375
linha=77 | nome=Renata | acao=comparou as metricas | valor=8024
linha=78 | nome=Otavio | acao=escreveu o relatorio | valor=4489
linha=79 | nome=Renata | acao=analisou os resultados | valor=5315
linha=80 | nome=Eduarda | acao=analisou os resultados | valor=5199
linha=81 | nome=Karen | acao=otimizou o algoritmo | valor=3460
linha=82 | nome=Mariana | acao=comparou as metricas | valor=6435
linha=83 | nome=Daniela | acao=estudou computacao | valor=9648
linha=84 | nome=Otavio | acao=fez um experimento | valor=9980
linha=85 | nome=Bruno | acao=fez um experimento | valor=7527
linha=86 | nome=Paulo | acao=otimizou o algoritmo | valor=3519
linha=87 | nome=Mariana | acao=estudou computacao | valor=4487
linha=88 | nome=Tiago | acao=escreveu o relatorio | valor=1011
linha=89 | nome=Tiago | acao=estudou computacao | valor=7167
linha=90 | nome=Bruno | acao=fez um experimento | valor=1268
linha=91 | nome=Paulo | acao=fez um experimento | valor=8968
linha=92 | nome=Joao | acao=executou o benchmark | valor=1926
linha=93 | nome=Vitor | acao=participou da aula | valor=6291
linha=94 | nome=Joao | acao=participou da aula | valor=7936
linha=95 | nome=Igor | acao=estudou computacao | valor=6506
linha=96 | nome=Lucas | acao=otimizou o algoritmo | valor=9320
linha=97 | nome=Vitor | acao=analisou os resultados | valor=2306
linha=98 | nome=Helena | acao=otimizou o algoritmo | valor=4261
linha=99 | nome=Bruno | acao=executou o benchmark | valor=3699
linha=100 | nome=Tiago | acao=executou o benchmark | valor=5551
linha=101 | nome=Eduarda | acao=analisou os resultados | valor=6662
linha=102 | nome=Mariana | acao=otimizou o algoritmo | valor=5704
linha=103 | nome=Sofia | acao=escreveu o relatorio | valor=8105
linha=104 | nome=Tiago | acao=executou o benchmark | valor=7320
linha=105 | nome=Sofia | acao=escreveu o relatorio | valor=3430
linha=106 | nome=Igor | acao=fez um experimento | valor=1424
linha=107 | nome=Renata | acao=fez um experimento | valor=6542
linha=108 | nome=Otavio | acao=participou da aula | valor=3376
linha=109 | nome=Helena | acao=fez um experimento | valor=4097
linha=110 | nome=Mariana | acao=executou o benchmark | valor=2676
linha=111 | nome=Mariana | acao=analisou os resultados | valor=3127
linha=112 | nome=Lucas | acao=analisou os resultados | valor=2718
linha=113 | nome=Felipe | acao=analisou os resultados | valor=2105
linha=114 | nome=Paulo | acao=otimizou o algoritmo | valor=9109
