linha=1 | nome=Joao | acao=escreveu o relatorio | valor=3891
linha=2 | nome=Carlos | acao=fez um experimento | valor=1159
linha=3 | nome=Eduarda | acao=comparou as metricas | valor=6444
linha=4 | nome=Paulo | acao=analisou os resultados | valor=4168
linha=5 | nome=Eduarda | acao=comparou as metricas | valor=9114
linha=6 | nome=Paulo | acao=estudou computacao | valor=1719
linha=7 | nome=Gabriela | acao=otimizou o algoritmo | valor=3904
linha=8 | nome=Gabriela | acao=comparou as metricas | valor=4339
linha=9 | nome=Helena | acao=comparou as metricas | valor=4638
linha=10 | nome=Bruno | acao=estudou computacao | valor=1664
linha=11 | nome=Helena | acao=escreveu o relatorio | valor=5743
linha=12 | nome=Renata | acao=executou o benchmark | valor=4897
linha=13 | nome=Joao | acao=escreveu o relatorio | valor=7377
linha=14 | nome=Renata | acao=executou o benchmark | valor=8822
linha=15 | nome=Eduarda | acao=analisou os resultados | valor=2349
linha=16 | nome=Karen | acao=estudou computacao | valor=5817
linha=17 | nome=Felipe | acao=escreveu o relatorio | valor=1385
linha=18 | nome=Bruno | acao=comparou as metricas | valor=7648
linha=19 | nome=Eduarda | acao=escreveu o relatorio | valor=3374
linha=20 | nome=Sofia | acao=fez um experimento | valor=7042
linha=21 | nome=Tiago | acao=fez um experimento | valor=9133
linha=22 | nome=Eduarda | acao=executou o benchmark | valor=4843
linha=23 | nome=Joao | acao=executou o benchmark | valor=7535
linha=24 | nome=Ana | acao=analisou os resultados | valor=9029
linha=25 | nome=Karen | acao=participou da aula | valor=5906
linha=26 | nome=Joao | acao=executou o benchmark | valor=7242
linha=27 | nome=Mariana | acao=fez um experimento | valor=7227
linha=28 | nome=Helena | acao=otimizou o algoritmo | valor=1749
linha=29 | nome=Helena | acao=estudou computacao | valor=6794
linha=30 | nome=Vitor | acao=fez um experimento | valor=7978
linha=31 | nome=Eduarda | acao=estudou computacao | valor=6914
linha=32 | nome=Daniela | acao=executou o benchmark | valor=1947
linha=33 | nome=Gabriela | acao=analisou os resultados | valor=1222
linha=34 | nome=Tiago | acao=comparou as metricas | valor=5563
linha=35 | nome=Lucas | acao=fez um experimento | valor=8536
linha=36 | nome=Gabriela | acao=analisou os resultados | valor=3259
linha=37 | nome=Renata | acao=comparou as metricas | valor=7236
linha=38 | nome=Mariana | acao=otimizou o algoritmo | valor=2222
linha=39 | nome=Paulo | acao=comparou as metricas | valor=5733
linha=40 | nome=Sofia | acao=executou o benchmark | valor=4983
linha=41 | nome=Otavio | acao=escreveu o relatorio | valor=7411
linha=42 | nome=Lucas | acao=executou o benchmark | valor=5073
linha=43 | nome=Ana | acao=analisou os resultados | valor=7126
linha=44 | nome=Paulo | acao=executou o benchmark | valor=7380
linha=45 | nome=Helena | acao=participou da aula | valor=1490
linha=46 | nome=Daniela | acao=estudou computacao | valor=5910
linha=47 | nome=Igor | acao=executou o benchmark | valor=9886
linha=48 | nome=Bruno | acao=analisou os resultados | valor=4023
linha=49 | nome=Helena | acao=estudou computacao | valor=9427
linha=50 | nome=Igor | acao=participou da aula | valor=6424
linha=51 | nome=Carlos | acao=participou da aula | valor=7996
linha=52 | nome=Mariana | acao=comparou as metricas | valor=9108
linha=53 | nome=Sofia | acao=fez um experimento | valor=4833
linha=54 | nome=Helena | acao=escreveu o relatorio | valor=5586
linha=55 | nome=Helena | acao=executou o benchmark | valor=6430
linha=56 | nome=Bruno | acao=comparou as metricas | valor=6276
linha=57 | nome=Paulo | acao=comparou as metricas | valor=2292
linha=58 | nome=Mariana | acao=executou o benchmark | valor=4622
linha=59 | nome=Mariana | acao=analisou os resultados | valor=4856
linha=60 | nome=Carlos | acao=otimizou o algoritmo | valor=1381
linha=61 | nome=Daniela | acao=fez um experimento | valor=1783
linha=62 | nome=Gabriela | acao=comparou as metricas | valor=4600
linha=63 | nome=Ana | acao=estudou computacao | valor=9540
linha=64 | nome=Tiago | acao=otimizou o algoritmo | valor=5233
linha=65 | nome=Renata | acao=participou da aula | valor=3716
linha=66 | nome=Mariana | acao=otimizou o algoritmo | valor=2106
linha=67 | nome=Ana | acao=otimizou o algoritmo | valor=1336
linha=68 | nome=Gabriela | acao=escreveu o relatorio | valor=1689
linha=69 | nome=Tiago | acao=escreveu o relatorio | valor=5259
linha=70 | nome=Sofia | acao=participou da aula | valor=7978
linha=71 | nome=Bruno | acao=otimizou o algoritmo | valor=8808
linha=72 | nome=Otavio | acao=analisou os resultados | valor=3153
linha=73 | nome=Gabriela | acao=fez um experimento | valor=8091
