linha=1 | nome=Paulo | acao=executou o benchmark | valor=3803
linha=2 | nome=Daniela | acao=escreveu o relatorio | valor=1599
linha=3 | nome=Paulo | acao=fez um experimento | valor=1993
linha=4 | nome=Mariana | acao=comparou as metricas | valor=8876
linha=5 | nome=Paulo | acao=fez um experimento | valor=9915
linha=6 | nome=Ana | acao=executou o benchmark | valor=7352
linha=7 | nome=Vitor | acao=fez um experimento | valor=5205
linha=8 | nome=Sofia | acao=escreveu o relatorio | valor=8559
linha=9 | nome=Natalia | acao=estudou computacao | valor=4434
linha=10 | nome=Daniela | acao=estudou computacao | valor=1973
linha=11 | nome=Mariana | acao=participou da aula | valor=2420
linha=12 | nome=Felipe | acao=fez um experimento | valor=1198
linha=13 | nome=Karen | acao=executou o benchmark | valor=4378
linha=14 | nome=Daniela | acao=otimizou o algoritmo | valor=3079
linha=15 | nome=Natalia | acao=otimizou o algoritmo | valor=8955
linha=16 | nome=Mariana | acao=comparou as metricas | valor=4871
linha=17 | nome=Natalia | acao=estudou computacao | valor=8535
linha=18 | nome=Lucas | acao=estudou computacao | valor=7836
linha=19 | nome=Daniela | acao=fez um experimento | valor=7934
linha=20 | nome=Eduarda | acao=fez um experimento | valor=3304
linha=21 | nome=Gabriela | acao=participou da aula | valor=3677
linha=22 | nome=Joao | acao=otimizou o algoritmo | valor=1594
linha=23 | nome=Natalia | acao=escreveu o relatorio | valor=9872
linha=24 | nome=Ana | acao=analisou os resultados | valor=1039
linha=25 | nome=Mariana | acao=participou da aula | valor=4897
linha=26 | nome=Vitor | acao=fez um experimento | valor=3373
linha=27 | nome=Mariana | acao=executou o benchmark | valor=1479
linha=28 | nome=Vitor | acao=estudou computacao | valor=7720
linha=29 | nome=Tiago | acao=participou da aula | valor=2740
linha=30 | nome=Ana | acao=otimizou o algoritmo | valor=3713
linha=31 | nome=Carlos | acao=estudou computacao | valor=6131
linha=32 | nome=Eduarda | acao=executou o benchmark | valor=7646
linha=33 | nome=Felipe | acao=comparou as metricas | valor=8219
linha=34 | nome=Felipe | acao=participou da aula | valor=5308
linha=35 | nome=Karen | acao=participou da aula | valor=4500
linha=36 | nome=Carlos | acao=estudou computacao | valor=5205
linha=37 | nome=Lucas | acao=participou da aula | valor=2376
linha=38 | nome=Carlos | acao=executou o benchmark | valor=2576
linha=39 | nome=Paulo | acao=escreveu o relatorio | valor=3626
linha=40 | nome=Otavio | acao=executou o benchmark | valor=5476
linha=41 | nome=Natalia | acao=estudou computacao | valor=6405
linha=42 | nome=Eduarda | acao=comparou as metricas | valor=4960
linha=43 | nome=Otavio | acao=comparou as metricas | valor=9608
linha=44 | nome=Helena | acao=fez um experimento | valor=5750
linha=45 | nome=Bruno | acao=otimizou o algoritmo | valor=2743
linha=46 | nome=Lucas | acao=estudou computacao | valor=3490
linha=47 | nome=Felipe | acao=escreveu o relatorio | valor=2155
linha=48 | nome=Daniela | acao=executou o benchmark | valor=7605
linha=49 | nome=Helena | acao=executou o benchmark | valor=9134
linha=50 | nome=Paulo | acao=estudou computacao | valor=1525
linha=51 | nome=Gabriela | acao=fez um experimento | valor=6979
linha=52 | nome=Karen | acao=otimizou o algoritmo | valor=3138
linha=53 | nome=Bruno | acao=estudou computacao | valor=6582
linha=54 | nome=Sofia | acao=analisou os resultados | valor=9568
linha=55 | nome=Sofia | acao=otimizou o algoritmo | valor=4620
linha=56 | nome=Joao | acao=analisou os resultados | valor=4418
linha=57 | nome=Felipe | acao=executou o benchmark | valor=1633
linha=58 | nome=Mariana | acao=analisou os resultados | valor=7837
linha=59 | nome=Igor | acao=executou o benchmark | valor=3328
linha=60 | nome=Vitor | acao=participou da aula | valor=6956
linha=61 | nome=Felipe | acao=participou da aula | valor=6350
linha=62 | nome=Paulo | acao=otimizou o algoritmo | valor=2117
linha=63 | nome=Bruno | acao=otimizou o algoritmo | valor=3733
linha=64 | nome=Tiago | acao=executou o benchmark | valor=2925
linha=65 | nome=Joao | acao=comparou as metricas | valor=6339
linha=66 | nome=Gabriela | acao=analisou os resultados | valor=5486
linha=67 | nome=Sofia | acao=participou da aula | valor=9111
linha=68 | nome=Carlos | acao=otimizou o algoritmo | valor=1693
linha=69 | nome=Mariana | acao=estudou computacao | valor=1213
linha=70 | nome=Carlos | acao=participou da aula | valor=8904
linha=71 | nome=Tiago | acao=participou da aula | valor=4689
linha=72 | nome=Daniela | acao=participou da aula | valor=3077
linha=73 | nome=Eduarda | acao=participou da aula | valor=7493
linha=74 | nome=Helena | acao=comparou as metricas | valor=1298
linha=75 | nome=Eduarda | acao=comparou as metricas | valor=5447
linha=76 | nome=Felipe | acao=estudou computacao | valor=4975
linha=77 | nome=Igor | acao=fez um experimento | valor=8564
linha=78 | nome=Helena | acao=executou o benchmark | valor=2379
linha=79 | nome=Daniela | acao=fez um experimento | valor=9968
linha=80 | nome=Karen | acao=escreveu o relatorio | valor=1516
linha=81 | nome=Lucas | acao=executou o benchmark | valor=6084
linha=82 | nome=Carlos | acao=analisou os resultados | valor=5880
