linha=1 | nome=Lucas | acao=comparou as metricas | valor=1308
linha=2 | nome=Igor | acao=comparou as metricas | valor=2824
linha=3 | nome=Ana | acao=comparou as metricas | valor=2700
linha=4 | nome=Ana | acao=comparou as metricas | valor=3315
linha=5 | nome=Vitor | acao=participou da aula | valor=6344
linha=6 | nome=Igor | acao=fez um experimento | valor=7416
linha=7 | nome=Eduarda | acao=participou da aula | valor=9831
linha=8 | nome=Lucas | acao=executou o benchmark | valor=7912
linha=9 | nome=Otavio | acao=participou da aula | valor=9677
linha=10 | nome=Bruno | acao=estudou computacao | valor=6773
linha=11 | nome=Vitor | acao=estudou computacao | valor=8147
linha=12 | nome=Daniela | acao=executou o benchmark | valor=9631
linha=13 | nome=Daniela | acao=escreveu o relatorio | valor=6563
linha=14 | nome=Eduarda | acao=comparou as metricas | valor=8212
linha=15 | nome=Gabriela | acao=escreveu o relatorio | valor=1379
linha=16 | nome=Sofia | acao=escreveu o relatorio | valor=3081
linha=17 | nome=Natalia | acao=analisou os resultados | valor=6824
linha=18 | nome=Bruno | acao=participou da aula | valor=2073
linha=19 | nome=Sofia | acao=comparou as metricas | valor=5591
linha=20 | nome=Karen | acao=participou da aula | valor=2459
linha=21 | nome=Mariana | acao=estudou computacao | valor=7785
linha=22 | nome=Ana | acao=fez um experimento | valor=8353
linha=23 | nome=Carlos | acao=escreveu o relatorio | valor=1419
linha=24 | nome=Paulo | acao=executou o benchmark | valor=2089
linha=25 | nome=Karen | acao=estudou computacao | valor=1245
linha=26 | nome=Sofia | acao=analisou os resultados | valor=9211
linha=27 | nome=Sofia | acao=otimizou o algoritmo | valor=8281
linha=28 | nome=Mariana | acao=escreveu o relatorio | valor=7364
linha=29 | nome=Otavio | acao=participou da aula | valor=2369
linha=30 | nome=Lucas | acao=otimizou o algoritmo | valor=4913
linha=31 | nome=Ana | acao=participou da aula | valor=5957
linha=32 | nome=Eduarda | acao=executou o benchmark | valor=7852
linha=33 | nome=Vitor | acao=comparou as metricas | valor=1712
linha=34 | nome=Igor | acao=escreveu o relatorio | valor=6233
linha=35 | nome=Gabriela | acao=participou da aula | valor=1884
linha=36 | nome=Ana | acao=fez um experimento | valor=3170
linha=37 | nome=Igor | acao=fez um experimento | valor=3599
linha=38 | nome=Igor | acao=fez um experimento | valor=2055
linha=39 | nome=Karen | acao=comparou as metricas | valor=7483
linha=40 | nome=Karen | acao=otimizou o algoritmo | valor=1939
linha=41 | nome=Carlos | acao=fez um experimento | valor=7627
linha=42 | nome=Ana | acao=otimizou o algoritmo | valor=7295
linha=43 | nome=Vitor | acao=fez um experimento | valor=7794
linha=44 | nome=Natalia | acao=escreveu o relatorio | valor=7707
linha=45 | nome=Otavio | acao=participou da aula | valor=6035
linha=46 | nome=Felipe | acao=participou da aula | valor=2005
linha=47 | nome=Joao | acao=estudou computacao | valor=5117
linha=48 | nome=Eduarda | acao=participou da aula | valor=4419
linha=49 | nome=Paulo | acao=estudou computacao | valor=3458
linha=50 | nome=Igor | acao=escreveu o relatorio | valor=7361
linha=51 | nome=Otavio | acao=estudou computacao | valor=4469
linha=52 | nome=Felipe | acao=comparou as metricas | valor=8783
linha=53 | nome=Renata | acao=executou o benchmark | valor=4540
linha=54 | nome=Mariana | acao=analisou os resultados | valor=1079
linha=55 | nome=Eduarda | acao=estudou computacao | valor=4517
linha=56 | nome=Mariana | acao=escreveu o relatorio | valor=3625
linha=57 | nome=Joao | acao=comparou as metricas | valor=8705
linha=58 | nome=Joao | acao=otimizou o algoritmo | valor=2653
linha=59 | nome=Mariana | acao=analisou os resultados | valor=3273
linha=60 | nome=Mariana | acao=comparou as metricas | valor=8803
linha=61 | nome=Vitor | acao=analisou os resultados | valor=6435
linha=62 | nome=Igor | acao=otimizou o algoritmo | valor=4290
linha=63 | nome=Mariana | acao=comparou as metricas | valor=7031
linha=64 | nome=Mariana | acao=executou o benchmark | valor=4396
linha=65 | nome=Tiago | acao=escreveu o relatorio | valor=8163
linha=66 | nome=Sofia | acao=executou o benchmark | valor=3447
linha=67 | nome=Bruno | acao=analisou os resultados | valor=1567
linha=68 | nome=Carlos | acao=fez um experimento | valor=7459
linha=69 | nome=Otavio | acao=otimizou o algoritmo | valor=6615
linha=70 | nome=Daniela | acao=estudou computacao | valor=9321
linha=71 | nome=Tiago | acao=otimizou o algoritmo | valor=3117
linha=72 | nome=Ana | acao=analisou os resultados | valor=8534
linha=73 | nome=Mariana | acao=participou da aula | valor=9004
linha=74 | nome=Mariana | acao=otimizou o algoritmo | valor=2107
linha=75 | nome=Vitor | acao=escreveu o relatorio | valor=6214
linha=76 | nome=Otavio | acao=comparou as metricas | valor=2466
linha=77 | nome=Natalia | acao=analisou os resultados | valor=8571
linha=78 | nome=Carlos | acao=fez um experimento | valor=4870
linha=79 | nome=Felipe | acao=analisou os resultados | valor=1890
linha=80 | nome=Otavio | acao=estudou computacao | valor=4392
linha=81 | nome=Vitor | acao=participou da aula | valor=5507
linha=82 | nome=Felipe | acao=estudou computacao | valor=2217
linha=83 | nome=Carlos | acao=participou da aula | valor=5908
linha=84 | nome=Natalia | acao=analisou os resultados | valor=8962
linha=85 | nome=Paulo | acao=fez um experimento | valor=6113
linha=86 | nome=Renata | acao=estudou computacao | valor=3427
linha=87 | nome=Tiago | acao=executou o benchmark | valor=1119
linha=88 | nome=Ana | acao=otimizou o algoritmo | valor=8784
linha=89 | nome=Renata | acao=comparou as metricas | valor=5959
linha=90 | nome=Helena | acao=escreveu o relatorio | valor=9295
linha=91 | nome=Mariana | acao=comparou as metricas | valor=2203
linha=92 | nome=Sofia | acao=analisou os resultados | valor=7073
linha=93 | nome=Gabriela | acao=executou o benchmark | valor=1281
linha=94 | nome=Carlos | acao=fez um experimento | valor=6777
linha=95 | nome=Carlos | acao=participou da aula | valor=2597
linha=96 | nome=Gabriela | acao=estudou computacao | valor=9142
linha=97 | nome=Mariana | acao=estudou computacao | valor=7544
linha=98 | nome=Sofia | acao=escreveu o relatorio | valor=6669
linha=99 | nome=Eduarda | acao=escreveu o relatorio | valor=2207
linha=100 | nome=Tiago | acao=executou o benchmark | valor=6861
linha=101 | nome=Vitor | acao=estudou computacao | valor=8882
linha=102 | nome=Carlos | acao=participou da aula | valor=4946
linha=103 | nome=Felipe | acao=otimizou o algoritmo | valor=1773
linha=104 | nome=Sofia | acao=estudou computacao | valor=5552
linha=105 | nome=Vitor | acao=participou da aula | valor=1839
linha=106 | nome=Helena | acao=executou o benchmark | valor=4456
linha=107 | nome=Paulo | acao=otimizou o algoritmo | valor=9151
linha=108 | nome=Igor | acao=estudou computacao | valor=6196
linha=109 | nome=Igor | acao=executou o benchmark | valor=9064
linha=110 | nome=Lucas | acao=escreveu o relatorio | valor=3133
linha=111 | nome=Vitor | acao=otimizou o algoritmo | valor=3252
linha=112 | nome=Vitor | acao=estudou computacao | valor=8405
linha=113 | nome=Gabriela | acao=fez um experimento | valor=3025
linha=114 | nome=Natalia | acao=estudou computacao | valor=9581
linha=115 | nome=Eduarda | acao=otimizou o algoritmo | valor=8219
linha=116 | nome=Carlos | acao=escreveu o relatorio | valor=8760
linha=117 | nome=Gabriela | acao=fez um experimento | valor=3202
linha=118 | nome=Karen | acao=analisou os resultados | valor=7902
linha=119 | nome=Otavio | acao=executou o benchmark | valor=8909
linha=120 | nome=Natalia | acao=participou da aula | valor=8112
linha=121 | nome=Igor | acao=estudou computacao | valor=3145
linha=122 | nome=Daniela | acao=participou da aula | valor=1205
linha=123 | nome=Carlos | acao=estudou computacao | valor=4787
linha=124 | nome=Tiago | acao=otimizou o algoritmo | valor=1351
linha=125 | nome=Gabriela | acao=participou da aula | valor=6533
linha=126 | nome=Otavio | acao=executou o benchmark | valor=3555
linha=127 | nome=Karen | acao=comparou as metricas | valor=7351
linha=128 | nome=Eduarda | acao=analisou os resultados | valor=3967
