linha=1 | nome=Lucas | acao=analisou os resultados | valor=5466
linha=2 | nome=Natalia | acao=fez um experimento | valor=5855
linha=3 | nome=Mariana | acao=executou o benchmark | valor=6489
linha=4 | nome=Lucas | acao=estudou computacao | valor=9076
linha=5 | nome=Otavio | acao=comparou as metricas | valor=5212
linha=6 | nome=Paulo | acao=comparou as metricas | valor=6537
linha=7 | nome=Mariana | acao=participou da aula | valor=1380
linha=8 | nome=Igor | acao=executou o benchmark | valor=1150
linha=9 | nome=Karen | acao=otimizou o algoritmo | valor=3917
linha=10 | nome=Igor | acao=escreveu o relatorio | valor=5026
linha=11 | nome=Mariana | acao=otimizou o algoritmo | valor=8196
linha=12 | nome=Tiago | acao=fez um experimento | valor=9700
linha=13 | nome=Gabriela | acao=otimizou o algoritmo | valor=5918
linha=14 | nome=Ana | acao=escreveu o relatorio | valor=6939
linha=15 | nome=Otavio | acao=otimizou o algoritmo | valor=8306
linha=16 | nome=Igor | acao=comparou as metricas | valor=4792
linha=17 | nome=Otavio | acao=fez um experimento | valor=1827
linha=18 | nome=Gabriela | acao=estudou computacao | valor=4397
linha=19 | nome=Gabriela | acao=estudou computacao | valor=2485
linha=20 | nome=Otavio | acao=escreveu o relatorio | valor=4066
linha=21 | nome=Carlos | acao=escreveu o relatorio | valor=7805
linha=22 | nome=Eduarda | acao=fez um experimento | valor=5176
linha=23 | nome=Vitor | acao=executou o benchmark | valor=3899
linha=24 | nome=Vitor | acao=otimizou o algoritmo | valor=6142
linha=25 | nome=Tiago | acao=otimizou o algoritmo | valor=8328
linha=26 | nome=Gabriela | acao=participou da aula | valor=4830
linha=27 | nome=Ana | acao=comparou as metricas | valor=4244
linha=28 | nome=Felipe | acao=executou o benchmark | valor=2631
linha=29 | nome=Joao | acao=fez um experimento | valor=8320
linha=30 | nome=Natalia | acao=estudou computacao | valor=6853
linha=31 | nome=Felipe | acao=otimizou o algoritmo | valor=5724
linha=32 | nome=Ana | acao=otimizou o algoritmo | valor=2264
linha=33 | nome=Renata | acao=executou o benchmark | valor=8153
linha=34 | nome=Felipe | acao=comparou as metricas | valor=3786
linha=35 | nome=Tiago | acao=estudou computacao | valor=2371
linha=36 | nome=Lucas | acao=executou o benchmark | valor=9706
linha=37 | nome=Renata | acao=estudou computacao | valor=8922
linha=38 | nome=Joao | acao=otimizou o algoritmo | valor=1697
linha=39 | nome=Eduarda | acao=analisou os resultados | valor=6315
linha=40 | nome=Vitor | acao=comparou as metricas | valor=5096
linha=41 | nome=Natalia | acao=analisou os resultados | valor=8661
linha=42 | nome=Igor | acao=otimizou o algoritmo | valor=3481
linha=43 | nome=Mariana | acao=fez um experimento | valor=4492
linha=44 | nome=Carlos | acao=executou o benchmark | valor=3729
linha=45 | nome=Ana | acao=comparou as metricas | valor=1906
linha=46 | nome=Carlos | acao=comparou as metricas | valor=3702
