linha=1 | nome=Eduarda | acao=participou da aula | valor=3466
linha=2 | nome=Otavio | acao=estudou computacao | valor=8913
linha=3 | nome=Sofia | acao=analisou os resultados | valor=5697
linha=4 | nome=Carlos | acao=estudou computacao | valor=9013
linha=5 | nome=Tiago | acao=estudou computacao | valor=5379
linha=6 | nome=Eduarda | acao=executou o benchmark | valor=5122
linha=7 | nome=Renata | acao=estudou computacao | valor=7965
linha=8 | nome=Daniela | acao=comparou as metricas | valor=4702
linha=9 | nome=Lucas | acao=participou da aula | valor=6261
linha=10 | nome=Vitor | acao=analisou os resultados | valor=8242
linha=11 | nome=Karen | acao=estudou computacao | valor=3723
linha=12 | nome=Renata | acao=escreveu o relatorio | valor=9256
linha=13 | nome=Gabriela | acao=otimizou o algoritmo | valor=3520
linha=14 | nome=Bruno | acao=otimizou o algoritmo | valor=9747
linha=15 | nome=Sofia | acao=escreveu o relatorio | valor=8895
linha=16 | nome=Vitor | acao=analisou os resultados | valor=5247
linha=17 | nome=Tiago | acao=participou da aula | valor=4739
linha=18 | nome=Carlos | acao=fez um experimento | valor=1268
linha=19 | nome=Ana | acao=comparou as metricas | valor=4126
linha=20 | nome=Vitor | acao=comparou as metricas | valor=6512
linha=21 | nome=Daniela | acao=escreveu o relatorio | valor=9353
linha=22 | nome=Carlos | acao=otimizou o algoritmo | valor=6021
linha=23 | nome=Paulo | acao=escreveu o relatorio | valor=3866
linha=24 | nome=Mariana | acao=executou o benchmark | valor=3879
linha=25 | nome=Paulo | acao=estudou computacao | valor=3885
linha=26 | nome=Ana | acao=escreveu o relatorio | valor=9341
linha=27 | nome=Bruno | acao=analisou os resultados | valor=5355
linha=28 | nome=Carlos | acao=fez um experimento | valor=5910
linha=29 | nome=Bruno | acao=executou o benchmark | valor=8186
linha=30 | nome=Felipe | acao=otimizou o algoritmo | valor=5300
linha=31 | nome=Sofia | acao=fez um experimento | valor=2669
linha=32 | nome=Natalia | acao=analisou os resultados | valor=3536
linha=33 | nome=Paulo | acao=otimizou o algoritmo | valor=8792
linha=34 | nome=Natalia | acao=executou o benchmark | valor=5059
linha=35 | nome=Paulo | acao=comparou as metricas | valor=3312
linha=36 | nome=Karen | acao=otimizou o algoritmo | valor=8907
linha=37 | nome=Otavio | acao=fez um experimento | valor=5780
linha=38 | nome=Ana | acao=analisou os resultados | valor=4990
linha=39 | nome=Ana | acao=escreveu o relatorio | valor=5742
linha=40 | nome=Igor | acao=fez um experimento | valor=9783
linha=41 | nome=Helena | acao=estudou computacao | valor=1502
linha=42 | nome=Felipe | acao=escreveu o relatorio | valor=1809
linha=43 | nome=Joao | acao=participou da aula | valor=3260
linha=44 | nome=Helena | acao=analisou os resultados | valor=8137
linha=45 | nome=Daniela | acao=estudou computacao | valor=6358
linha=46 | nome=Lucas | acao=analisou os resultados | valor=4278
linha=47 | nome=Ana | acao=escreveu o relatorio | valor=8328
linha=48 | nome=Gabriela | acao=estudou computacao | valor=8974
linha=49 | nome=Helena | acao=comparou as metricas | valor=5305
linha=50 | nome=Felipe | acao=analisou os resultados | valor=8663
linha=51 | nome=Igor | acao=estudou computacao | valor=4017
linha=52 | nome=Karen | acao=fez um experimento | valor=8881
linha=53 | nome=Gabriela | acao=analisou os resultados | valor=3690
linha=54 | nome=Tiago | acao=executou o benchmark | valor=6968
linha=55 | nome=Vitor | acao=executou o benchmark | valor=1906
linha=56 | nome=Natalia | acao=analisou os resultados | valor=5746
linha=57 | nome=Helena | acao=escreveu o relatorio | valor=1260
linha=58 | nome=Karen | acao=escreveu o relatorio | valor=4607
linha=59 | nome=Ana | acao=analisou os resultados | valor=9479
linha=60 | nome=Bruno | acao=estudou computacao | valor=9413
linha=61 | nome=Karen | acao=escreveu o relatorio | valor=4292
linha=62 | nome=Igor | acao=comparou as metricas | valor=1322
linha=63 | nome=Vitor | acao=executou o benchmark | valor=9344
linha=64 | nome=Igor | acao=estudou computacao | valor=4932
linha=65 | nome=Karen | acao=comparou as metricas | valor=2405
linha=66 | nome=Eduarda | acao=escreveu o relatorio | valor=8253
linha=67 | nome=Mariana | acao=estudou computacao | valor=8836
linha=68 | nome=Felipe | acao=estudou computacao | valor=2586
linha=69 | nome=Bruno | acao=executou o benchmark | valor=5804
linha=70 | nome=Igor | acao=comparou as metricas | valor=4783
linha=71 | nome=Igor | acao=comparou as metricas | valor=1670
linha=72 | nome=Ana | acao=executou o benchmark | valor=9533
linha=73 | nome=Felipe | acao=otimizou o algoritmo | valor=1650
linha=74 | nome=Mariana | acao=comparou as metricas | valor=5384
linha=75 | nome=Lucas | acao=estudou computacao | valor=8107
linha=76 | nome=Sofia | acao=comparou as metricas | valor=1023
linha=77 | nome=Ana | acao=escreveu o relatorio | valor=6593
linha=78 | nome=Daniela | acao=otimizou o algoritmo | valor=4897
linha=79 | nome=Renata | acao=otimizou o algoritmo | valor=2924
linha=80 | nome=Daniela | acao=participou da aula | valor=3416
linha=81 | nome=Igor | acao=estudou computacao | valor=8150
linha=82 | nome=Carlos | acao=comparou as metricas | valor=3767
linha=83 | nome=Daniela | acao=otimizou o algoritmo | valor=5079
linha=84 | nome=Carlos | acao=executou o benchmark | valor=3915
linha=85 | nome=Daniela | acao=fez um experimento | valor=1718
linha=86 | nome=Ana | acao=participou da aula | valor=6221
linha=87 | nome=Renata | acao=analisou os resultados | valor=1616
linha=88 | nome=Eduarda | acao=analisou os resultados | valor=5419
linha=89 | nome=Joao | acao=executou o benchmark | valor=7972
linha=90 | nome=Daniela | acao=executou o benchmark | valor=9885
linha=91 | nome=Sofia | acao=otimizou o algoritmo | valor=6966
linha=92 | nome=Bruno | acao=comparou as metricas | valor=4122
linha=93 | nome=Daniela | acao=fez um experimento | valor=5111
linha=94 | nome=Tiago | acao=comparou as metricas | valor=9770
linha=95 | nome=Karen | acao=otimizou o algoritmo | valor=6794
linha=96 | nome=Ana | acao=fez um experimento | valor=3662
linha=97 | nome=Carlos | acao=otimizou o algoritmo | valor=9632
linha=98 | nome=Paulo | acao=executou o benchmark | valor=9621
linha=99 | nome=Tiago | acao=executou o benchmark | valor=9177
linha=100 | nome=Otavio | acao=otimizou o algoritmo | valor=1600
linha=101 | nome=Otavio | acao=otimizou o algoritmo | valor=7842
linha=102 | nome=Bruno | acao=comparou as metricas | valor=3066
linha=103 | nome=Otavio | acao=analisou os resultados | valor=8097
linha=104 | nome=Lucas | acao=otimizou o algoritmo | valor=4162
linha=105 | nome=Bruno | acao=analisou os resultados | valor=1035
linha=106 | nome=Mariana | acao=comparou as metricas | valor=1263
linha=107 | nome=Bruno | acao=executou o benchmark | valor=5020
linha=108 | nome=Carlos | acao=comparou as metricas | valor=5718
linha=109 | nome=Lucas | acao=fez um experimento | valor=2929
linha=110 | nome=Mariana | acao=estudou computacao | valor=5397
linha=111 | nome=Ana | acao=analisou os resultados | valor=1855
linha=112 | nome=Natalia | acao=executou o benchmark | valor=7956
linha=113 | nome=Igor | acao=fez um experimento | valor=1910
linha=114 | nome=Eduarda | acao=comparou as metricas | valor=9192
linha=115 | nome=Carlos | acao=participou da aula | valor=5723
linha=116 | nome=Mariana | acao=escreveu o relatorio | valor=1710
linha=117 | nome=Karen | acao=escreveu o relatorio | valor=6904
linha=118 | nome=Ana | acao=executou o benchmark | valor=7600
linha=119 | nome=Helena | acao=analisou os resultados | valor=8245
linha=120 | nome=Bruno | acao=escreveu o relatorio | valor=1772
linha=121 | nome=Renata | acao=executou o benchmark | valor=4586
linha=122 | nome=Eduarda | acao=analisou os resultados | valor=3486
linha=123 | nome=Karen | acao=escreveu o relatorio | valor=2938
linha=124 | nome=Mariana | acao=analisou os resultados | valor=4427
linha=125 | nome=Felipe | acao=escreveu o relatorio | valor=3806
linha=126 | nome=Tiago | acao=analisou os resultados | valor=1287
linha=127 | nome=Carlos | acao=otimizou o algoritmo | valor=4254
linha=128 | nome=Tiago | acao=comparou as metricas | valor=2715
linha=129 | nome=Paulo | acao=escreveu o relatorio | valor=4949
linha=130 | nome=Vitor | acao=otimizou o algoritmo | valor=3866
linha=131 | nome=Karen | acao=fez um experimento | valor=2999
linha=132 | nome=Joao | acao=escreveu o relatorio | valor=6006
linha=133 | nome=Felipe | acao=escreveu o relatorio | valor=2273
linha=134 | nome=Renata | acao=analisou os resultados | valor=4929
linha=135 | nome=Renata | acao=analisou os resultados | valor=7611
linha=136 | nome=Felipe | acao=analisou os resultados | valor=5741
linha=137 | nome=Felipe | acao=participou da aula | valor=4832
linha=138 | nome=Tiago | acao=otimizou o algoritmo | valor=3295
linha=139 | nome=Sofia | acao=executou o benchmark | valor=7133
linha=140 | nome=Renata | acao=executou o benchmark | valor=6094
linha=141 | nome=Lucas | acao=otimizou o algoritmo | valor=9534
linha=142 | nome=Felipe | acao=escreveu o relatorio | valor=1159
linha=143 | nome=Helena | acao=comparou as metricas | valor=3013
linha=144 | nome=Eduarda | acao=analisou os resultados | valor=6406
linha=145 | nome=Mariana | acao=otimizou o algoritmo | valor=6707
linha=146 | nome=Felipe | acao=comparou as metricas | valor=1492
linha=147 | nome=Paulo | acao=otimizou o algoritmo | valor=9406
linha=148 | nome=Mariana | acao=escreveu o relatorio | valor=6522
linha=149 | nome=Carlos | acao=comparou as metricas | valor=1244
linha=150 | nome=Natalia | acao=analisou os resultados | valor=8343
linha=151 | nome=Eduarda | acao=analisou os resultados | valor=4293
linha=152 | nome=Paulo | acao=escreveu o relatorio | valor=9020
linha=153 | nome=Mariana | acao=participou da aula | valor=8739
linha=154 | nome=Felipe | acao=fez um experimento | valor=7403
linha=155 | nome=Felipe | acao=executou o benchmark | valor=5301
linha=156 | nome=Carlos | acao=comparou as metricas | valor=5828
linha=157 | nome=Paulo | acao=comparou as metricas | valor=6171
linha=158 | nome=Tiago | acao=executou o benchmark | valor=1180
linha=159 | nome=Igor | acao=escreveu o relatorio | valor=5790
linha=160 | nome=Otavio | acao=comparou as metricas | valor=6169
linha=161 | nome=Natalia | acao=comparou as metricas | valor=2207
linha=162 | nome=Lucas | acao=fez um experimento | valor=8985
linha=163 | nome=Helena | acao=otimizou o algoritmo | valor=3013
linha=164 | nome=Paulo | acao=estudou computacao | valor=9998
linha=165 | nome=Ana | acao=participou da aula | valor=1172
linha=166 | nome=Karen | acao=estudou computacao | valor=2116
linha=167 | nome=Ana | acao=participou da aula | valor=5184
linha=168 | nome=Vitor | acao=escreveu o relatorio | valor=9570
linha=169 | nome=Gabriela | acao=otimizou o algoritmo | valor=2321
linha=170 | nome=Helena | acao=participou da aula | valor=9156
linha=171 | nome=Paulo | acao=escreveu o relatorio | valor=3493
linha=172 | nome=Igor | acao=fez um experimento | valor=7757
linha=173 | nome=Mariana | acao=escreveu o relatorio | valor=5435
linha=174 | nome=Joao | acao=analisou os resultados | valor=7448
linha=175 | nome=Bruno | acao=analisou os resultados | valor=8858
linha=176 | nome=Paulo | acao=fez um experimento | valor=6581
linha=177 | nome=Natalia | acao=comparou as metricas | valor=5399
linha=178 | nome=Sofia | acao=estudou computacao | valor=1218
linha=179 | nome=Eduarda | acao=analisou os resultados | valor=3946
linha=180 | nome=Karen | acao=fez um experimento | valor=1295
linha=181 | nome=Carlos | acao=comparou as metricas | valor=2483
linha=182 | nome=Natalia | acao=escreveu o relatorio | valor=3853
linha=183 | nome=Mariana | acao=escreveu o relatorio | valor=1980
linha=184 | nome=Karen | acao=analisou os resultados | valor=9984
linha=185 | nome=Mariana | acao=analisou os resultados | valor=9415
linha=186 | nome=Igor | acao=comparou as metricas | valor=4076
linha=187 | nome=Paulo | acao=analisou os resultados | valor=9111
linha=188 | nome=Mariana | acao=estudou computacao | valor=6231
linha=189 | nome=Carlos | acao=estudou computacao | valor=7365
linha=190 | nome=Renata | acao=participou da aula | valor=9817
linha=191 | nome=Natalia | acao=executou o benchmark | valor=8529
linha=192 | nome=Igor | acao=comparou as metricas | valor=9737
linha=193 | nome=Vitor | acao=fez um experimento | valor=6208
linha=194 | nome=Mariana | acao=participou da aula | valor=7180
linha=195 | nome=Joao | acao=comparou as metricas | valor=2158
linha=196 | nome=Renata | acao=participou da aula | valor=6022
linha=197 | nome=Gabriela | acao=participou da aula | valor=1883
linha=198 | nome=Joao | acao=analisou os resultados | valor=5394
linha=199 | nome=Gabriela | acao=analisou os resultados | valor=5367
linha=200 | nome=Daniela | acao=fez um experimento | valor=5351
linha=201 | nome=Karen | acao=otimizou o algoritmo | valor=1287
linha=202 | nome=Gabriela | acao=estudou computacao | valor=3819
linha=203 | nome=Ana | acao=analisou os resultados | valor=6711
linha=204 | nome=Sofia | acao=estudou computacao | valor=6052
linha=205 | nome=Tiago | acao=estudou computacao | valor=8539
linha=206 | nome=Eduarda | acao=escreveu o relatorio | valor=3783
linha=207 | nome=Bruno | acao=executou o benchmark | valor=6387
linha=208 | nome=Igor | acao=fez um experimento | valor=5176
linha=209 | nome=Bruno | acao=comparou as metricas | valor=1126
linha=210 | nome=Helena | acao=analisou os resultados | valor=7110
linha=211 | nome=Ana | acao=executou o benchmark | valor=4613
linha=212 | nome=Joao | acao=comparou as metricas | valor=4637
linha=213 | nome=Gabriela | acao=comparou as metricas | valor=6564
linha=214 | nome=Joao | acao=participou da aula | valor=8136
linha=215 | nome=Daniela | acao=otimizou o algoritmo | valor=7627
linha=216 | nome=Sofia | acao=analisou os resultados | valor=9443
linha=217 | nome=Vitor | acao=fez um experimento | valor=6854
linha=218 | nome=Eduarda | acao=estudou computacao | valor=2478
linha=219 | nome=Carlos | acao=comparou as metricas | valor=2163
linha=220 | nome=Lucas | acao=otimizou o algoritmo | valor=7334
linha=221 | nome=Otavio | acao=fez um experimento | valor=6512
linha=222 | nome=Vitor | acao=estudou computacao | valor=8467
linha=223 | nome=Ana | acao=participou da aula | valor=6477
linha=224 | nome=Gabriela | acao=fez um experimento | valor=1889
linha=225 | nome=Natalia | acao=analisou os resultados | valor=8287
linha=226 | nome=Gabriela | acao=comparou as metricas | valor=3803
linha=227 | nome=Karen | acao=fez um experimento | valor=4764
linha=228 | nome=Felipe | acao=escreveu o relatorio | valor=2711
linha=229 | nome=Sofia | acao=participou da aula | valor=1733
linha=230 | nome=Gabriela | acao=comparou as metricas | valor=4348
linha=231 | nome=Tiago | acao=executou o benchmark | valor=7666
linha=232 | nome=Gabriela | acao=analisou os resultados | valor=3153
linha=233 | nome=Otavio | acao=comparou as metricas | valor=4866
linha=234 | nome=Lucas | acao=comparou as metricas | valor=8443
linha=235 | nome=Otavio | acao=escreveu o relatorio | valor=2615
linha=236 | nome=Daniela | acao=otimizou o algoritmo | valor=5921
linha=237 | nome=Lucas | acao=otimizou o algoritmo | valor=1184
linha=238 | nome=Lucas | acao=otimizou o algoritmo | valor=8046
linha=239 | nome=Tiago | acao=otimizou o algoritmo | valor=5454
linha=240 | nome=Igor | acao=analisou os resultados | valor=1598
linha=241 | nome=Vitor | acao=otimizou o algoritmo | valor=9026
linha=242 | nome=Eduarda | acao=fez um experimento | valor=7215
linha=243 | nome=Helena | acao=otimizou o algoritmo | valor=6268
linha=244 | nome=Mariana | acao=participou da aula | valor=7806
linha=245 | nome=Helena | acao=comparou as metricas | valor=7792
linha=246 | nome=Lucas | acao=analisou os resultados | valor=8632
linha=247 | nome=Paulo | acao=participou da aula | valor=9136
linha=248 | nome=Daniela | acao=analisou os resultados | valor=3502
