linha=1 | nome=Felipe | acao=executou o benchmark | valor=1523
linha=2 | nome=Ana | acao=fez um experimento | valor=9484
linha=3 | nome=Renata | acao=analisou os resultados | valor=5346
linha=4 | nome=Tiago | acao=participou da aula | valor=1927
linha=5 | nome=Joao | acao=analisou os resultados | valor=3456
linha=6 | nome=Mariana | acao=otimizou o algoritmo | valor=3729
linha=7 | nome=Karen | acao=fez um experimento | valor=7504
linha=8 | nome=Gabriela | acao=escreveu o relatorio | valor=1045
linha=9 | nome=Ana | acao=fez um experimento | valor=1311
linha=10 | nome=Carlos | acao=comparou as metricas | valor=2276
linha=11 | nome=Otavio | acao=participou da aula | valor=7533
linha=12 | nome=Renata | acao=analisou os resultados | valor=6131
linha=13 | nome=Eduarda | acao=estudou computacao | valor=8886
linha=14 | nome=Eduarda | acao=estudou computacao | valor=6156
linha=15 | nome=Bruno | acao=comparou as metricas | valor=9766
linha=16 | nome=Renata | acao=otimizou o algoritmo | valor=9308
linha=17 | nome=Bruno | acao=otimizou o algoritmo | valor=4059
linha=18 | nome=Daniela | acao=participou da aula | valor=7474
linha=19 | nome=Natalia | acao=participou da aula | valor=9178
linha=20 | nome=Sofia | acao=comparou as metricas | valor=3130
linha=21 | nome=Mariana | acao=otimizou o algoritmo | valor=7552
linha=22 | nome=Otavio | acao=analisou os resultados | valor=2505
linha=23 | nome=Sofia | acao=participou da aula | valor=7503
linha=24 | nome=Tiago | acao=otimizou o algoritmo | valor=9018
linha=25 | nome=Eduarda | acao=comparou as metricas | valor=5450
linha=26 | nome=Carlos | acao=analisou os resultados | valor=6496
linha=27 | nome=Joao | acao=estudou computacao | valor=8316
linha=28 | nome=Felipe | acao=escreveu o relatorio | valor=2540
linha=29 | nome=Felipe | acao=otimizou o algoritmo | valor=9077
linha=30 | nome=Ana | acao=comparou as metricas | valor=4242
linha=31 | nome=Eduarda | acao=analisou os resultados | valor=8099
linha=32 | nome=Vitor | acao=fez um experimento | valor=8320
linha=33 | nome=Daniela | acao=analisou os resultados | valor=7027
linha=34 | nome=Igor | acao=escreveu o relatorio | valor=6947
linha=35 | nome=Paulo | acao=comparou as metricas | valor=6733
linha=36 | nome=Helena | acao=executou o benchmark | valor=2637
linha=37 | nome=Tiago | acao=fez um experimento | valor=6220
linha=38 | nome=Gabriela | acao=estudou computacao | valor=8040
linha=39 | nome=Lucas | acao=executou o benchmark | valor=8373
linha=40 | nome=Eduarda | acao=analisou os resultados | valor=6177
linha=41 | nome=Paulo | acao=comparou as metricas | valor=9680
linha=42 | nome=Joao | acao=escreveu o relatorio | valor=2515
linha=43 | nome=Felipe | acao=otimizou o algoritmo | valor=3103
linha=44 | nome=Carlos | acao=analisou os resultados | valor=7152
linha=45 | nome=Bruno | acao=escreveu o relatorio | valor=5183
linha=46 | nome=Joao | acao=participou da aula | valor=1570
linha=47 | nome=Gabriela | acao=participou da aula | valor=3323
linha=48 | nome=Eduarda | acao=escreveu o relatorio | valor=8427
linha=49 | nome=Karen | acao=executou o benchmark | valor=6386
linha=50 | nome=Felipe | acao=participou da aula | valor=1555
linha=51 | nome=Natalia | acao=estudou computacao | valor=8170
linha=52 | nome=Ana | acao=executou o benchmark | valor=2967
linha=53 | nome=Tiago | acao=participou da aula | valor=2636
linha=54 | nome=Ana | acao=participou da aula | valor=5078
linha=55 | nome=Joao | acao=escreveu o relatorio | valor=3514
linha=56 | nome=Igor | acao=participou da aula | valor=8190
linha=57 | nome=Karen | acao=analisou os resultados | valor=3185
linha=58 | nome=Paulo | acao=participou da aula | valor=2446
linha=59 | nome=Bruno | acao=analisou os resultados | valor=7909
linha=60 | nome=Bruno | acao=otimizou o algoritmo | valor=7557
linha=61 | nome=Karen | acao=escreveu o relatorio | valor=1743
linha=62 | nome=Renata | acao=escreveu o relatorio | valor=6941
linha=63 | nome=Paulo | acao=analisou os resultados | valor=7828
linha=64 | nome=Paulo | acao=comparou as metricas | valor=1875
linha=65 | nome=Joao | acao=otimizou o algoritmo | valor=5835
linha=66 | nome=Bruno | acao=executou o benchmark | valor=3459
linha=67 | nome=Felipe | acao=estudou computacao | valor=6762
linha=68 | nome=Bruno | acao=executou o benchmark | valor=1666
linha=69 | nome=Mariana | acao=analisou os resultados | valor=7259
linha=70 | nome=Igor | acao=participou da aula | valor=2203
linha=71 | nome=Tiago | acao=estudou computacao | valor=6010
linha=72 | nome=Mariana | acao=fez um experimento | valor=2578
linha=73 | nome=Carlos | acao=fez um experimento | valor=7817
linha=74 | nome=Felipe | acao=analisou os resultados | valor=8598
linha=75 | nome=Felipe | acao=fez um experimento | valor=3065
linha=76 | nome=Mariana | acao=otimizou o algoritmo | valor=1524
linha=77 | nome=Renata | acao=executou o benchmark | valor=7458
linha=78 | nome=Bruno | acao=analisou os resultados | valor=7192
linha=79 | nome=Paulo | acao=executou o benchmark | valor=7202
linha=80 | nome=Gabriela | acao=executou o benchmark | valor=3391
linha=81 | nome=Sofia | acao=estudou computacao | valor=3467
linha=82 | nome=Lucas | acao=participou da aula | valor=9707
linha=83 | nome=Ana | acao=participou da aula | valor=3711
linha=84 | nome=Eduarda | acao=escreveu o relatorio | valor=5444
linha=85 | nome=Mariana | acao=fez um experimento | valor=7753
linha=86 | nome=Otavio | acao=estudou computacao | valor=1482
linha=87 | nome=Igor | acao=executou o benchmark | valor=8506
linha=88 | nome=Renata | acao=executou o benchmark | valor=9166
linha=89 | nome=Helena | acao=analisou os resultados | valor=8743
linha=90 | nome=Helena | acao=executou o benchmark | valor=7402
linha=91 | nome=Vitor | acao=analisou os resultados | valor=5799
linha=92 | nome=Gabriela | acao=participou da aula | valor=7818
linha=93 | nome=Otavio | acao=escreveu o relatorio | valor=6501
linha=94 | nome=Lucas | acao=escreveu o relatorio | valor=3485
linha=95 | nome=Eduarda | acao=estudou computacao | valor=6324
linha=96 | nome=Vitor | acao=participou da aula | valor=6781
