linha=1 | nome=Carlos | acao=escreveu o relatorio | valor=8227
linha=2 | nome=Helena | acao=analisou os resultados | valor=1341
linha=3 | nome=Igor | acao=executou o benchmark | valor=8644
linha=4 | nome=Joao | acao=comparou as metricas | valor=5098
linha=5 | nome=Tiago | acao=estudou computacao | valor=5606
linha=6 | nome=Ana | acao=estudou computacao | valor=9747
linha=7 | nome=Karen | acao=participou da aula | valor=1179
linha=8 | nome=Ana | acao=fez um experimento | valor=7378
linha=9 | nome=Tiago | acao=comparou as metricas | valor=2763
linha=10 | nome=Sofia | acao=fez um experimento | valor=9401
linha=11 | nome=Joao | acao=comparou as metricas | valor=8835
linha=12 | nome=Eduarda | acao=comparou as metricas | valor=9682
linha=13 | nome=Carlos | acao=estudou computacao | valor=3020
linha=14 | nome=Renata | acao=estudou computacao | valor=1848
linha=15 | nome=Daniela | acao=participou da aula | valor=9031
linha=16 | nome=Daniela | acao=participou da aula | valor=8841
linha=17 | nome=Vitor | acao=escreveu o relatorio | valor=2804
linha=18 | nome=Joao | acao=executou o benchmark | valor=9165
linha=19 | nome=Felipe | acao=executou o benchmark | valor=1832
linha=20 | nome=Eduarda | acao=escreveu o relatorio | valor=8217
linha=21 | nome=Renata | acao=analisou os resultados | valor=2739
linha=22 | nome=Felipe | acao=escreveu o relatorio | valor=6611
linha=23 | nome=Otavio | acao=analisou os resultados | valor=8407
linha=24 | nome=Bruno | acao=fez um experimento | valor=8509
linha=25 | nome=Karen | acao=analisou os resultados | valor=3062
linha=26 | nome=Sofia | acao=fez um experimento | valor=3054
linha=27 | nome=Tiago | acao=analisou os resultados | valor=1253
linha=28 | nome=Paulo | acao=otimizou o algoritmo | valor=6719
linha=29 | nome=Otavio | acao=analisou os resultados | valor=2733
linha=30 | nome=Mariana | acao=escreveu o relatorio | valor=6504
linha=31 | nome=Mariana | acao=analisou os resultados | valor=7958
linha=32 | nome=Joao | acao=executou o benchmark | valor=7732
linha=33 | nome=Carlos | acao=otimizou o algoritmo | valor=4790
linha=34 | nome=Lucas | acao=otimizou o algoritmo | valor=4107
linha=35 | nome=Sofia | acao=estudou computacao | valor=4327
linha=36 | nome=Ana | acao=participou da aula | valor=6955
linha=37 | nome=Igor | acao=escreveu o relatorio | valor=3132
linha=38 | nome=Gabriela | acao=otimizou o algoritmo | valor=5420
linha=39 | nome=Daniela | acao=otimizou o algoritmo | valor=3104
linha=40 | nome=Paulo | acao=escreveu o relatorio | valor=1898
