linha=1 | nome=Felipe | acao=fez um experimento | valor=1278
linha=2 | nome=Helena | acao=estudou computacao | valor=7509
linha=3 | nome=Tiago | acao=analisou os resultados | valor=3466
linha=4 | nome=Ana | acao=otimizou o algoritmo | valor=9093
linha=5 | nome=Mariana | acao=fez um experimento | valor=7881
linha=6 | nome=Daniela | acao=executou o benchmark | valor=8784
linha=7 | nome=Bruno | acao=comparou as metricas | valor=5415
linha=8 | nome=Paulo | acao=escreveu o relatorio | valor=9502
linha=9 | nome=Natalia | acao=otimizou o algoritmo | valor=2099
linha=10 | nome=Daniela | acao=escreveu o relatorio | valor=3214
linha=11 | nome=Vitor | acao=comparou as metricas | valor=7432
linha=12 | nome=Sofia | acao=otimizou o algoritmo | valor=1811
linha=13 | nome=Natalia | acao=analisou os resultados | valor=9572
linha=14 | nome=Vitor | acao=analisou os resultados | valor=4876
linha=15 | nome=Vitor | acao=executou o benchmark | valor=6783
linha=16 | nome=Mariana | acao=otimizou o algoritmo | valor=4503
linha=17 | nome=Ana | acao=executou o benchmark | valor=1595
linha=18 | nome=Lucas | acao=escreveu o relatorio | valor=9678
linha=19 | nome=Paulo | acao=analisou os resultados | valor=7855
linha=20 | nome=Tiago | acao=fez um experimento | valor=7972
linha=21 | nome=Eduarda | acao=fez um experimento | valor=8692
linha=22 | nome=Helena | acao=fez um experimento | valor=7861
linha=23 | nome=Vitor | acao=comparou as metricas | valor=4308
linha=24 | nome=Vitor | acao=fez um experimento | valor=4779
linha=25 | nome=Helena | acao=fez um experimento | valor=9210
linha=26 | nome=Daniela | acao=fez um experimento | valor=5523
linha=27 | nome=Natalia | acao=otimizou o algoritmo | valor=7729
linha=28 | nome=Felipe | acao=analisou os resultados | valor=3934
linha=29 | nome=Otavio | acao=otimizou o algoritmo | valor=7809
linha=30 | nome=Felipe | acao=escreveu o relatorio | valor=8296
linha=31 | nome=Igor | acao=executou o benchmark | valor=9174
linha=32 | nome=Daniela | acao=estudou computacao | valor=8797
linha=33 | nome=Ana | acao=escreveu o relatorio | valor=6466
linha=34 | nome=Felipe | acao=executou o benchmark | valor=1718
linha=35 | nome=Igor | acao=otimizou o algoritmo | valor=4133
linha=36 | nome=Karen | acao=estudou computacao | valor=8174
linha=37 | nome=Gabriela | acao=fez um experimento | valor=8971
linha=38 | nome=Gabriela | acao=executou o benchmark | valor=1440
linha=39 | nome=Eduarda | acao=comparou as metricas | valor=9847
linha=40 | nome=Eduarda | acao=escreveu o relatorio | valor=1478
linha=41 | nome=Bruno | acao=participou da aula | valor=1746
linha=42 | nome=Tiago | acao=otimizou o algoritmo | valor=8856
linha=43 | nome=Eduarda | acao=otimizou o algoritmo | valor=1663
linha=44 | nome=Daniela | acao=otimizou o algoritmo | valor=9269
linha=45 | nome=Sofia | acao=otimizou o algoritmo | valor=4950
linha=46 | nome=Daniela | acao=fez um experimento | valor=9118
linha=47 | nome=Felipe | acao=otimizou o algoritmo | valor=2346
linha=48 | nome=Tiago | acao=otimizou o algoritmo | valor=4839
linha=49 | nome=Igor | acao=executou o benchmark | valor=2338
linha=50 | nome=Gabriela | acao=executou o benchmark | valor=2717
linha=51 | nome=Lucas | acao=executou o benchmark | valor=8296
linha=52 | nome=Daniela | acao=participou da aula | valor=4429
linha=53 | nome=Eduarda | acao=fez um experimento | valor=6311
linha=54 | nome=Carlos | acao=executou o benchmark | valor=2200
linha=55 | nome=Sofia | acao=otimizou o algoritmo | valor=9780
linha=56 | nome=Igor | acao=comparou as metricas | valor=7291
linha=57 | nome=Joao | acao=analisou os resultados | valor=4412
linha=58 | nome=Daniela | acao=participou da aula | valor=7507
linha=59 | nome=Ana | acao=escreveu o relatorio | valor=7092
linha=60 | nome=Renata | acao=comparou as metricas | valor=9275
linha=61 | nome=Renata | acao=comparou as metricas | valor=8884
linha=62 | nome=Felipe | acao=escreveu o relatorio | valor=8836
linha=63 | nome=Gabriela | acao=otimizou o algoritmo | valor=6069
linha=64 | nome=Lucas | acao=participou da aula | valor=2511
linha=65 | nome=Sofia | acao=executou o benchmark | valor=3820
