linha=1 | nome=Karen | acao=escreveu o relatorio | valor=9539
linha=2 | nome=Vitor | acao=otimizou o algoritmo | valor=9249
linha=3 | nome=Karen | acao=fez um experimento | valor=1183
linha=4 | nome=Eduarda | acao=comparou as metricas | valor=6143
linha=5 | nome=Vitor | acao=otimizou o algoritmo | valor=1880
linha=6 | nome=Eduarda | acao=fez um experimento | valor=4812
linha=7 | nome=Karen | acao=comparou as metricas | valor=3434
linha=8 | nome=Joao | acao=estudou computacao | valor=5019
linha=9 | nome=Otavio | acao=participou da aula | valor=9028
linha=10 | nome=Carlos | acao=estudou computacao | valor=3976
linha=11 | nome=Mariana | acao=comparou as metricas | valor=9336
linha=12 | nome=Felipe | acao=fez um experimento | valor=9693
linha=13 | nome=Bruno | acao=fez um experimento | valor=6832
linha=14 | nome=Natalia | acao=fez um experimento | valor=3893
linha=15 | nome=Helena | acao=estudou computacao | valor=9588
linha=16 | nome=Helena | acao=fez um experimento | valor=9305
linha=17 | nome=Daniela | acao=executou o benchmark | valor=3529
linha=18 | nome=Gabriela | acao=executou o benchmark | valor=7340
linha=19 | nome=Lucas | acao=executou o benchmark | valor=1442
linha=20 | nome=Paulo | acao=otimizou o algoritmo | valor=2280
linha=21 | nome=Sofia | acao=comparou as metricas | valor=6132
linha=22 | nome=Tiago | acao=otimizou o algoritmo | valor=8208
linha=23 | nome=Felipe | acao=analisou os resultados | valor=1914
linha=24 | nome=Gabriela | acao=escreveu o relatorio | valor=8558
linha=25 | nome=Paulo | acao=otimizou o algoritmo | valor=5492
linha=26 | nome=Ana | acao=comparou as metricas | valor=8886
linha=27 | nome=Joao | acao=participou da aula | valor=4282
linha=28 | nome=Eduarda | acao=fez um experimento | valor=7390
linha=29 | nome=Lucas | acao=analisou os resultados | valor=3170
linha=30 | nome=Karen | acao=estudou computacao | valor=3831
linha=31 | nome=Paulo | acao=fez um experimento | valor=6639
linha=32 | nome=Otavio | acao=estudou computacao | valor=1070
linha=33 | nome=Otavio | acao=comparou as metricas | valor=7736
linha=34 | nome=Vitor | acao=analisou os resultados | valor=9954
linha=35 | nome=Gabriela | acao=analisou os resultados | valor=2919
linha=36 | nome=Bruno | acao=otimizou o algoritmo | valor=6654
linha=37 | nome=Vitor | acao=estudou computacao | valor=4105
linha=38 | nome=Paulo | acao=executou o benchmark | valor=9856
linha=39 | nome=Vitor | acao=estudou computacao | valor=2686
linha=40 | nome=Gabriela | acao=escreveu o relatorio | valor=9922
linha=41 | nome=Karen | acao=participou da aula | valor=7272
linha=42 | nome=Natalia | acao=participou da aula | valor=4464
linha=43 | nome=Gabriela | acao=analisou os resultados | valor=2322
linha=44 | nome=Ana | acao=executou o benchmark | valor=3200
linha=45 | nome=Karen | acao=executou o benchmark | valor=8283
linha=46 | nome=Mariana | acao=escreveu o relatorio | valor=7960
linha=47 | nome=Igor | acao=analisou os resultados | valor=7262
linha=48 | nome=Sofia | acao=executou o benchmark | valor=3482
linha=49 | nome=Vitor | acao=escreveu o relatorio | valor=5308
linha=50 | nome=Felipe | acao=otimizou o algoritmo | valor=8468
linha=51 | nome=Joao | acao=estudou computacao | valor=2251
linha=52 | nome=Helena | acao=fez um experimento | valor=5881
linha=53 | nome=Ana | acao=comparou as metricas | valor=6156
linha=54 | nome=Eduarda | acao=estudou computacao | valor=8489
linha=55 | nome=Carlos | acao=participou da aula | valor=5827
linha=56 | nome=Karen | acao=otimizou o algoritmo | valor=3333
linha=57 | nome=Helena | acao=analisou os resultados | valor=3175
linha=58 | nome=Ana | acao=fez um experimento | valor=4374
linha=59 | nome=Bruno | acao=otimizou o algoritmo | valor=5294
linha=60 | nome=Ana | acao=executou o benchmark | valor=5025
linha=61 | nome=Daniela | acao=estudou computacao | valor=4068
linha=62 | nome=Helena | acao=estudou computacao | valor=5392
linha=63 | nome=Igor | acao=analisou os resultados | valor=9281
linha=64 | nome=Renata | acao=analisou os resultados | valor=2464
linha=65 | nome=Eduarda | acao=comparou as metricas | valor=7613
linha=66 | nome=Natalia | acao=comparou as metricas | valor=9185
linha=67 | nome=Bruno | acao=escreveu o relatorio | valor=1956
linha=68 | nome=Lucas | acao=escreveu o relatorio | valor=1648
linha=69 | nome=Daniela | acao=otimizou o algoritmo | valor=4818
linha=70 | nome=Mariana | acao=executou o benchmark | valor=5645
linha=71 | nome=Lucas | acao=fez um experimento | valor=4444
linha=72 | nome=Carlos | acao=executou o benchmark | valor=7151
linha=73 | nome=Mariana | acao=participou da aula | valor=8113
linha=74 | nome=Sofia | acao=estudou computacao | valor=6969
