linha=1 | nome=Sofia | acao=fez um experimento | valor=8873
linha=2 | nome=Igor | acao=otimizou o algoritmo | valor=4806
linha=3 | nome=Karen | acao=fez um experimento | valor=2222
linha=4 | nome=Karen | acao=comparou as metricas | valor=4365
linha=5 | nome=Renata | acao=participou da aula | valor=9462
linha=6 | nome=Renata | acao=escreveu o relatorio | valor=7926
linha=7 | nome=Helena | acao=escreveu o relatorio | valor=9781
linha=8 | nome=Joao | acao=executou o benchmark | valor=1993
linha=9 | nome=Tiago | acao=participou da aula | valor=6858
linha=10 | nome=Mariana | acao=executou o benchmark | valor=2827
linha=11 | nome=Vitor | acao=analisou os resultados | valor=6998
linha=12 | nome=Tiago | acao=analisou os resultados | valor=4859
linha=13 | nome=Daniela | acao=escreveu o relatorio | valor=6304
linha=14 | nome=Igor | acao=escreveu o relatorio | valor=6469
linha=15 | nome=Karen | acao=comparou as metricas | valor=3717
linha=16 | nome=Bruno | acao=comparou as metricas | valor=3481
linha=17 | nome=Natalia | acao=fez um experimento | valor=3953
linha=18 | nome=Igor | acao=escreveu o relatorio | valor=3911
linha=19 | nome=Igor | acao=estudou computacao | valor=1016
linha=20 | nome=Sofia | acao=analisou os resultados | valor=7726
linha=21 | nome=Joao | acao=escreveu o relatorio | valor=1596
linha=22 | nome=Daniela | acao=comparou as metricas | valor=3488
linha=23 | nome=Helena | acao=escreveu o relatorio | valor=8157
linha=24 | nome=Felipe | acao=executou o benchmark | valor=9210
linha=25 | nome=Paulo | acao=estudou computacao | valor=4358
linha=26 | nome=Bruno | acao=fez um experimento | valor=7469
linha=27 | nome=Igor | acao=escreveu o relatorio | valor=9846
linha=28 | nome=Mariana | acao=otimizou o algoritmo | valor=9626
linha=29 | nome=Eduarda | acao=otimizou o algoritmo | valor=5253
linha=30 | nome=Renata | acao=estudou computacao | valor=7133
linha=31 | nome=Bruno | acao=fez um experimento | valor=2570
linha=32 | nome=Tiago | acao=otimizou o algoritmo | valor=8163
linha=33 | nome=Carlos | acao=participou da aula | valor=4706
linha=34 | nome=Natalia | acao=participou da aula | valor=3819
linha=35 | nome=Tiago | acao=comparou as metricas | valor=5257
linha=36 | nome=Gabriela | acao=comparou as metricas | valor=6810
linha=37 | nome=Igor | acao=analisou os resultados | valor=1419
linha=38 | nome=Igor | acao=executou o benchmark | valor=1036
linha=39 | nome=Vitor | acao=fez um experimento | valor=1000
linha=40 | nome=Daniela | acao=comparou as metricas | valor=1481
linha=41 | nome=Igor | acao=fez um experimento | valor=3602
linha=42 | nome=Eduarda | acao=fez um experimento | valor=5127
linha=43 | nome=Vitor | acao=fez um experimento | valor=8946
linha=44 | nome=Igor | acao=otimizou o algoritmo | valor=8907
linha=45 | nome=Carlos | acao=escreveu o relatorio | valor=1863
linha=46 | nome=Joao | acao=fez um experimento | valor=9076
linha=47 | nome=Ana | acao=participou da aula | valor=4890
linha=48 | nome=Natalia | acao=analisou os resultados | valor=1390
linha=49 | nome=Mariana | acao=estudou computacao | valor=2107
linha=50 | nome=Carlos | acao=otimizou o algoritmo | valor=4738
linha=51 | nome=Eduarda | acao=estudou computacao | valor=1209
linha=52 | nome=Helena | acao=otimizou o algoritmo | valor=7571
linha=53 | nome=Tiago | acao=estudou computacao | valor=2225
linha=54 | nome=Vitor | acao=fez um experimento | valor=1066
linha=55 | nome=Eduarda | acao=escreveu o relatorio | valor=3697
linha=56 | nome=Helena | acao=participou da aula | valor=4111
linha=57 | nome=Joao | acao=estudou computacao | valor=6109
linha=58 | nome=Lucas | acao=analisou os resultados | valor=9250
linha=59 | nome=Sofia | acao=analisou os resultados | valor=7129
linha=60 | nome=Bruno | acao=estudou computacao | valor=4034
linha=61 | nome=Lucas | acao=analisou os resultados | valor=7231
linha=62 | nome=Helena | acao=estudou computacao | valor=6340
linha=63 | nome=Ana | acao=executou o benchmark | valor=1021
linha=64 | nome=Karen | acao=fez um experimento | valor=1557
linha=65 | nome=Helena | acao=escreveu o relatorio | valor=8289
linha=66 | nome=Otavio | acao=comparou as metricas | valor=3661
linha=67 | nome=Mariana | acao=fez um experimento | valor=9275
linha=68 | nome=Karen | acao=comparou as metricas | valor=5054
linha=69 | nome=Tiago | acao=comparou as metricas | valor=5279
linha=70 | nome=Sofia | acao=escreveu o relatorio | valor=9384
linha=71 | nome=Igor | acao=estudou computacao | valor=5294
linha=72 | nome=Igor | acao=participou da aula | valor=9850
linha=73 | nome=Felipe | acao=fez um experimento | valor=8323
linha=74 | nome=Paulo | acao=estudou computacao | valor=5652
linha=75 | nome=Paulo | acao=participou da aula | valor=3116
linha=76 | nome=Paulo | acao=executou o benchmark | valor=9393
linha=77 | nome=Carlos | acao=analisou os resultados | valor=1247
linha=78 | nome=Vitor | acao=comparou as metricas | valor=2787
linha=79 | nome=Vitor | acao=analisou os resultados | valor=1459
linha=80 | nome=Karen | acao=estudou computacao | valor=1330
linha=81 | nome=Mariana | acao=participou da aula | valor=2672
linha=82 | nome=Felipe | acao=comparou as metricas | valor=1687
linha=83 | nome=Otavio | acao=executou o benchmark | valor=2658
