linha=1 | nome=Igor | acao=fez um experimento | valor=2511
linha=2 | nome=Joao | acao=fez um experimento | valor=7727
linha=3 | nome=Renata | acao=participou da aula | valor=2612
linha=4 | nome=Tiago | acao=executou o benchmark | valor=3117
linha=5 | nome=Paulo | acao=executou o benchmark | valor=7056
linha=6 | nome=Eduarda | acao=escreveu o relatorio | valor=6806
linha=7 | nome=Vitor | acao=participou da aula | valor=2926
linha=8 | nome=Otavio | acao=escreveu o relatorio | valor=8681
linha=9 | nome=Natalia | acao=executou o benchmark | valor=2872
linha=10 | nome=Mariana | acao=analisou os resultados | valor=7308
linha=11 | nome=Bruno | acao=analisou os resultados | valor=5098
linha=12 | nome=Joao | acao=estudou computacao | valor=2667
linha=13 | nome=Mariana | acao=executou o benchmark | valor=9778
linha=14 | nome=Bruno | acao=analisou os resultados | valor=5882
linha=15 | nome=Joao | acao=participou da aula | valor=5392
linha=16 | nome=Paulo | acao=fez um experimento | valor=6445
linha=17 | nome=Lucas | acao=analisou os resultados | valor=8337
linha=18 | nome=Helena | acao=estudou computacao | valor=6424
linha=19 | nome=Vitor | acao=fez um experimento | valor=1762
linha=20 | nome=Helena | acao=estudou computacao | valor=3448
linha=21 | nome=Karen | acao=otimizou o algoritmo | valor=8284
linha=22 | nome=Karen | acao=analisou os resultados | valor=4309
linha=23 | nome=Igor | acao=executou o benchmark | valor=6526
linha=24 | nome=Felipe | acao=analisou os resultados | valor=3592
linha=25 | nome=Daniela | acao=escreveu o relatorio | valor=3027
linha=26 | nome=Eduarda | acao=executou o benchmark | valor=8060
linha=27 | nome=Vitor | acao=participou da aula | valor=3378
linha=28 | nome=Renata | acao=otimizou o algoritmo | valor=3467
linha=29 | nome=Vitor | acao=executou o benchmark | valor=9789
linha=30 | nome=Tiago | acao=participou da aula | valor=1638
linha=31 | nome=Mariana | acao=analisou os resultados | valor=8322
linha=32 | nome=Lucas | acao=estudou computacao | valor=7757
linha=33 | nome=Vitor | acao=escreveu o relatorio | valor=4418
linha=34 | nome=Felipe | acao=analisou os resultados | valor=7927
linha=35 | nome=Carlos | acao=fez um experimento | valor=5582
linha=36 | nome=Igor | acao=fez um experimento | valor=8527
linha=37 | nome=Vitor | acao=escreveu o relatorio | valor=8604
linha=38 | nome=Joao | acao=comparou as metricas | valor=4048
linha=39 | nome=Eduarda | acao=analisou os resultados | valor=8646
linha=40 | nome=Daniela | acao=fez um experimento | valor=8936
linha=41 | nome=Joao | acao=fez um experimento | valor=6521
linha=42 | nome=Otavio | acao=estudou computacao | valor=4861
linha=43 | nome=Renata | acao=analisou os resultados | valor=9869
linha=44 | nome=Bruno | acao=participou da aula | valor=8460
linha=45 | nome=Mariana | acao=estudou computacao | valor=9152
linha=46 | nome=Gabriela | acao=fez um experimento | valor=6168
linha=47 | nome=Natalia | acao=analisou os resultados | valor=6622
linha=48 | nome=Eduarda | acao=participou da aula | valor=4433
linha=49 | nome=Natalia | acao=escreveu o relatorio | valor=8917
linha=50 | nome=Sofia | acao=comparou as metricas | valor=9694
linha=51 | nome=Ana | acao=comparou as metricas | valor=5055
linha=52 | nome=Renata | acao=estudou computacao | valor=2690
linha=53 | nome=Natalia | acao=otimizou o algoritmo | valor=4266
linha=54 | nome=Sofia | acao=escreveu o relatorio | valor=5118
linha=55 | nome=Helena | acao=otimizou o algoritmo | valor=4281
linha=56 | nome=Bruno | acao=escreveu o relatorio | valor=6851
linha=57 | nome=Eduarda | acao=estudou computacao | valor=9244
linha=58 | nome=Helena | acao=fez um experimento | valor=1296
linha=59 | nome=Otavio | acao=executou o benchmark | valor=9504
linha=60 | nome=Renata | acao=executou o benchmark | valor=9804
linha=61 | nome=Otavio | acao=comparou as metricas | valor=9719
linha=62 | nome=Paulo | acao=fez um experimento | valor=9954
linha=63 | nome=Ana | acao=otimizou o algoritmo | valor=5797
linha=64 | nome=Daniela | acao=escreveu o relatorio | valor=3929
linha=65 | nome=Igor | acao=otimizou o algoritmo | valor=2943
linha=66 | nome=Lucas | acao=estudou computacao | valor=4943
linha=67 | nome=Otavio | acao=comparou as metricas | valor=3013
linha=68 | nome=Vitor | acao=estudou computacao | valor=6518
linha=69 | nome=Vitor | acao=escreveu o relatorio | valor=2412
linha=70 | nome=Gabriela | acao=fez um experimento | valor=3201
linha=71 | nome=Daniela | acao=participou da aula | valor=3598
linha=72 | nome=Sofia | acao=analisou os resultados | valor=3737
linha=73 | nome=Felipe | acao=comparou as metricas | valor=6689
linha=74 | nome=Mariana | acao=analisou os resultados | valor=4839
linha=75 | nome=Daniela | acao=otimizou o algoritmo | valor=8710
linha=76 | nome=Karen | acao=participou da aula | valor=6848
linha=77 | nome=Natalia | acao=comparou as metricas | valor=7448
linha=78 | nome=Vitor | acao=otimizou o algoritmo | valor=1032
linha=79 | nome=Natalia | acao=analisou os resultados | valor=1015
linha=80 | nome=Felipe | acao=analisou os resultados | valor=1474
linha=81 | nome=Mariana | acao=estudou computacao | valor=2396
linha=82 | nome=Helena | acao=participou da aula | valor=9801
linha=83 | nome=Otavio | acao=analisou os resultados | valor=7997
linha=84 | nome=Renata | acao=escreveu o relatorio | valor=6650
linha=85 | nome=Joao | acao=escreveu o relatorio | valor=7535
linha=86 | nome=Mariana | acao=analisou os resultados | valor=9208
linha=87 | nome=Daniela | acao=otimizou o algoritmo | valor=2444
linha=88 | nome=Bruno | acao=participou da aula | valor=8228
linha=89 | nome=Felipe | acao=executou o benchmark | valor=7795
linha=90 | nome=Paulo | acao=otimizou o algoritmo | valor=1706
linha=91 | nome=Paulo | acao=comparou as metricas | valor=9013
linha=92 | nome=Ana | acao=executou o benchmark | valor=7078
linha=93 | nome=Joao | acao=escreveu o relatorio | valor=9402
linha=94 | nome=Mariana | acao=analisou os resultados | valor=8685
linha=95 | nome=Joao | acao=fez um experimento | valor=6125
linha=96 | nome=Sofia | acao=analisou os resultados | valor=7101
linha=97 | nome=Igor | acao=escreveu o relatorio | valor=1306
linha=98 | nome=Otavio | acao=analisou os resultados | valor=1506
linha=99 | nome=Paulo | acao=fez um experimento | valor=7200
linha=100 | nome=Daniela | acao=analisou os resultados | valor=7975
linha=101 | nome=Mariana | acao=fez um experimento | valor=6392
linha=102 | nome=Karen | acao=estudou computacao | valor=8958
linha=103 | nome=Gabriela | acao=estudou computacao | valor=6744
linha=104 | nome=Bruno | acao=otimizou o algoritmo | valor=8122
linha=105 | nome=Carlos | acao=fez um experimento | valor=8532
linha=106 | nome=Felipe | acao=fez um experimento | valor=2386
linha=107 | nome=Bruno | acao=estudou computacao | valor=8730
linha=108 | nome=Bruno | acao=comparou as metricas | valor=2104
linha=109 | nome=Daniela | acao=analisou os resultados | valor=8816
linha=110 | nome=Paulo | acao=fez um experimento | valor=5544
linha=111 | nome=Ana | acao=otimizou o algoritmo | valor=4288
linha=112 | nome=Renata | acao=participou da aula | valor=7390
linha=113 | nome=Mariana | acao=comparou as metricas | valor=8457
linha=114 | nome=Felipe | acao=estudou computacao | valor=6240
linha=115 | nome=Igor | acao=comparou as metricas | valor=3657
linha=116 | nome=Ana | acao=executou o benchmark | valor=8153
linha=117 | nome=Mariana | acao=comparou as metricas | valor=3415
linha=118 | nome=Otavio | acao=participou da aula | valor=8490
linha=119 | nome=Bruno | acao=estudou computacao | valor=9396
linha=120 | nome=Otavio | acao=executou o benchmark | valor=6035
linha=121 | nome=Tiago | acao=analisou os resultados | valor=9913
linha=122 | nome=Renata | acao=estudou computacao | valor=1082
linha=123 | nome=Eduarda | acao=escreveu o relatorio | valor=5019
linha=124 | nome=Joao | acao=estudou computacao | valor=3368
linha=125 | nome=Karen | acao=analisou os resultados | valor=5108
linha=126 | nome=Joao | acao=fez um experimento | valor=4840
linha=127 | nome=Sofia | acao=comparou as metricas | valor=8399
linha=128 | nome=Carlos | acao=executou o benchmark | valor=1782
linha=129 | nome=Karen | acao=analisou os resultados | valor=7385
linha=130 | nome=Natalia | acao=analisou os resultados | valor=3540
linha=131 | nome=Mariana | acao=comparou as metricas | valor=7655
linha=132 | nome=Gabriela | acao=participou da aula | valor=4135
linha=133 | nome=Daniela | acao=fez um experimento | valor=9849
linha=134 | nome=Renata | acao=executou o benchmark | valor=3043
linha=135 | nome=Natalia | acao=escreveu o relatorio | valor=7205
linha=136 | nome=Igor | acao=escreveu o relatorio | valor=4450
linha=137 | nome=Igor | acao=participou da aula | valor=8086
linha=138 | nome=Daniela | acao=analisou os resultados | valor=2351
linha=139 | nome=Eduarda | acao=analisou os resultados | valor=5979
linha=140 | nome=Tiago | acao=participou da aula | valor=3316
linha=141 | nome=Eduarda | acao=analisou os resultados | valor=8395
linha=142 | nome=Felipe | acao=estudou computacao | valor=8823
linha=143 | nome=Bruno | acao=fez um experimento | valor=4306
linha=144 | nome=Helena | acao=otimizou o algoritmo | valor=1400
linha=145 | nome=Otavio | acao=fez um experimento | valor=9817
linha=146 | nome=Gabriela | acao=analisou os resultados | valor=2972
linha=147 | nome=Otavio | acao=comparou as metricas | valor=3278
linha=148 | nome=Lucas | acao=estudou computacao | valor=6211
linha=149 | nome=Natalia | acao=analisou os resultados | valor=6017
linha=150 | nome=Gabriela | acao=otimizou o algoritmo | valor=9415
linha=151 | nome=Daniela | acao=estudou computacao | valor=8916
linha=152 | nome=Tiago | acao=escreveu o relatorio | valor=7969
linha=153 | nome=Karen | acao=estudou computacao | valor=7176
linha=154 | nome=Vitor | acao=otimizou o algoritmo | valor=3734
linha=155 | nome=Daniela | acao=analisou os resultados | valor=2069
linha=156 | nome=Gabriela | acao=participou da aula | valor=3504
linha=157 | nome=Felipe | acao=fez um experimento | valor=8270
linha=158 | nome=Mariana | acao=executou o benchmark | valor=3104
linha=159 | nome=Paulo | acao=analisou os resultados | valor=5860
linha=160 | nome=Mariana | acao=participou da aula | valor=4487
linha=161 | nome=Mariana | acao=fez um experimento | valor=5664
linha=162 | nome=Renata | acao=otimizou o algoritmo | valor=9568
linha=163 | nome=Karen | acao=fez um experimento | valor=2359
linha=164 | nome=Tiago | acao=estudou computacao | valor=2800
linha=165 | nome=Paulo | acao=fez um experimento | valor=8339
linha=166 | nome=Otavio | acao=otimizou o algoritmo | valor=7246
linha=167 | nome=Igor | acao=estudou computacao | valor=7336
linha=168 | nome=Gabriela | acao=executou o benchmark | valor=2526
linha=169 | nome=Eduarda | acao=otimizou o algoritmo | valor=2613
linha=170 | nome=Ana | acao=estudou computacao | valor=9911
linha=171 | nome=Tiago | acao=fez um experimento | valor=8762
linha=172 | nome=Tiago | acao=fez um experimento | valor=5340
linha=173 | nome=Helena | acao=analisou os resultados | valor=8418
linha=174 | nome=Mariana | acao=analisou os resultados | valor=8229
linha=175 | nome=Joao | acao=comparou as metricas | valor=2261
linha=176 | nome=Bruno | acao=participou da aula | valor=2202
linha=177 | nome=Daniela | acao=fez um experimento | valor=3766
linha=178 | nome=Eduarda | acao=otimizou o algoritmo | valor=9513
linha=179 | nome=Eduarda | acao=analisou os resultados | valor=5543
linha=180 | nome=Otavio | acao=executou o benchmark | valor=2432
linha=181 | nome=Otavio | acao=otimizou o algoritmo | valor=7704
linha=182 | nome=Felipe | acao=analisou os resultados | valor=1932
linha=183 | nome=Carlos | acao=comparou as metricas | valor=4366
linha=184 | nome=Lucas | acao=otimizou o algoritmo | valor=4159
linha=185 | nome=Renata | acao=fez um experimento | valor=4504
linha=186 | nome=Vitor | acao=analisou os resultados | valor=9661
linha=187 | nome=Tiago | acao=participou da aula | valor=3988
linha=188 | nome=Karen | acao=participou da aula | valor=5575
linha=189 | nome=Mariana | acao=estudou computacao | valor=6147
linha=190 | nome=Daniela | acao=escreveu o relatorio | valor=8265
linha=191 | nome=Carlos | acao=estudou computacao | valor=1585
linha=192 | nome=Ana | acao=comparou as metricas | valor=1521
linha=193 | nome=Daniela | acao=comparou as metricas | valor=2827
linha=194 | nome=Bruno | acao=fez um experimento | valor=7747
linha=195 | nome=Vitor | acao=participou da aula | valor=8074
linha=196 | nome=Bruno | acao=otimizou o algoritmo | valor=5603
linha=197 | nome=Paulo | acao=executou o benchmark | valor=1169
linha=198 | nome=Felipe | acao=otimizou o algoritmo | valor=5678
linha=199 | nome=Eduarda | acao=analisou os resultados | valor=3636
linha=200 | nome=Karen | acao=escreveu o relatorio | valor=3669
linha=201 | nome=Igor | acao=comparou as metricas | valor=6165
linha=202 | nome=Bruno | acao=otimizou o algoritmo | valor=8345
linha=203 | nome=Igor | acao=executou o benchmark | valor=8461
linha=204 | nome=Tiago | acao=analisou os resultados | valor=8854
linha=205 | nome=Mariana | acao=otimizou o algoritmo | valor=3777
linha=206 | nome=Otavio | acao=fez um experimento | valor=4810
linha=207 | nome=Ana | acao=fez um experimento | valor=6025
linha=208 | nome=Sofia | acao=estudou computacao | valor=8709
linha=209 | nome=Bruno | acao=escreveu o relatorio | valor=1656
linha=210 | nome=Natalia | acao=otimizou o algoritmo | valor=5368
linha=211 | nome=Helena | acao=executou o benchmark | valor=7379
linha=212 | nome=Mariana | acao=estudou computacao | valor=5691
linha=213 | nome=Daniela | acao=analisou os resultados | valor=4577
linha=214 | nome=Karen | acao=comparou as metricas | valor=1651
linha=215 | nome=Daniela | acao=comparou as metricas | valor=4728
linha=216 | nome=Eduarda | acao=otimizou o algoritmo | valor=2015
linha=217 | nome=Gabriela | acao=comparou as metricas | valor=9306
linha=218 | nome=Carlos | acao=comparou as metricas | valor=2898
linha=219 | nome=Eduarda | acao=executou o benchmark | valor=9008
linha=220 | nome=Tiago | acao=escreveu o relatorio | valor=9069
linha=221 | nome=Sofia | acao=otimizou o algoritmo | valor=3496
linha=222 | nome=Felipe | acao=estudou computacao | valor=8328
linha=223 | nome=Bruno | acao=fez um experimento | valor=4222
linha=224 | nome=Mariana | acao=escreveu o relatorio | valor=4748
linha=225 | nome=Sofia | acao=comparou as metricas | valor=5474
linha=226 | nome=Bruno | acao=executou o benchmark | valor=9687
linha=227 | nome=Karen | acao=executou o benchmark | valor=4673
linha=228 | nome=Igor | acao=executou o benchmark | valor=7151
linha=229 | nome=Vitor | acao=executou o benchmark | valor=6811
linha=230 | nome=Gabriela | acao=analisou os resultados | valor=7507
linha=231 | nome=Carlos | acao=fez um experimento | valor=2977
linha=232 | nome=Joao | acao=analisou os resultados | valor=9651
linha=233 | nome=Paulo | acao=otimizou o algoritmo | valor=4031
linha=234 | nome=Carlos | acao=otimizou o algoritmo | valor=9576
linha=235 | nome=Ana | acao=escreveu o relatorio | valor=5801
linha=236 | nome=Eduarda | acao=fez um experimento | valor=2040
linha=237 | nome=Natalia | acao=participou da aula | valor=4352
linha=238 | nome=Lucas | acao=participou da aula | valor=6494
linha=239 | nome=Carlos | acao=comparou as metricas | valor=7198
linha=240 | nome=Daniela | acao=executou o benchmark | valor=9388
linha=241 | nome=Vitor | acao=fez um experimento | valor=1440
linha=242 | nome=Carlos | acao=executou o benchmark | valor=1622
linha=243 | nome=Lucas | acao=executou o benchmark | valor=2159
linha=244 | nome=Sofia | acao=fez um experimento | valor=6749
linha=245 | nome=Igor | acao=estudou computacao | valor=4408
linha=246 | nome=Lucas | acao=estudou computacao | valor=7168
linha=247 | nome=Mariana | acao=estudou computacao | valor=7093
linha=248 | nome=Renata | acao=comparou as metricas | valor=6420
linha=249 | nome=Paulo | acao=analisou os resultados | valor=5000
linha=250 | nome=Mariana | acao=escreveu o relatorio | valor=7239
linha=251 | nome=Lucas | acao=otimizou o algoritmo | valor=4367
linha=252 | nome=Helena | acao=otimizou o algoritmo | valor=9658
linha=253 | nome=Sofia | acao=participou da aula | valor=4929
linha=254 | nome=Mariana | acao=otimizou o algoritmo | valor=6817
linha=255 | nome=Sofia | acao=analisou os resultados | valor=3925
linha=256 | nome=Igor | acao=participou da aula | valor=4133
linha=257 | nome=Lucas | acao=escreveu o relatorio | valor=3504
linha=258 | nome=Helena | acao=otimizou o algoritmo | valor=7977
linha=259 | nome=Eduarda | acao=estudou computacao | valor=7562
linha=260 | nome=Helena | acao=otimizou o algoritmo | valor=1650
linha=261 | nome=Igor | acao=estudou computacao | valor=2616
linha=262 | nome=Paulo | acao=participou da aula | valor=1674
linha=263 | nome=Paulo | acao=estudou computacao | valor=5353
linha=264 | nome=Helena | acao=estudou computacao | valor=5117
linha=265 | nome=Joao | acao=analisou os resultados | valor=4425
linha=266 | nome=Vitor | acao=escreveu o relatorio | valor=9031
linha=267 | nome=Joao | acao=participou da aula | valor=6284
linha=268 | nome=Eduarda | acao=comparou as metricas | valor=2376
linha=269 | nome=Natalia | acao=otimizou o algoritmo | valor=9431
linha=270 | nome=Tiago | acao=estudou computacao | valor=1030
linha=271 | nome=Helena | acao=escreveu o relatorio | valor=8322
linha=272 | nome=Lucas | acao=participou da aula | valor=6020
linha=273 | nome=Renata | acao=otimizou o algoritmo | valor=7156
linha=274 | nome=Tiago | acao=analisou os resultados | valor=6618
linha=275 | nome=Paulo | acao=otimizou o algoritmo | valor=8317
linha=276 | nome=Joao | acao=comparou as metricas | valor=4765
linha=277 | nome=Renata | acao=escreveu o relatorio | valor=7724
linha=278 | nome=Daniela | acao=otimizou o algoritmo | valor=6990
linha=279 | nome=Sofia | acao=otimizou o algoritmo | valor=2377
linha=280 | nome=Joao | acao=analisou os resultados | valor=7297
linha=281 | nome=Lucas | acao=estudou computacao | valor=7422
linha=282 | nome=Eduarda | acao=fez um experimento | valor=7981
linha=283 | nome=Joao | acao=fez um experimento | valor=4134
linha=284 | nome=Karen | acao=analisou os resultados | valor=2800
linha=285 | nome=Joao | acao=participou da aula | valor=7065
linha=286 | nome=Joao | acao=escreveu o relatorio | valor=1717
linha=287 | nome=Felipe | acao=executou o benchmark | valor=1666
linha=288 | nome=Lucas | acao=estudou computacao | valor=4854
linha=289 | nome=Natalia | acao=executou o benchmark | valor=5305
linha=290 | nome=Mariana | acao=fez um experimento | valor=5010
linha=291 | nome=Tiago | acao=analisou os resultados | valor=9582
linha=292 | nome=Otavio | acao=analisou os resultados | valor=9581
linha=293 | nome=Tiago | acao=otimizou o algoritmo | valor=3269
linha=294 | nome=Renata | acao=comparou as metricas | valor=9471
linha=295 | nome=Mariana | acao=comparou as metricas | valor=4039
linha=296 | nome=Paulo | acao=participou da aula | valor=7379
linha=297 | nome=Tiago | acao=estudou computacao | valor=8656
linha=298 | nome=Joao | acao=otimizou o algoritmo | valor=2362
linha=299 | nome=Igor | acao=executou o benchmark | valor=8787
linha=300 | nome=Karen | acao=escreveu o relatorio | valor=1447
linha=301 | nome=Carlos | acao=comparou as metricas | valor=1712
linha=302 | nome=Helena | acao=escreveu o relatorio | valor=6282
linha=303 | nome=Karen | acao=otimizou o algoritmo | valor=5819
linha=304 | nome=Eduarda | acao=fez um experimento | valor=6820
linha=305 | nome=Daniela | acao=comparou as metricas | valor=2785
linha=306 | nome=Mariana | acao=otimizou o algoritmo | valor=8094
linha=307 | nome=Otavio | acao=executou o benchmark | valor=3212
linha=308 | nome=Natalia | acao=analisou os resultados | valor=1072
linha=309 | nome=Carlos | acao=escreveu o relatorio | valor=4351
linha=310 | nome=Ana | acao=fez um experimento | valor=5001
linha=311 | nome=Ana | acao=estudou computacao | valor=4236
linha=312 | nome=Otavio | acao=participou da aula | valor=1851
linha=313 | nome=Helena | acao=participou da aula | valor=2216
