linha=1 | nome=Ana | acao=estudou computacao | valor=3240
linha=2 | nome=Joao | acao=otimizou o algoritmo | valor=2152
linha=3 | nome=Daniela | acao=estudou computacao | valor=3839
linha=4 | nome=Ana | acao=fez um experimento | valor=8931
linha=5 | nome=Tiago | acao=comparou as metricas | valor=6699
linha=6 | nome=Lucas | acao=otimizou o algoritmo | valor=9268
linha=7 | nome=Helena | acao=otimizou o algoritmo | valor=9065
linha=8 | nome=Tiago | acao=escreveu o relatorio | valor=2214
linha=9 | nome=Paulo | acao=participou da aula | valor=5756
linha=10 | nome=Lucas | acao=executou o benchmark | valor=2361
linha=11 | nome=Paulo | acao=executou o benchmark | valor=1439
linha=12 | nome=Natalia | acao=escreveu o relatorio | valor=4052
linha=13 | nome=Paulo | acao=otimizou o algoritmo | valor=1183
linha=14 | nome=Tiago | acao=otimizou o algoritmo | valor=1867
linha=15 | nome=Lucas | acao=analisou os resultados | valor=9077
linha=16 | nome=Renata | acao=fez um experimento | valor=5166
linha=17 | nome=Renata | acao=analisou os resultados | valor=7957
linha=18 | nome=Karen | acao=comparou as metricas | valor=2735
linha=19 | nome=Joao | acao=analisou os resultados | valor=6953
linha=20 | nome=Igor | acao=otimizou o algoritmo | valor=9820
linha=21 | nome=Renata | acao=executou o benchmark | valor=1825
linha=22 | nome=Ana | acao=comparou as metricas | valor=9750
linha=23 | nome=Lucas | acao=executou o benchmark | valor=6980
linha=24 | nome=Tiago | acao=analisou os resultados | valor=6122
linha=25 | nome=Bruno | acao=fez um experimento | valor=3067
linha=26 | nome=Sofia | acao=participou da aula | valor=4461
linha=27 | nome=Igor | acao=participou da aula | valor=7903
linha=28 | nome=Gabriela | acao=escreveu o relatorio | valor=6018
linha=29 | nome=Sofia | acao=analisou os resultados | valor=6057
linha=30 | nome=Daniela | acao=fez um experimento | valor=9382
linha=31 | nome=Mariana | acao=otimizou o algoritmo | valor=2066
linha=32 | nome=Sofia | acao=estudou computacao | valor=1510
linha=33 | nome=Igor | acao=participou da aula | valor=8909
linha=34 | nome=Otavio | acao=comparou as metricas | valor=1975
linha=35 | nome=Lucas | acao=participou da aula | valor=7849
linha=36 | nome=Gabriela | acao=executou o benchmark | valor=6336
linha=37 | nome=Joao | acao=participou da aula | valor=6864
linha=38 | nome=Renata | acao=otimizou o algoritmo | valor=3260
linha=39 | nome=Mariana | acao=comparou as metricas | valor=7432
linha=40 | nome=Eduarda | acao=analisou os resultados | valor=4407
linha=41 | nome=Renata | acao=participou da aula | valor=3157
linha=42 | nome=Gabriela | acao=estudou computacao | valor=1659
linha=43 | nome=Tiago | acao=analisou os resultados | valor=4790
linha=44 | nome=Lucas | acao=fez um experimento | valor=2336
linha=45 | nome=Karen | acao=comparou as metricas | valor=2960
linha=46 | nome=Gabriela | acao=analisou os resultados | valor=4108
linha=47 | nome=Paulo | acao=executou o benchmark | valor=8318
linha=48 | nome=Tiago | acao=analisou os resultados | valor=4054
linha=49 | nome=Igor | acao=participou da aula | valor=2134
linha=50 | nome=Carlos | acao=analisou os resultados | valor=7619
linha=51 | nome=Gabriela | acao=analisou os resultados | valor=5537
linha=52 | nome=Sofia | acao=escreveu o relatorio | valor=4191
linha=53 | nome=Carlos | acao=fez um experimento | valor=2511
linha=54 | nome=Daniela | acao=comparou as metricas | valor=4556
linha=55 | nome=Carlos | acao=otimizou o algoritmo | valor=1312
linha=56 | nome=Felipe | acao=otimizou o algoritmo | valor=2557
linha=57 | nome=Mariana | acao=participou da aula | valor=7579
linha=58 | nome=Mariana | acao=fez um experimento | valor=8451
linha=59 | nome=Joao | acao=estudou computacao | valor=5902
linha=60 | nome=Felipe | acao=executou o benchmark | valor=9080
linha=61 | nome=Igor | acao=estudou computacao | valor=7654
linha=62 | nome=Mariana | acao=executou o benchmark | valor=1950
linha=63 | nome=Carlos | acao=comparou as metricas | valor=6927
linha=64 | nome=Helena | acao=executou o benchmark | valor=5233
linha=65 | nome=Igor | acao=analisou os resultados | valor=6726
linha=66 | nome=Mariana | acao=participou da aula | valor=6817
linha=67 | nome=Tiago | acao=comparou as metricas | valor=2124
linha=68 | nome=Bruno | acao=estudou computacao | valor=4380
linha=69 | nome=Igor | acao=analisou os resultados | valor=3923
linha=70 | nome=Ana | acao=comparou as metricas | valor=2914
linha=71 | nome=Mariana | acao=comparou as metricas | valor=2472
linha=72 | nome=Felipe | acao=fez um experimento | valor=9007
linha=73 | nome=Daniela | acao=otimizou o algoritmo | valor=3132
linha=74 | nome=Otavio | acao=executou o benchmark | valor=8144
linha=75 | nome=Igor | acao=executou o benchmark | valor=3089
linha=76 | nome=Renata | acao=escreveu o relatorio | valor=5803
linha=77 | nome=Otavio | acao=escreveu o relatorio | valor=6195
linha=78 | nome=Sofia | acao=fez um experimento | valor=1143
linha=79 | nome=Joao | acao=analisou os resultados | valor=3235
linha=80 | nome=Felipe | acao=comparou as metricas | valor=7140
linha=81 | nome=Eduarda | acao=estudou computacao | valor=9794
linha=82 | nome=Natalia | acao=escreveu o relatorio | valor=7365
linha=83 | nome=Paulo | acao=otimizou o algoritmo | valor=1604
linha=84 | nome=Daniela | acao=analisou os resultados | valor=1005
linha=85 | nome=Eduarda | acao=estudou computacao | valor=3299
linha=86 | nome=Renata | acao=fez um experimento | valor=9839
linha=87 | nome=Karen | acao=analisou os resultados | valor=8423
linha=88 | nome=Paulo | acao=escreveu o relatorio | valor=2166
linha=89 | nome=Mariana | acao=otimizou o algoritmo | valor=6585
linha=90 | nome=Helena | acao=estudou computacao | valor=1616
linha=91 | nome=Daniela | acao=estudou computacao | valor=7183
linha=92 | nome=Helena | acao=analisou os resultados | valor=2752
linha=93 | nome=Mariana | acao=comparou as metricas | valor=1833
linha=94 | nome=Igor | acao=executou o benchmark | valor=6692
linha=95 | nome=Carlos | acao=estudou computacao | valor=6699
linha=96 | nome=Paulo | acao=comparou as metricas | valor=5516
linha=97 | nome=Lucas | acao=estudou computacao | valor=9380
linha=98 | nome=Carlos | acao=escreveu o relatorio | valor=3392
linha=99 | nome=Natalia | acao=participou da aula | valor=1045
linha=100 | nome=Vitor | acao=escreveu o relatorio | valor=3015
linha=101 | nome=Igor | acao=otimizou o algoritmo | valor=9077
linha=102 | nome=Lucas | acao=analisou os resultados | valor=9909
linha=103 | nome=Ana | acao=analisou os resultados | valor=5660
linha=104 | nome=Karen | acao=otimizou o algoritmo | valor=1791
linha=105 | nome=Carlos | acao=executou o benchmark | valor=9135
linha=106 | nome=Igor | acao=escreveu o relatorio | valor=5101
linha=107 | nome=Renata | acao=analisou os resultados | valor=6590
linha=108 | nome=Gabriela | acao=executou o benchmark | valor=4285
linha=109 | nome=Daniela | acao=analisou os resultados | valor=9262
linha=110 | nome=Helena | acao=escreveu o relatorio | valor=6027
linha=111 | nome=Gabriela | acao=comparou as metricas | valor=7033
linha=112 | nome=Carlos | acao=participou da aula | valor=5144
linha=113 | nome=Sofia | acao=comparou as metricas | valor=3505
linha=114 | nome=Ana | acao=escreveu o relatorio | valor=7080
linha=115 | nome=Vitor | acao=escreveu o relatorio | valor=2408
linha=116 | nome=Igor | acao=estudou computacao | valor=2328
linha=117 | nome=Igor | acao=escreveu o relatorio | valor=6529
linha=118 | nome=Sofia | acao=otimizou o algoritmo | valor=1602
linha=119 | nome=Natalia | acao=executou o benchmark | valor=6010
linha=120 | nome=Mariana | acao=otimizou o algoritmo | valor=3599
linha=121 | nome=Karen | acao=participou da aula | valor=3224
linha=122 | nome=Bruno | acao=participou da aula | valor=6430
linha=123 | nome=Felipe | acao=estudou computacao | valor=8304
linha=124 | nome=Sofia | acao=participou da aula | valor=3774
linha=125 | nome=Eduarda | acao=estudou computacao | valor=4353
linha=126 | nome=Carlos | acao=fez um experimento | valor=8127
linha=127 | nome=Tiago | acao=fez um experimento | valor=8280
linha=128 | nome=Sofia | acao=comparou as metricas | valor=2860
linha=129 | nome=Helena | acao=comparou as metricas | valor=3488
linha=130 | nome=Igor | acao=escreveu o relatorio | valor=8007
linha=131 | nome=Felipe | acao=executou o benchmark | valor=1106
linha=132 | nome=Otavio | acao=participou da aula | valor=1681
linha=133 | nome=Igor | acao=escreveu o relatorio | valor=8854
linha=134 | nome=Carlos | acao=participou da aula | valor=6307
linha=135 | nome=Lucas | acao=participou da aula | valor=1294
linha=136 | nome=Lucas | acao=executou o benchmark | valor=9761
linha=137 | nome=Otavio | acao=analisou os resultados | valor=3659
