linha=1 | nome=Tiago | acao=estudou computacao | valor=4256
linha=2 | nome=Sofia | acao=escreveu o relatorio | valor=9297
linha=3 | nome=Paulo | acao=estudou computacao | valor=9209
linha=4 | nome=Felipe | acao=estudou computacao | valor=1550
linha=5 | nome=Mariana | acao=analisou os resultados | valor=9201
linha=6 | nome=Igor | acao=analisou os resultados | valor=8201
linha=7 | nome=Ana | acao=otimizou o algoritmo | valor=9945
linha=8 | nome=Carlos | acao=otimizou o algoritmo | valor=1607
linha=9 | nome=Ana | acao=escreveu o relatorio | valor=5479
linha=10 | nome=Vitor | acao=fez um experimento | valor=4010
linha=11 | nome=Sofia | acao=executou o benchmark | valor=5218
linha=12 | nome=Carlos | acao=estudou computacao | valor=1111
linha=13 | nome=Felipe | acao=comparou as metricas | valor=1220
linha=14 | nome=Lucas | acao=executou o benchmark | valor=7971
linha=15 | nome=Renata | acao=analisou os resultados | valor=7540
linha=16 | nome=Lucas | acao=otimizou o algoritmo | valor=8770
linha=17 | nome=Igor | acao=participou da aula | valor=1295
linha=18 | nome=Igor | acao=escreveu o relatorio | valor=6454
linha=19 | nome=Vitor | acao=escreveu o relatorio | valor=5622
linha=20 | nome=Ana | acao=otimizou o algoritmo | valor=5736
linha=21 | nome=Sofia | acao=fez um experimento | valor=1365
linha=22 | nome=Daniela | acao=analisou os resultados | valor=6794
linha=23 | nome=Paulo | acao=otimizou o algoritmo | valor=4214
linha=24 | nome=Igor | acao=fez um experimento | valor=4409
linha=25 | nome=Lucas | acao=escreveu o relatorio | valor=5131
linha=26 | nome=Igor | acao=fez um experimento | valor=9831
linha=27 | nome=Helena | acao=estudou computacao | valor=3243
linha=28 | nome=Igor | acao=fez um experimento | valor=9955
linha=29 | nome=Helena | acao=estudou computacao | valor=5713
linha=30 | nome=Gabriela | acao=escreveu o relatorio | valor=9989
linha=31 | nome=Paulo | acao=executou o benchmark | valor=3198
linha=32 | nome=Helena | acao=comparou as metricas | valor=5988
linha=33 | nome=Gabriela | acao=analisou os resultados | valor=3562
linha=34 | nome=Mariana | acao=comparou as metricas | valor=1888
linha=35 | nome=Eduarda | acao=participou da aula | valor=1696
linha=36 | nome=Lucas | acao=comparou as metricas | valor=1671
linha=37 | nome=Eduarda | acao=otimizou o algoritmo | valor=3599
linha=38 | nome=Natalia | acao=escreveu o relatorio | valor=1404
linha=39 | nome=Renata | acao=fez um experimento | valor=6525
linha=40 | nome=Gabriela | acao=analisou os resultados | valor=2348
linha=41 | nome=Bruno | acao=analisou os resultados | valor=3346
linha=42 | nome=Helena | acao=participou da aula | valor=5465
linha=43 | nome=Daniela | acao=analisou os resultados | valor=1983
linha=44 | nome=Gabriela | acao=comparou as metricas | valor=4312
linha=45 | nome=Sofia | acao=escreveu o relatorio | valor=1831
linha=46 | nome=Bruno | acao=estudou computacao | valor=1395
linha=47 | nome=Carlos | acao=fez um experimento | valor=7430
