linha=1 | nome=Vitor | acao=escreveu o relatorio | valor=1160
linha=2 | nome=Mariana | acao=estudou computacao | valor=9329
linha=3 | nome=Vitor | acao=executou o benchmark | valor=8109
linha=4 | nome=Karen | acao=estudou computacao | valor=4115
linha=5 | nome=Renata | acao=comparou as metricas | valor=1359
linha=6 | nome=Joao | acao=escreveu o relatorio | valor=6152
linha=7 | nome=Sofia | acao=analisou os resultados | valor=1170
linha=8 | nome=Paulo | acao=escreveu o relatorio | valor=1272
linha=9 | nome=Mariana | acao=escreveu o relatorio | valor=7222
linha=10 | nome=Lucas | acao=participou da aula | valor=5495
linha=11 | nome=Helena | acao=executou o benchmark | valor=4939
linha=12 | nome=Sofia | acao=comparou as metricas | valor=8483
linha=13 | nome=Vitor | acao=comparou as metricas | valor=5387
linha=14 | nome=Paulo | acao=comparou as metricas | valor=9458
linha=15 | nome=Carlos | acao=executou o benchmark | valor=9447
linha=16 | nome=Otavio | acao=fez um experimento | valor=4812
linha=17 | nome=Joao | acao=otimizou o algoritmo | valor=1786
linha=18 | nome=Helena | acao=comparou as metricas | valor=3177
linha=19 | nome=Helena | acao=otimizou o algoritmo | valor=3660
linha=20 | nome=Helena | acao=otimizou o algoritmo | valor=7225
linha=21 | nome=Carlos | acao=comparou as metricas | valor=4346
linha=22 | nome=Daniela | acao=escreveu o relatorio | valor=5338
linha=23 | nome=Sofia | acao=escreveu o relatorio | valor=7367
linha=24 | nome=Mariana | acao=participou da aula | valor=5070
linha=25 | nome=Felipe | acao=comparou as metricas | valor=9301
linha=26 | nome=Lucas | acao=fez um experimento | valor=7630
linha=27 | nome=Ana | acao=analisou os resultados | valor=3459
linha=28 | nome=Eduarda | acao=estudou computacao | valor=2753
linha=29 | nome=Renata | acao=comparou as metricas | valor=9749
linha=30 | nome=Tiago | acao=executou o benchmark | valor=3660
linha=31 | nome=Mariana | acao=escreveu o relatorio | valor=8145
linha=32 | nome=Otavio | acao=otimizou o algoritmo | valor=8515
linha=33 | nome=Karen | acao=escreveu o relatorio | valor=2413
linha=34 | nome=Renata | acao=otimizou o algoritmo | valor=5255
linha=35 | nome=Helena | acao=analisou os resultados | valor=6218
linha=36 | nome=Paulo | acao=otimizou o algoritmo | valor=6136
linha=37 | nome=Lucas | acao=escreveu o relatorio | valor=9881
linha=38 | nome=Otavio | acao=analisou os resultados | valor=7262
linha=39 | nome=Gabriela | acao=executou o benchmark | valor=4015
linha=40 | nome=Joao | acao=otimizou o algoritmo | valor=6613
linha=41 | nome=Daniela | acao=executou o benchmark | valor=7532
linha=42 | nome=Eduarda | acao=otimizou o algoritmo | valor=8829
linha=43 | nome=Karen | acao=executou o benchmark | valor=3582
linha=44 | nome=Igor | acao=escreveu o relatorio | valor=2094
