linha=1 | nome=Eduarda | acao=fez um experimento | valor=8369
linha=2 | nome=Ana | acao=fez um experimento | valor=7077
linha=3 | nome=Sofia | acao=comparou as metricas | valor=9403
linha=4 | nome=Daniela | acao=estudou computacao | valor=1740
linha=5 | nome=Carlos | acao=estudou computacao | valor=1773
linha=6 | nome=Natalia | acao=analisou os resultados | valor=5731
linha=7 | nome=Eduarda | acao=participou da aula | valor=2379
linha=8 | nome=Helena | acao=fez um experimento | valor=7294
linha=9 | nome=Renata | acao=comparou as metricas | valor=1365
linha=10 | nome=Felipe | acao=participou da aula | valor=7740
linha=11 | nome=Tiago | acao=executou o benchmark | valor=2527
linha=12 | nome=Vitor | acao=executou o benchmark | valor=4510
linha=13 | nome=Carlos | acao=analisou os resultados | valor=6753
linha=14 | nome=Igor | acao=analisou os resultados | valor=1303
linha=15 | nome=Helena | acao=participou da aula | valor=7974
linha=16 | nome=Felipe | acao=escreveu o relatorio | valor=3233
linha=17 | nome=Ana | acao=executou o benchmark | valor=7063
linha=18 | nome=Felipe | acao=executou o benchmark | valor=9691
linha=19 | nome=Paulo | acao=fez um experimento | valor=4077
linha=20 | nome=Mariana | acao=fez um experimento | valor=2962
linha=21 | nome=Renata | acao=fez um experimento | valor=9442
linha=22 | nome=Karen | acao=fez um experimento | valor=5517
linha=23 | nome=Bruno | acao=executou o benchmark | valor=7168
linha=24 | nome=Carlos | acao=comparou as metricas | valor=8619
linha=25 | nome=Lucas | acao=escreveu o relatorio | valor=9807
linha=26 | nome=Tiago | acao=escreveu o relatorio | valor=1376
linha=27 | nome=Karen | acao=otimizou o algoritmo | valor=9242
linha=28 | nome=Carlos | acao=participou da aula | valor=3496
linha=29 | nome=Helena | acao=analisou os resultados | valor=8871
linha=30 | nome=Carlos | acao=fez um experimento | valor=7630
linha=31 | nome=Felipe | acao=analisou os resultados | valor=5739
linha=32 | nome=Ana | acao=otimizou o algoritmo | valor=2266
linha=33 | nome=Lucas | acao=participou da aula | valor=5800
linha=34 | nome=Gabriela | acao=participou da aula | valor=7201
linha=35 | nome=Paulo | acao=escreveu o relatorio | valor=8903
linha=36 | nome=Renata | acao=estudou computacao | valor=1156
linha=37 | nome=Lucas | acao=participou da aula | valor=2772
linha=38 | nome=Karen | acao=comparou as metricas | valor=4774
linha=39 | nome=Helena | acao=estudou computacao | valor=8853
linha=40 | nome=Natalia | acao=participou da aula | valor=2965
linha=41 | nome=Otavio | acao=otimizou o algoritmo | valor=4980
linha=42 | nome=Sofia | acao=estudou computacao | valor=7614
linha=43 | nome=Vitor | acao=otimizou o algoritmo | valor=9317
linha=44 | nome=Igor | acao=executou o benchmark | valor=4202
linha=45 | nome=Carlos | acao=otimizou o algoritmo | valor=6150
linha=46 | nome=Ana | acao=escreveu o relatorio | valor=9650
linha=47 | nome=Tiago | acao=comparou as metricas | valor=4564
linha=48 | nome=Otavio | acao=comparou as metricas | valor=9568
linha=49 | nome=Karen | acao=comparou as metricas | valor=1554
linha=50 | nome=Vitor | acao=executou o benchmark | valor=9283
linha=51 | nome=Otavio | acao=estudou computacao | valor=9539
linha=52 | nome=Paulo | acao=comparou as metricas | valor=4259
linha=53 | nome=Natalia | acao=analisou os resultados | valor=1059
linha=54 | nome=Carlos | acao=estudou computacao | valor=2787
linha=55 | nome=Tiago | acao=analisou os resultados | valor=1789
linha=56 | nome=Gabriela | acao=escreveu o relatorio | valor=4933
linha=57 | nome=Lucas | acao=estudou computacao | valor=7561
linha=58 | nome=Igor | acao=comparou as metricas | valor=6787
linha=59 | nome=Carlos | acao=executou o benchmark | valor=9381
linha=60 | nome=Gabriela | acao=participou da aula | valor=2662
linha=61 | nome=Bruno | acao=comparou as metricas | valor=7988
linha=62 | nome=Tiago | acao=fez um experimento | valor=6561
linha=63 | nome=Ana | acao=otimizou o algoritmo | valor=5694
linha=64 | nome=Helena | acao=participou da aula | valor=5700
linha=65 | nome=Tiago | acao=executou o benchmark | valor=5500
linha=66 | nome=Helena | acao=escreveu o relatorio | valor=5141
linha=67 | nome=Vitor | acao=participou da aula | valor=9804
linha=68 | nome=Gabriela | acao=escreveu o relatorio | valor=9471
linha=69 | nome=Mariana | acao=comparou as metricas | valor=7321
linha=70 | nome=Helena | acao=estudou computacao | valor=8551
linha=71 | nome=Bruno | acao=fez um experimento | valor=5197
linha=72 | nome=Bruno | acao=fez um experimento | valor=6143
linha=73 | nome=Joao | acao=escreveu o relatorio | valor=7120
linha=74 | nome=Felipe | acao=escreveu o relatorio | valor=9290
linha=75 | nome=Carlos | acao=comparou as metricas | valor=1132
linha=76 | nome=Vitor | acao=fez um experimento | valor=5804
linha=77 | nome=Karen | acao=fez um experimento | valor=4686
linha=78 | nome=Mariana | acao=comparou as metricas | valor=9822
linha=79 | nome=Daniela | acao=estudou computacao | valor=2369
linha=80 | nome=Sofia | acao=otimizou o algoritmo | valor=8267
linha=81 | nome=Helena | acao=fez um experimento | valor=5989
linha=82 | nome=Ana | acao=comparou as metricas | valor=3823
linha=83 | nome=Karen | acao=otimizou o algoritmo | valor=8964
linha=84 | nome=Igor | acao=executou o benchmark | valor=1431
linha=85 | nome=Bruno | acao=comparou as metricas | valor=9579
linha=86 | nome=Otavio | acao=fez um experimento | valor=5800
linha=87 | nome=Paulo | acao=executou o benchmark | valor=3217
linha=88 | nome=Igor | acao=fez um experimento | valor=7816
linha=89 | nome=Renata | acao=estudou computacao | valor=1620
linha=90 | nome=Vitor | acao=comparou as metricas | valor=4435
linha=91 | nome=Natalia | acao=executou o benchmark | valor=7533
linha=92 | nome=Vitor | acao=escreveu o relatorio | valor=5528
linha=93 | nome=Eduarda | acao=fez um experimento | valor=3851
linha=94 | nome=Daniela | acao=otimizou o algoritmo | valor=2820
linha=95 | nome=Gabriela | acao=comparou as metricas | valor=9754
linha=96 | nome=Bruno | acao=estudou computacao | valor=1537
linha=97 | nome=Eduarda | acao=escreveu o relatorio | valor=3595
linha=98 | nome=Mariana | acao=otimizou o algoritmo | valor=7207
linha=99 | nome=Bruno | acao=escreveu o relatorio | valor=7511
linha=100 | nome=Igor | acao=executou o benchmark | valor=7835
linha=101 | nome=Igor | acao=otimizou o algoritmo | valor=7807
linha=102 | nome=Sofia | acao=executou o benchmark | valor=3929
linha=103 | nome=Tiago | acao=analisou os resultados | valor=1551
linha=104 | nome=Ana | acao=estudou computacao | valor=3204
linha=105 | nome=Gabriela | acao=otimizou o algoritmo | valor=6172
linha=106 | nome=Eduarda | acao=executou o benchmark | valor=7067
linha=107 | nome=Daniela | acao=analisou os resultados | valor=7540
linha=108 | nome=Ana | acao=escreveu o relatorio | valor=9345
linha=109 | nome=Igor | acao=executou o benchmark | valor=5488
linha=110 | nome=Renata | acao=otimizou o algoritmo | valor=6073
linha=111 | nome=Gabriela | acao=executou o benchmark | valor=4902
linha=112 | nome=Daniela | acao=escreveu o relatorio | valor=8018
linha=113 | nome=Gabriela | acao=estudou computacao | valor=1498
linha=114 | nome=Bruno | acao=otimizou o algoritmo | valor=8273
linha=115 | nome=Helena | acao=comparou as metricas | valor=1758
linha=116 | nome=Tiago | acao=fez um experimento | valor=2955
linha=117 | nome=Lucas | acao=escreveu o relatorio | valor=3181
linha=118 | nome=Felipe | acao=participou da aula | valor=7664
linha=119 | nome=Sofia | acao=comparou as metricas | valor=2026
linha=120 | nome=Natalia | acao=analisou os resultados | valor=6462
linha=121 | nome=Gabriela | acao=otimizou o algoritmo | valor=2649
linha=122 | nome=Vitor | acao=estudou computacao | valor=9663
linha=123 | nome=Joao | acao=otimizou o algoritmo | valor=5980
linha=124 | nome=Joao | acao=escreveu o relatorio | valor=7644
linha=125 | nome=Renata | acao=participou da aula | valor=5719
linha=126 | nome=Vitor | acao=estudou computacao | valor=9051
linha=127 | nome=Helena | acao=executou o benchmark | valor=9283
linha=128 | nome=Bruno | acao=otimizou o algoritmo | valor=9107
linha=129 | nome=Mariana | acao=escreveu o relatorio | valor=3182
linha=130 | nome=Mariana | acao=fez um experimento | valor=4609
linha=131 | nome=Felipe | acao=fez um experimento | valor=5109
linha=132 | nome=Carlos | acao=fez um experimento | valor=8136
linha=133 | nome=Daniela | acao=escreveu o relatorio | valor=4368
linha=134 | nome=Daniela | acao=fez um experimento | valor=4127
linha=135 | nome=Paulo | acao=comparou as metricas | valor=6594
linha=136 | nome=Sofia | acao=participou da aula | valor=2725
linha=137 | nome=Paulo | acao=estudou computacao | valor=9538
linha=138 | nome=Paulo | acao=otimizou o algoritmo | valor=7162
linha=139 | nome=Mariana | acao=analisou os resultados | valor=1187
linha=140 | nome=Helena | acao=fez um experimento | valor=5335
linha=141 | nome=Sofia | acao=fez um experimento | valor=4603
linha=142 | nome=Karen | acao=executou o benchmark | valor=9185
linha=143 | nome=Daniela | acao=escreveu o relatorio | valor=8305
linha=144 | nome=Lucas | acao=otimizou o algoritmo | valor=4413
linha=145 | nome=Karen | acao=comparou as metricas | valor=1221
linha=146 | nome=Paulo | acao=participou da aula | valor=3194
linha=147 | nome=Felipe | acao=executou o benchmark | valor=9672
linha=148 | nome=Gabriela | acao=executou o benchmark | valor=1830
linha=149 | nome=Bruno | acao=otimizou o algoritmo | valor=6142
linha=150 | nome=Daniela | acao=comparou as metricas | valor=6002
linha=151 | nome=Lucas | acao=executou o benchmark | valor=1860
linha=152 | nome=Carlos | acao=analisou os resultados | valor=7714
linha=153 | nome=Joao | acao=participou da aula | valor=9082
linha=154 | nome=Bruno | acao=comparou as metricas | valor=1004
linha=155 | nome=Bruno | acao=analisou os resultados | valor=6627
linha=156 | nome=Tiago | acao=otimizou o algoritmo | valor=5733
linha=157 | nome=Bruno | acao=executou o benchmark | valor=2586
linha=158 | nome=Joao | acao=comparou as metricas | valor=1633
linha=159 | nome=Paulo | acao=fez um experimento | valor=2382
linha=160 | nome=Karen | acao=analisou os resultados | valor=2237
linha=161 | nome=Tiago | acao=estudou computacao | valor=1288
linha=162 | nome=Joao | acao=escreveu o relatorio | valor=7790
linha=163 | nome=Felipe | acao=executou o benchmark | valor=1740
linha=164 | nome=Tiago | acao=otimizou o algoritmo | valor=6723
linha=165 | nome=Mariana | acao=estudou computacao | valor=1919
linha=166 | nome=Mariana | acao=executou o benchmark | valor=2597
