linha=1 | nome=Igor | acao=comparou as metricas | valor=7119
linha=2 | nome=Otavio | acao=executou o benchmark | valor=5881
linha=3 | nome=Felipe | acao=analisou os resultados | valor=1966
linha=4 | nome=Tiago | acao=estudou computacao | valor=4666
linha=5 | nome=Igor | acao=executou o benchmark | valor=4893
linha=6 | nome=Helena | acao=escreveu o relatorio | valor=3094
linha=7 | nome=Felipe | acao=executou o benchmark | valor=8359
linha=8 | nome=Vitor | acao=otimizou o algoritmo | valor=4503
linha=9 | nome=Sofia | acao=fez um experimento | valor=5573
linha=10 | nome=Vitor | acao=participou da aula | valor=3383
linha=11 | nome=Gabriela | acao=fez um experimento | valor=8361
linha=12 | nome=Natalia | acao=escreveu o relatorio | valor=2212
linha=13 | nome=Vitor | acao=participou da aula | valor=6737
linha=14 | nome=Natalia | acao=analisou os resultados | valor=9520
linha=15 | nome=Mariana | acao=fez um experimento | valor=2912
linha=16 | nome=Eduarda | acao=executou o benchmark | valor=7022
linha=17 | nome=Ana | acao=executou o benchmark | valor=9827
linha=18 | nome=Karen | acao=otimizou o algoritmo | valor=2920
linha=19 | nome=Vitor | acao=fez um experimento | valor=2783
linha=20 | nome=Ana | acao=comparou as metricas | valor=1537
linha=21 | nome=Sofia | acao=estudou computacao | valor=4356
linha=22 | nome=Mariana | acao=escreveu o relatorio | valor=2147
linha=23 | nome=Otavio | acao=executou o benchmark | valor=2908
linha=24 | nome=Gabriela | acao=comparou as metricas | valor=6098
linha=25 | nome=Natalia | acao=fez um experimento | valor=2061
linha=26 | nome=Igor | acao=otimizou o algoritmo | valor=2856
linha=27 | nome=Paulo | acao=fez um experimento | valor=9447
linha=28 | nome=Sofia | acao=comparou as metricas | valor=7595
linha=29 | nome=Igor | acao=fez um experimento | valor=6246
linha=30 | nome=Renata | acao=executou o benchmark | valor=6621
linha=31 | nome=Mariana | acao=otimizou o algoritmo | valor=4403
linha=32 | nome=Carlos | acao=executou o benchmark | valor=6050
linha=33 | nome=Renata | acao=executou o benchmark | valor=3232
linha=34 | nome=Lucas | acao=otimizou o algoritmo | valor=7755
linha=35 | nome=Joao | acao=analisou os resultados | valor=4821
linha=36 | nome=Gabriela | acao=analisou os resultados | valor=2699
linha=37 | nome=Sofia | acao=escreveu o relatorio | valor=5641
linha=38 | nome=Felipe | acao=participou da aula | valor=9401
linha=39 | nome=Paulo | acao=fez um experimento | valor=3664
linha=40 | nome=Helena | acao=executou o benchmark | valor=6800
linha=41 | nome=Mariana | acao=estudou computacao | valor=5590
linha=42 | nome=Vitor | acao=comparou as metricas | valor=5809
linha=43 | nome=Helena | acao=escreveu o relatorio | valor=3256
linha=44 | nome=Sofia | acao=escreveu o relatorio | valor=1181
linha=45 | nome=Tiago | acao=otimizou o algoritmo | valor=3788
linha=46 | nome=Renata | acao=participou da aula | valor=6835
linha=47 | nome=Lucas | acao=executou o benchmark | valor=8489
linha=48 | nome=Bruno | acao=participou da aula | valor=5530
linha=49 | nome=Gabriela | acao=participou da aula | valor=8557
linha=50 | nome=Felipe | acao=executou o benchmark | valor=6902
linha=51 | nome=Joao | acao=executou o benchmark | valor=1450
linha=52 | nome=Mariana | acao=executou o benchmark | valor=1304
linha=53 | nome=Paulo | acao=executou o benchmark | valor=4699
linha=54 | nome=Igor | acao=analisou os resultados | valor=4301
