linha=1 | nome=Tiago | acao=executou o benchmark | valor=4960
linha=2 | nome=Igor | acao=analisou os resultados | valor=6215
linha=3 | nome=Gabriela | acao=analisou os resultados | valor=4181
linha=4 | nome=Lucas | acao=comparou as metricas | valor=6145
linha=5 | nome=Gabriela | acao=comparou as metricas | valor=9717
linha=6 | nome=Natalia | acao=participou da aula | valor=4487
linha=7 | nome=Mariana | acao=participou da aula | valor=3303
linha=8 | nome=Otavio | acao=participou da aula | valor=6787
linha=9 | nome=Carlos | acao=executou o benchmark | valor=5581
linha=10 | nome=Ana | acao=fez um experimento | valor=6708
linha=11 | nome=Carlos | acao=otimizou o algoritmo | valor=8023
linha=12 | nome=Natalia | acao=escreveu o relatorio | valor=6497
linha=13 | nome=Igor | acao=fez um experimento | valor=6963
linha=14 | nome=Lucas | acao=comparou as metricas | valor=4448
linha=15 | nome=Igor | acao=executou o benchmark | valor=4191
linha=16 | nome=Felipe | acao=estudou computacao | valor=5298
linha=17 | nome=Felipe | acao=analisou os resultados | valor=4097
linha=18 | nome=Felipe | acao=fez um experimento | valor=1005
linha=19 | nome=Lucas | acao=analisou os resultados | valor=1170
linha=20 | nome=Helena | acao=executou o benchmark | valor=7701
linha=21 | nome=Vitor | acao=participou da aula | valor=9985
linha=22 | nome=Helena | acao=otimizou o algoritmo | valor=2437
linha=23 | nome=Paulo | acao=comparou as metricas | valor=9353
linha=24 | nome=Tiago | acao=executou o benchmark | valor=9405
linha=25 | nome=Paulo | acao=otimizou o algoritmo | valor=5792
linha=26 | nome=Eduarda | acao=escreveu o relatorio | valor=5074
linha=27 | nome=Renata | acao=participou da aula | valor=2269
linha=28 | nome=Natalia | acao=escreveu o relatorio | valor=9969
linha=29 | nome=Carlos | acao=fez um experimento | valor=3000
linha=30 | nome=Vitor | acao=estudou computacao | valor=8273
linha=31 | nome=Renata | acao=fez um experimento | valor=5042
linha=32 | nome=Joao | acao=escreveu o relatorio | valor=1136
linha=33 | nome=Paulo | acao=estudou computacao | valor=9287
linha=34 | nome=Bruno | acao=escreveu o relatorio | valor=7264
linha=35 | nome=Mariana | acao=executou o benchmark | valor=2348
linha=36 | nome=Mariana | acao=executou o benchmark | valor=2955
linha=37 | nome=Sofia | acao=participou da aula | valor=3001
linha=38 | nome=Carlos | acao=escreveu o relatorio | valor=8271
linha=39 | nome=Mariana | acao=fez um experimento | valor=8753
linha=40 | nome=Natalia | acao=comparou as metricas | valor=6435
linha=41 | nome=Daniela | acao=analisou os resultados | valor=1687
linha=42 | nome=Igor | acao=participou da aula | valor=2243
linha=43 | nome=Helena | acao=executou o benchmark | valor=4442
linha=44 | nome=Helena | acao=estudou computacao | valor=8770
linha=45 | nome=Carlos | acao=executou o benchmark | valor=1282
linha=46 | nome=Carlos | acao=comparou as metricas | valor=2110
linha=47 | nome=Ana | acao=executou o benchmark | valor=5662
linha=48 | nome=Mariana | acao=executou o benchmark | valor=4164
linha=49 | nome=Ana | acao=escreveu o relatorio | valor=3698
linha=50 | nome=Carlos | acao=comparou as metricas | valor=9866
linha=51 | nome=Mariana | acao=analisou os resultados | valor=6781
linha=52 | nome=Natalia | acao=escreveu o relatorio | valor=4994
linha=53 | nome=Daniela | acao=escreveu o relatorio | valor=1242
linha=54 | nome=Sofia | acao=analisou os resultados | valor=2186
linha=55 | nome=Felipe | acao=otimizou o algoritmo | valor=1203
linha=56 | nome=Natalia | acao=estudou computacao | valor=5818
linha=57 | nome=Bruno | acao=comparou as metricas | valor=9680
linha=58 | nome=Igor | acao=executou o benchmark | valor=4002
linha=59 | nome=Carlos | acao=comparou as metricas | valor=4048
linha=60 | nome=Eduarda | acao=analisou os resultados | valor=7653
linha=61 | nome=Vitor | acao=estudou computacao | valor=4477
linha=62 | nome=Otavio | acao=escreveu o relatorio | valor=5393
linha=63 | nome=Gabriela | acao=participou da aula | valor=4714
linha=64 | nome=Paulo | acao=estudou computacao | valor=1540
linha=65 | nome=Renata | acao=otimizou o algoritmo | valor=9034
linha=66 | nome=Karen | acao=comparou as metricas | valor=2042
linha=67 | nome=Sofia | acao=otimizou o algoritmo | valor=6286
linha=68 | nome=Mariana | acao=escreveu o relatorio | valor=7083
linha=69 | nome=Bruno | acao=escreveu o relatorio | valor=9666
linha=70 | nome=Otavio | acao=escreveu o relatorio | valor=8864
linha=71 | nome=Bruno | acao=comparou as metricas | valor=1478
linha=72 | nome=Daniela | acao=executou o benchmark | valor=4013
