linha=1 | nome=Natalia | acao=otimizou o algoritmo | valor=7255
linha=2 | nome=Bruno | acao=analisou os resultados | valor=9823
linha=3 | nome=Lucas | acao=fez um experimento | valor=4487
linha=4 | nome=Felipe | acao=escreveu o relatorio | valor=8636
linha=5 | nome=Paulo | acao=fez um experimento | valor=2359
linha=6 | nome=Lucas | acao=comparou as metricas | valor=3417
linha=7 | nome=Eduarda | acao=analisou os resultados | valor=4002
linha=8 | nome=Renata | acao=participou da aula | valor=1616
linha=9 | nome=Ana | acao=escreveu o relatorio | valor=9787
linha=10 | nome=Joao | acao=participou da aula | valor=8209
linha=11 | nome=Paulo | acao=executou o benchmark | valor=5578
linha=12 | nome=Daniela | acao=escreveu o relatorio | valor=8358
linha=13 | nome=Paulo | acao=participou da aula | valor=2456
linha=14 | nome=Tiago | acao=fez um experimento | valor=5763
linha=15 | nome=Karen | acao=comparou as metricas | valor=6480
linha=16 | nome=Helena | acao=escreveu o relatorio | valor=5692
linha=17 | nome=Felipe | acao=otimizou o algoritmo | valor=9527
linha=18 | nome=Eduarda | acao=otimizou o algoritmo | valor=6682
linha=19 | nome=Paulo | acao=otimizou o algoritmo | valor=1942
linha=20 | nome=Carlos | acao=otimizou o algoritmo | valor=6631
linha=21 | nome=Vitor | acao=participou da aula | valor=1901
linha=22 | nome=Felipe | acao=escreveu o relatorio | valor=7603
linha=23 | nome=Ana | acao=executou o benchmark | valor=5633
linha=24 | nome=Paulo | acao=otimizou o algoritmo | valor=9584
linha=25 | nome=Gabriela | acao=fez um experimento | valor=1146
linha=26 | nome=Gabriela | acao=otimizou o algoritmo | valor=8231
linha=27 | nome=Vitor | acao=fez um experimento | valor=5636
linha=28 | nome=Joao | acao=estudou computacao | valor=5629
linha=29 | nome=Otavio | acao=analisou os resultados | valor=9375
linha=30 | nome=Joao | acao=executou o benchmark | valor=9419
linha=31 | nome=Renata | acao=otimizou o algoritmo | valor=3312
linha=32 | nome=Gabriela | acao=otimizou o algoritmo | valor=5865
linha=33 | nome=Daniela | acao=participou da aula | valor=6943
linha=34 | nome=Mariana | acao=escreveu o relatorio | valor=6813
linha=35 | nome=Felipe | acao=analisou os resultados | valor=4163
linha=36 | nome=Otavio | acao=executou o benchmark | valor=4739
linha=37 | nome=Bruno | acao=escreveu o relatorio | valor=4753
linha=38 | nome=Eduarda | acao=estudou computacao | valor=1675
linha=39 | nome=Bruno | acao=otimizou o algoritmo | valor=5140
linha=40 | nome=Helena | acao=escreveu o relatorio | valor=8453
linha=41 | nome=Eduarda | acao=escreveu o relatorio | valor=1898
linha=42 | nome=Daniela | acao=executou o benchmark | valor=7196
linha=43 | nome=Paulo | acao=estudou computacao | valor=4648
linha=44 | nome=Vitor | acao=otimizou o algoritmo | valor=3590
linha=45 | nome=Sofia | acao=comparou as metricas | valor=5282
linha=46 | nome=Eduarda | acao=executou o benchmark | valor=1615
linha=47 | nome=Sofia | acao=executou o benchmark | valor=6922
linha=48 | nome=Felipe | acao=executou o benchmark | valor=6282
linha=49 | nome=Natalia | acao=analisou os resultados | valor=5313
linha=50 | nome=Paulo | acao=otimizou o algoritmo | valor=4297
linha=51 | nome=Joao | acao=executou o benchmark | valor=7706
linha=52 | nome=Gabriela | acao=escreveu o relatorio | valor=5184
linha=53 | nome=Natalia | acao=fez um experimento | valor=6976
linha=54 | nome=Helena | acao=participou da aula | valor=7024
linha=55 | nome=Lucas | acao=analisou os resultados | valor=8510
linha=56 | nome=Karen | acao=executou o benchmark | valor=6647
linha=57 | nome=Helena | acao=comparou as metricas | valor=8756
linha=58 | nome=Sofia | acao=escreveu o relatorio | valor=6586
linha=59 | nome=Carlos | acao=estudou computacao | valor=8991
linha=60 | nome=Carlos | acao=comparou as metricas | valor=7177
linha=61 | nome=Otavio | acao=comparou as metricas | valor=5545
linha=62 | nome=Lucas | acao=participou da aula | valor=8019
linha=63 | nome=Otavio | acao=comparou as metricas | valor=8586
linha=64 | nome=Vitor | acao=escreveu o relatorio | valor=9661
linha=65 | nome=Natalia | acao=comparou as metricas | valor=9341
linha=66 | nome=Daniela | acao=otimizou o algoritmo | valor=9909
linha=67 | nome=Igor | acao=executou o benchmark | valor=1600
linha=68 | nome=Igor | acao=escreveu o relatorio | valor=2369
linha=69 | nome=Lucas | acao=estudou computacao | valor=4976
linha=70 | nome=Lucas | acao=escreveu o relatorio | valor=2216
linha=71 | nome=Eduarda | acao=estudou computacao | valor=1677
linha=72 | nome=Helena | acao=escreveu o relatorio | valor=3292
linha=73 | nome=Lucas | acao=estudou computacao | valor=4693
linha=74 | nome=Bruno | acao=participou da aula | valor=8937
linha=75 | nome=Helena | acao=participou da aula | valor=5026
linha=76 | nome=Gabriela | acao=comparou as metricas | valor=4946
linha=77 | nome=Tiago | acao=otimizou o algoritmo | valor=8360
linha=78 | nome=Vitor | acao=fez um experimento | valor=2568
linha=79 | nome=Paulo | acao=participou da aula | valor=1318
linha=80 | nome=Joao | acao=otimizou o algoritmo | valor=8825
linha=81 | nome=Karen | acao=fez um experimento | valor=7139
linha=82 | nome=Eduarda | acao=estudou computacao | valor=3274
linha=83 | nome=Carlos | acao=otimizou o algoritmo | valor=4920
linha=84 | nome=Mariana | acao=escreveu o relatorio | valor=4962
linha=85 | nome=Otavio | acao=escreveu o relatorio | valor=1702
linha=86 | nome=Gabriela | acao=otimizou o algoritmo | valor=3477
linha=87 | nome=Helena | acao=escreveu o relatorio | valor=5393
linha=88 | nome=Otavio | acao=comparou as metricas | valor=7946
linha=89 | nome=Helena | acao=participou da aula | valor=4154
linha=90 | nome=Ana | acao=estudou computacao | valor=4410
linha=91 | nome=Felipe | acao=escreveu o relatorio | valor=3289
linha=92 | nome=Bruno | acao=analisou os resultados | valor=9247
linha=93 | nome=Paulo | acao=participou da aula | valor=2042
linha=94 | nome=Felipe | acao=participou da aula | valor=7678
linha=95 | nome=Karen | acao=otimizou o algoritmo | valor=1697
linha=96 | nome=Otavio | acao=comparou as metricas | valor=1335
linha=97 | nome=Ana | acao=fez um experimento | valor=9871
linha=98 | nome=Mariana | acao=analisou os resultados | valor=1090
linha=99 | nome=Lucas | acao=estudou computacao | valor=7800
linha=100 | nome=Eduarda | acao=estudou computacao | valor=2706
linha=101 | nome=Sofia | acao=estudou computacao | valor=3982
linha=102 | nome=Daniela | acao=otimizou o algoritmo | valor=7986
linha=103 | nome=Tiago | acao=comparou as metricas | valor=3332
linha=104 | nome=Felipe | acao=comparou as metricas | valor=5385
linha=105 | nome=Felipe | acao=executou o benchmark | valor=3128
linha=106 | nome=Otavio | acao=escreveu o relatorio | valor=8601
linha=107 | nome=Ana | acao=fez um experimento | valor=6574
linha=108 | nome=Felipe | acao=analisou os resultados | valor=9382
linha=109 | nome=Renata | acao=executou o benchmark | valor=3325
linha=110 | nome=Ana | acao=participou da aula | valor=8073
linha=111 | nome=Mariana | acao=executou o benchmark | valor=1990
linha=112 | nome=Carlos | acao=otimizou o algoritmo | valor=1642
linha=113 | nome=Paulo | acao=otimizou o algoritmo | valor=8758
linha=114 | nome=Sofia | acao=fez um experimento | valor=8550
linha=115 | nome=Renata | acao=estudou computacao | valor=6378
linha=116 | nome=Felipe | acao=fez um experimento | valor=5343
linha=117 | nome=Joao | acao=executou o benchmark | valor=3761
linha=118 | nome=Sofia | acao=estudou computacao | valor=3976
linha=119 | nome=Carlos | acao=fez um experimento | valor=1819
linha=120 | nome=Natalia | acao=fez um experimento | valor=6925
linha=121 | nome=Igor | acao=participou da aula | valor=3375
linha=122 | nome=Felipe | acao=fez um experimento | valor=8406
linha=123 | nome=Ana | acao=analisou os resultados | valor=1306
linha=124 | nome=Tiago | acao=fez um experimento | valor=7683
linha=125 | nome=Karen | acao=executou o benchmark | valor=9132
linha=126 | nome=Otavio | acao=escreveu o relatorio | valor=1482
linha=127 | nome=Lucas | acao=executou o benchmark | valor=4225
linha=128 | nome=Felipe | acao=participou da aula | valor=8275
linha=129 | nome=Tiago | acao=executou o benchmark | valor=9850
linha=130 | nome=Sofia | acao=estudou computacao | valor=3449
linha=131 | nome=Carlos | acao=analisou os resultados | valor=3601
linha=132 | nome=Sofia | acao=otimizou o algoritmo | valor=5682
linha=133 | nome=Daniela | acao=participou da aula | valor=2443
linha=134 | nome=Igor | acao=fez um experimento | valor=5957
linha=135 | nome=Gabriela | acao=estudou computacao | valor=5165
linha=136 | nome=Carlos | acao=comparou as metricas | valor=3676
linha=137 | nome=Natalia | acao=estudou computacao | valor=2750
linha=138 | nome=Ana | acao=participou da aula | valor=3343
linha=139 | nome=Joao | acao=otimizou o algoritmo | valor=7805
linha=140 | nome=Paulo | acao=participou da aula | valor=9945
linha=141 | nome=Sofia | acao=escreveu o relatorio | valor=7701
linha=142 | nome=Igor | acao=executou o benchmark | valor=8535
linha=143 | nome=Renata | acao=comparou as metricas | valor=1694
linha=144 | nome=Tiago | acao=comparou as metricas | valor=1328
linha=145 | nome=Sofia | acao=comparou as metricas | valor=7155
linha=146 | nome=Ana | acao=executou o benchmark | valor=6673
linha=147 | nome=Karen | acao=fez um experimento | valor=9446
linha=148 | nome=Lucas | acao=otimizou o algoritmo | valor=9830
linha=149 | nome=Renata | acao=escreveu o relatorio | valor=3052
linha=150 | nome=Karen | acao=participou da aula | valor=7693
linha=151 | nome=Eduarda | acao=escreveu o relatorio | valor=6812
linha=152 | nome=Daniela | acao=fez um experimento | valor=1643
linha=153 | nome=Daniela | acao=participou da aula | valor=4270
linha=154 | nome=Daniela | acao=executou o benchmark | valor=2155
linha=155 | nome=Karen | acao=escreveu o relatorio | valor=2796
linha=156 | nome=Ana | acao=otimizou o algoritmo | valor=9441
linha=157 | nome=Renata | acao=fez um experimento | valor=7420
linha=158 | nome=Tiago | acao=otimizou o algoritmo | valor=6697
linha=159 | nome=Bruno | acao=fez um experimento | valor=7529
linha=160 | nome=Karen | acao=analisou os resultados | valor=7041
linha=161 | nome=Sofia | acao=executou o benchmark | valor=8490
linha=162 | nome=Carlos | acao=comparou as metricas | valor=6610
linha=163 | nome=Eduarda | acao=executou o benchmark | valor=8668
linha=164 | nome=Eduarda | acao=estudou computacao | valor=8876
linha=165 | nome=Tiago | acao=participou da aula | valor=5251
linha=166 | nome=Carlos | acao=estudou computacao | valor=5877
linha=167 | nome=Tiago | acao=escreveu o relatorio | valor=2961
linha=168 | nome=Joao | acao=escreveu o relatorio | valor=3978
linha=169 | nome=Renata | acao=escreveu o relatorio | valor=5038
linha=170 | nome=Carlos | acao=analisou os resultados | valor=4751
linha=171 | nome=Natalia | acao=fez um experimento | valor=6658
linha=172 | nome=Karen | acao=participou da aula | valor=5275
linha=173 | nome=Joao | acao=comparou as metricas | valor=4968
linha=174 | nome=Joao | acao=escreveu o relatorio | valor=5774
linha=175 | nome=Felipe | acao=executou o benchmark | valor=7267
linha=176 | nome=Carlos | acao=escreveu o relatorio | valor=7984
linha=177 | nome=Joao | acao=otimizou o algoritmo | valor=8764
linha=178 | nome=Natalia | acao=otimizou o algoritmo | valor=8290
linha=179 | nome=Eduarda | acao=analisou os resultados | valor=5381
linha=180 | nome=Natalia | acao=otimizou o algoritmo | valor=4036
linha=181 | nome=Paulo | acao=comparou as metricas | valor=3566
linha=182 | nome=Daniela | acao=escreveu o relatorio | valor=9778
linha=183 | nome=Tiago | acao=executou o benchmark | valor=5136
linha=184 | nome=Karen | acao=otimizou o algoritmo | valor=4220
linha=185 | nome=Tiago | acao=comparou as metricas | valor=8901
linha=186 | nome=Felipe | acao=estudou computacao | valor=1368
linha=187 | nome=Gabriela | acao=participou da aula | valor=6160
linha=188 | nome=Carlos | acao=otimizou o algoritmo | valor=6647
linha=189 | nome=Mariana | acao=executou o benchmark | valor=5340
linha=190 | nome=Mariana | acao=escreveu o relatorio | valor=8691
linha=191 | nome=Vitor | acao=participou da aula | valor=3762
linha=192 | nome=Renata | acao=escreveu o relatorio | valor=2983
linha=193 | nome=Igor | acao=executou o benchmark | valor=1900
linha=194 | nome=Igor | acao=escreveu o relatorio | valor=4908
linha=195 | nome=Natalia | acao=escreveu o relatorio | valor=8454
linha=196 | nome=Felipe | acao=comparou as metricas | valor=3982
linha=197 | nome=Daniela | acao=participou da aula | valor=9932
linha=198 | nome=Joao | acao=executou o benchmark | valor=7649
linha=199 | nome=Ana | acao=estudou computacao | valor=4600
linha=200 | nome=Ana | acao=fez um experimento | valor=4105
linha=201 | nome=Tiago | acao=otimizou o algoritmo | valor=6845
linha=202 | nome=Vitor | acao=participou da aula | valor=1934
linha=203 | nome=Gabriela | acao=comparou as metricas | valor=9073
linha=204 | nome=Igor | acao=otimizou o algoritmo | valor=5453
linha=205 | nome=Paulo | acao=escreveu o relatorio | valor=7807
linha=206 | nome=Daniela | acao=executou o benchmark | valor=3940
linha=207 | nome=Paulo | acao=escreveu o relatorio | valor=1609
linha=208 | nome=Carlos | acao=escreveu o relatorio | valor=4190
linha=209 | nome=Bruno | acao=fez um experimento | valor=7184
linha=210 | nome=Bruno | acao=participou da aula | valor=7055
linha=211 | nome=Gabriela | acao=executou o benchmark | valor=8365
linha=212 | nome=Ana | acao=comparou as metricas | valor=6037
linha=213 | nome=Mariana | acao=comparou as metricas | valor=4683
linha=214 | nome=Bruno | acao=estudou computacao | valor=8675
linha=215 | nome=Natalia | acao=estudou computacao | valor=5643
linha=216 | nome=Paulo | acao=analisou os resultados | valor=3140
linha=217 | nome=Karen | acao=otimizou o algoritmo | valor=4459
linha=218 | nome=Helena | acao=executou o benchmark | valor=4814
linha=219 | nome=Ana | acao=otimizou o algoritmo | valor=2350
linha=220 | nome=Joao | acao=escreveu o relatorio | valor=4996
linha=221 | nome=Vitor | acao=analisou os resultados | valor=9082
linha=222 | nome=Gabriela | acao=fez um experimento | valor=1935
linha=223 | nome=Otavio | acao=otimizou o algoritmo | valor=6624
linha=224 | nome=Felipe | acao=fez um experimento | valor=8552
linha=225 | nome=Natalia | acao=executou o benchmark | valor=3138
linha=226 | nome=Bruno | acao=executou o benchmark | valor=1621
linha=227 | nome=Ana | acao=executou o benchmark | valor=9012
linha=228 | nome=Mariana | acao=escreveu o relatorio | valor=5611
linha=229 | nome=Tiago | acao=participou da aula | valor=9214
linha=230 | nome=Natalia | acao=executou o benchmark | valor=7258
linha=231 | nome=Gabriela | acao=executou o benchmark | valor=5453
linha=232 | nome=Joao | acao=analisou os resultados | valor=1014
linha=233 | nome=Helena | acao=executou o benchmark | valor=3742
linha=234 | nome=Mariana | acao=otimizou o algoritmo | valor=7192
linha=235 | nome=Lucas | acao=escreveu o relatorio | valor=6413
linha=236 | nome=Mariana | acao=escreveu o relatorio | valor=8399
linha=237 | nome=Otavio | acao=escreveu o relatorio | valor=6368
linha=238 | nome=Sofia | acao=fez um experimento | valor=3115
linha=239 | nome=Daniela | acao=fez um experimento | valor=9685
linha=240 | nome=Joao | acao=fez um experimento | valor=2454
linha=241 | nome=Mariana | acao=fez um experimento | valor=5308
linha=242 | nome=Helena | acao=otimizou o algoritmo | valor=6921
linha=243 | nome=Eduarda | acao=participou da aula | valor=1595
linha=244 | nome=Paulo | acao=comparou as metricas | valor=1820
linha=245 | nome=Lucas | acao=fez um experimento | valor=9217
linha=246 | nome=Paulo | acao=estudou computacao | valor=4271
linha=247 | nome=Lucas | acao=analisou os resultados | valor=1623
linha=248 | nome=Tiago | acao=comparou as metricas | valor=1806
linha=249 | nome=Vitor | acao=otimizou o algoritmo | valor=8749
linha=250 | nome=Sofia | acao=executou o benchmark | valor=4997
linha=251 | nome=Eduarda | acao=fez um experimento | valor=4120
linha=252 | nome=Bruno | acao=executou o benchmark | valor=7939
linha=253 | nome=Gabriela | acao=estudou computacao | valor=5192
linha=254 | nome=Carlos | acao=otimizou o algoritmo | valor=5242
linha=255 | nome=Natalia | acao=escreveu o relatorio | valor=9652
linha=256 | nome=Sofia | acao=estudou computacao | valor=7922
linha=257 | nome=Igor | acao=escreveu o relatorio | valor=3962
linha=258 | nome=Lucas | acao=fez um experimento | valor=9338
linha=259 | nome=Mariana | acao=otimizou o algoritmo | valor=6639
linha=260 | nome=Paulo | acao=otimizou o algoritmo | valor=6559
linha=261 | nome=Bruno | acao=comparou as metricas | valor=7418
linha=262 | nome=Lucas | acao=escreveu o relatorio | valor=9991
linha=263 | nome=Sofia | acao=estudou computacao | valor=6857
linha=264 | nome=Daniela | acao=escreveu o relatorio | valor=7172
linha=265 | nome=Gabriela | acao=comparou as metricas | valor=2801
linha=266 | nome=Helena | acao=escreveu o relatorio | valor=9988
linha=267 | nome=Vitor | acao=analisou os resultados | valor=9978
linha=268 | nome=Renata | acao=estudou computacao | valor=6517
linha=269 | nome=Gabriela | acao=fez um experimento | valor=7679
linha=270 | nome=Daniela | acao=fez um experimento | valor=4172
linha=271 | nome=Felipe | acao=analisou os resultados | valor=9644
linha=272 | nome=Helena | acao=participou da aula | valor=2922
linha=273 | nome=Igor | acao=estudou computacao | valor=3401
linha=274 | nome=Karen | acao=analisou os resultados | valor=5408
linha=275 | nome=Renata | acao=estudou computacao | valor=8981
linha=276 | nome=Karen | acao=estudou computacao | valor=1742
linha=277 | nome=Joao | acao=participou da aula | valor=6213
linha=278 | nome=Gabriela | acao=comparou as metricas | valor=9799
linha=279 | nome=Daniela | acao=fez um experimento | valor=5080
linha=280 | nome=Eduarda | acao=estudou computacao | valor=3021
linha=281 | nome=Natalia | acao=participou da aula | valor=7763
linha=282 | nome=Carlos | acao=fez um experimento | valor=9830
linha=283 | nome=Otavio | acao=participou da aula | valor=8702
linha=284 | nome=Karen | acao=executou o benchmark | valor=9627
linha=285 | nome=Daniela | acao=participou da aula | valor=5242
linha=286 | nome=Helena | acao=comparou as metricas | valor=9128
linha=287 | nome=Igor | acao=otimizou o algoritmo | valor=4478
linha=288 | nome=Gabriela | acao=estudou computacao | valor=5264
linha=289 | nome=Daniela | acao=comparou as metricas | valor=6708
linha=290 | nome=Bruno | acao=comparou as metricas | valor=2424
linha=291 | nome=Vitor | acao=otimizou o algoritmo | valor=6918
linha=292 | nome=Natalia | acao=escreveu o relatorio | valor=9072
linha=293 | nome=Gabriela | acao=analisou os resultados | valor=9198
linha=294 | nome=Paulo | acao=fez um experimento | valor=5321
linha=295 | nome=Felipe | acao=fez um experimento | valor=5860
linha=296 | nome=Ana | acao=escreveu o relatorio | valor=1448
linha=297 | nome=Bruno | acao=escreveu o relatorio | valor=5496
linha=298 | nome=Carlos | acao=comparou as metricas | valor=6367
linha=299 | nome=Felipe | acao=participou da aula | valor=4573
linha=300 | nome=Helena | acao=escreveu o relatorio | valor=5987
linha=301 | nome=Karen | acao=participou da aula | valor=2381
linha=302 | nome=Helena | acao=analisou os resultados | valor=8575
linha=303 | nome=Igor | acao=participou da aula | valor=6817
linha=304 | nome=Bruno | acao=participou da aula | valor=3371
linha=305 | nome=Eduarda | acao=comparou as metricas | valor=8496
