linha=1 | nome=Bruno | acao=comparou as metricas | valor=1604
linha=2 | nome=Otavio | acao=fez um experimento | valor=5689
linha=3 | nome=Helena | acao=comparou as metricas | valor=2735
linha=4 | nome=Gabriela | acao=participou da aula | valor=6272
linha=5 | nome=Tiago | acao=executou o benchmark | valor=8703
linha=6 | nome=Paulo | acao=escreveu o relatorio | valor=1537
linha=7 | nome=Bruno | acao=fez um experimento | valor=8567
linha=8 | nome=Tiago | acao=estudou computacao | valor=1678
linha=9 | nome=Mariana | acao=fez um experimento | valor=7611
linha=10 | nome=Helena | acao=escreveu o relatorio | valor=5709
linha=11 | nome=Helena | acao=fez um experimento | valor=2531
linha=12 | nome=Gabriela | acao=comparou as metricas | valor=1155
linha=13 | nome=Paulo | acao=otimizou o algoritmo | valor=4918
linha=14 | nome=Lucas | acao=executou o benchmark | valor=7984
linha=15 | nome=Carlos | acao=escreveu o relatorio | valor=5221
linha=16 | nome=Igor | acao=estudou computacao | valor=9528
linha=17 | nome=Ana | acao=comparou as metricas | valor=9189
linha=18 | nome=Karen | acao=otimizou o algoritmo | valor=5964
linha=19 | nome=Otavio | acao=fez um experimento | valor=6002
linha=20 | nome=Natalia | acao=comparou as metricas | valor=8182
linha=21 | nome=Otavio | acao=escreveu o relatorio | valor=3818
linha=22 | nome=Bruno | acao=fez um experimento | valor=6907
linha=23 | nome=Daniela | acao=estudou computacao | valor=4012
linha=24 | nome=Lucas | acao=participou da aula | valor=3369
linha=25 | nome=Sofia | acao=estudou computacao | valor=8706
linha=26 | nome=Joao | acao=analisou os resultados | valor=3708
linha=27 | nome=Tiago | acao=estudou computacao | valor=8827
linha=28 | nome=Lucas | acao=executou o benchmark | valor=6543
linha=29 | nome=Lucas | acao=otimizou o algoritmo | valor=3341
linha=30 | nome=Otavio | acao=otimizou o algoritmo | valor=8209
linha=31 | nome=Lucas | acao=comparou as metricas | valor=2761
linha=32 | nome=Eduarda | acao=participou da aula | valor=9070
linha=33 | nome=Sofia | acao=escreveu o relatorio | valor=3978
linha=34 | nome=Renata | acao=otimizou o algoritmo | valor=1206
linha=35 | nome=Bruno | acao=participou da aula | valor=3706
linha=36 | nome=Renata | acao=executou o benchmark | valor=2515
linha=37 | nome=Renata | acao=analisou os resultados | valor=8278
linha=38 | nome=Natalia | acao=estudou computacao | valor=4660
linha=39 | nome=Karen | acao=executou o benchmark | valor=7308
linha=40 | nome=Sofia | acao=executou o benchmark | valor=7287
linha=41 | nome=Otavio | acao=participou da aula | valor=8961
linha=42 | nome=Karen | acao=fez um experimento | valor=8732
linha=43 | nome=Sofia | acao=analisou os resultados | valor=1872
linha=44 | nome=Renata | acao=executou o benchmark | valor=6646
linha=45 | nome=Eduarda | acao=escreveu o relatorio | valor=5333
linha=46 | nome=Felipe | acao=analisou os resultados | valor=4816
linha=47 | nome=Felipe | acao=estudou computacao | valor=8668
linha=48 | nome=Natalia | acao=comparou as metricas | valor=2272
linha=49 | nome=Joao | acao=comparou as metricas | valor=8339
linha=50 | nome=Igor | acao=fez um experimento | valor=8396
linha=51 | nome=Renata | acao=comparou as metricas | valor=6491
linha=52 | nome=Carlos | acao=participou da aula | valor=1841
linha=53 | nome=Natalia | acao=fez um experimento | valor=5004
linha=54 | nome=Helena | acao=escreveu o relatorio | valor=6275
linha=55 | nome=Tiago | acao=executou o benchmark | valor=1420
linha=56 | nome=Gabriela | acao=analisou os resultados | valor=7709
linha=57 | nome=Renata | acao=comparou as metricas | valor=6976
linha=58 | nome=Vitor | acao=comparou as metricas | valor=3052
linha=59 | nome=Eduarda | acao=executou o benchmark | valor=8892
linha=60 | nome=Eduarda | acao=executou o benchmark | valor=6571
linha=61 | nome=Helena | acao=executou o benchmark | valor=7247
linha=62 | nome=Karen | acao=estudou computacao | valor=8484
linha=63 | nome=Felipe | acao=comparou as metricas | valor=6945
linha=64 | nome=Natalia | acao=estudou computacao | valor=3819
linha=65 | nome=Bruno | acao=fez um experimento | valor=6641
linha=66 | nome=Eduarda | acao=escreveu o relatorio | valor=1166
linha=67 | nome=Paulo | acao=otimizou o algoritmo | valor=4931
linha=68 | nome=Otavio | acao=analisou os resultados | valor=4011
linha=69 | nome=Tiago | acao=otimizou o algoritmo | valor=8348
linha=70 | nome=Eduarda | acao=fez um experimento | valor=5862
linha=71 | nome=Paulo | acao=estudou computacao | valor=9121
linha=72 | nome=Gabriela | acao=executou o benchmark | valor=8555
linha=73 | nome=Mariana | acao=participou da aula | valor=5649
linha=74 | nome=Joao | acao=fez um experimento | valor=3107
linha=75 | nome=Lucas | acao=participou da aula | valor=9709
linha=76 | nome=Mariana | acao=participou da aula | valor=5049
linha=77 | nome=Daniela | acao=estudou computacao | valor=2195
linha=78 | nome=Igor | acao=otimizou o algoritmo | valor=6132
linha=79 | nome=Sofia | acao=executou o benchmark | valor=4092
linha=80 | nome=Paulo | acao=executou o benchmark | valor=2768
linha=81 | nome=Sofia | acao=estudou computacao | valor=6293
linha=82 | nome=Lucas | acao=comparou as metricas | valor=4826
linha=83 | nome=Helena | acao=estudou computacao | valor=4494
linha=84 | nome=Daniela | acao=fez um experimento | valor=3418
linha=85 | nome=Paulo | acao=fez um experimento | valor=9310
linha=86 | nome=Eduarda | acao=estudou computacao | valor=2611
linha=87 | nome=Natalia | acao=fez um experimento | valor=2814
linha=88 | nome=Lucas | acao=executou o benchmark | valor=9509
linha=89 | nome=Paulo | acao=otimizou o algoritmo | valor=5156
linha=90 | nome=Paulo | acao=escreveu o relatorio | valor=5920
linha=91 | nome=Igor | acao=escreveu o relatorio | valor=4551
linha=92 | nome=Renata | acao=analisou os resultados | valor=9370
linha=93 | nome=Otavio | acao=escreveu o relatorio | valor=8722
linha=94 | nome=Karen | acao=analisou os resultados | valor=9508
linha=95 | nome=Igor | acao=analisou os resultados | valor=4411
linha=96 | nome=Joao | acao=estudou computacao | valor=1689
linha=97 | nome=Sofia | acao=executou o benchmark | valor=1335
linha=98 | nome=Karen | acao=estudou computacao | valor=2342
linha=99 | nome=Ana | acao=executou o benchmark | valor=8041
linha=100 | nome=Natalia | acao=analisou os resultados | valor=2186
linha=101 | nome=Mariana | acao=escreveu o relatorio | valor=9836
linha=102 | nome=Renata | acao=escreveu o relatorio | valor=3753
linha=103 | nome=Helena | acao=otimizou o algoritmo | valor=2265
linha=104 | nome=Daniela | acao=participou da aula | valor=6493
linha=105 | nome=Ana | acao=escreveu o relatorio | valor=9369
linha=106 | nome=Helena | acao=participou da aula | valor=1847
linha=107 | nome=Karen | acao=estudou computacao | valor=9039
linha=108 | nome=Sofia | acao=estudou computacao | valor=4257
linha=109 | nome=Vitor | acao=otimizou o algoritmo | valor=8764
linha=110 | nome=Karen | acao=comparou as metricas | valor=6782
