linha=1 | nome=Vitor | acao=otimizou o algoritmo | valor=7002
linha=2 | nome=Ana | acao=executou o benchmark | valor=9771
linha=3 | nome=Natalia | acao=escreveu o relatorio | valor=3781
linha=4 | nome=Igor | acao=escreveu o relatorio | valor=4449
linha=5 | nome=Joao | acao=otimizou o algoritmo | valor=2527
linha=6 | nome=Karen | acao=comparou as metricas | valor=8545
linha=7 | nome=Gabriela | acao=executou o benchmark | valor=2925
linha=8 | nome=Ana | acao=comparou as metricas | valor=7542
linha=9 | nome=Carlos | acao=fez um experimento | valor=2117
linha=10 | nome=Renata | acao=comparou as metricas | valor=3022
linha=11 | nome=Lucas | acao=participou da aula | valor=1674
linha=12 | nome=Joao | acao=otimizou o algoritmo | valor=3374
linha=13 | nome=Felipe | acao=comparou as metricas | valor=7148
linha=14 | nome=Carlos | acao=participou da aula | valor=3425
linha=15 | nome=Karen | acao=estudou computacao | valor=3644
linha=16 | nome=Vitor | acao=comparou as metricas | valor=6401
linha=17 | nome=Igor | acao=estudou computacao | valor=4890
linha=18 | nome=Mariana | acao=fez um experimento | valor=4881
linha=19 | nome=Natalia | acao=escreveu o relatorio | valor=9008
linha=20 | nome=Otavio | acao=executou o benchmark | valor=6189
linha=21 | nome=Eduarda | acao=fez um experimento | valor=9188
linha=22 | nome=Joao | acao=comparou as metricas | valor=1411
linha=23 | nome=Vitor | acao=analisou os resultados | valor=2857
linha=24 | nome=Renata | acao=estudou computacao | valor=6875
linha=25 | nome=Mariana | acao=participou da aula | valor=4865
linha=26 | nome=Karen | acao=fez um experimento | valor=6223
linha=27 | nome=Vitor | acao=estudou computacao | valor=3158
linha=28 | nome=Paulo | acao=executou o benchmark | valor=8779
linha=29 | nome=Mariana | acao=estudou computacao | valor=7629
linha=30 | nome=Vitor | acao=escreveu o relatorio | valor=2679
linha=31 | nome=Joao | acao=otimizou o algoritmo | valor=8695
linha=32 | nome=Gabriela | acao=executou o benchmark | valor=9660
linha=33 | nome=Renata | acao=comparou as metricas | valor=5166
linha=34 | nome=Helena | acao=analisou os resultados | valor=7259
linha=35 | nome=Lucas | acao=participou da aula | valor=6052
linha=36 | nome=Bruno | acao=otimizou o algoritmo | valor=9531
linha=37 | nome=Sofia | acao=executou o benchmark | valor=8555
linha=38 | nome=Eduarda | acao=analisou os resultados | valor=7092
linha=39 | nome=Tiago | acao=executou o benchmark | valor=9845
linha=40 | nome=Lucas | acao=escreveu o relatorio | valor=1012
