linha=1 | nome=Carlos | acao=estudou computacao | valor=1547
linha=2 | nome=Helena | acao=participou da aula | valor=4287
linha=3 | nome=Mariana | acao=fez um experimento | valor=8043
linha=4 | nome=Otavio | acao=comparou as metricas | valor=7766
linha=5 | nome=Tiago | acao=escreveu o relatorio | valor=8272
linha=6 | nome=Carlos | acao=otimizou o algoritmo | valor=2140
linha=7 | nome=Mariana | acao=fez um experimento | valor=3981
linha=8 | nome=Bruno | acao=escreveu o relatorio | valor=3353
linha=9 | nome=Daniela | acao=estudou computacao | valor=2487
linha=10 | nome=Daniela | acao=estudou computacao | valor=8472
linha=11 | nome=Mariana | acao=escreveu o relatorio | valor=2784
linha=12 | nome=Paulo | acao=executou o benchmark | valor=1923
linha=13 | nome=Helena | acao=analisou os resultados | valor=2156
linha=14 | nome=Ana | acao=participou da aula | valor=1745
linha=15 | nome=Eduarda | acao=otimizou o algoritmo | valor=9295
linha=16 | nome=Bruno | acao=fez um experimento | valor=4287
linha=17 | nome=Lucas | acao=participou da aula | valor=4882
linha=18 | nome=Bruno | acao=fez um experimento | valor=5857
linha=19 | nome=Eduarda | acao=estudou computacao | valor=9892
linha=20 | nome=Vitor | acao=otimizou o algoritmo | valor=5068
linha=21 | nome=Natalia | acao=fez um experimento | valor=6819
linha=22 | nome=Gabriela | acao=escreveu o relatorio | valor=6066
linha=23 | nome=Tiago | acao=escreveu o relatorio | valor=1699
linha=24 | nome=Daniela | acao=fez um experimento | valor=6996
linha=25 | nome=Helena | acao=estudou computacao | valor=7245
linha=26 | nome=Daniela | acao=analisou os resultados | valor=8231
linha=27 | nome=Paulo | acao=otimizou o algoritmo | valor=6626
linha=28 | nome=Renata | acao=comparou as metricas | valor=4137
linha=29 | nome=Renata | acao=participou da aula | valor=7528
linha=30 | nome=Tiago | acao=escreveu o relatorio | valor=5326
linha=31 | nome=Renata | acao=escreveu o relatorio | valor=8155
linha=32 | nome=Igor | acao=otimizou o algoritmo | valor=6207
linha=33 | nome=Daniela | acao=escreveu o relatorio | valor=9328
linha=34 | nome=Mariana | acao=participou da aula | valor=2702
linha=35 | nome=Mariana | acao=executou o benchmark | valor=8916
linha=36 | nome=Lucas | acao=fez um experimento | valor=1168
linha=37 | nome=Daniela | acao=participou da aula | valor=3186
linha=38 | nome=Lucas | acao=analisou os resultados | valor=7103
linha=39 | nome=Mariana | acao=estudou computacao | valor=1102
linha=40 | nome=Mariana | acao=executou o benchmark | valor=2068
linha=41 | nome=Renata | acao=participou da aula | valor=8567
linha=42 | nome=Vitor | acao=fez um experimento | valor=5278
linha=43 | nome=Bruno | acao=fez um experimento | valor=3228
linha=44 | nome=Bruno | acao=executou o benchmark | valor=9028
linha=45 | nome=Ana | acao=fez um experimento | valor=8031
linha=46 | nome=Bruno | acao=otimizou o algoritmo | valor=3963
linha=47 | nome=Paulo | acao=comparou as metricas | valor=8660
linha=48 | nome=Daniela | acao=analisou os resultados | valor=4889
linha=49 | nome=Vitor | acao=escreveu o relatorio | valor=3999
linha=50 | nome=Bruno | acao=comparou as metricas | valor=2301
linha=51 | nome=Eduarda | acao=executou o benchmark | valor=9121
linha=52 | nome=Gabriela | acao=executou o benchmark | valor=4967
linha=53 | nome=Bruno | acao=escreveu o relatorio | valor=4067
linha=54 | nome=Otavio | acao=estudou computacao | valor=7968
linha=55 | nome=Tiago | acao=analisou os resultados | valor=7954
linha=56 | nome=Lucas | acao=otimizou o algoritmo | valor=1242
linha=57 | nome=Ana | acao=participou da aula | valor=2332
linha=58 | nome=Otavio | acao=escreveu o relatorio | valor=2364
linha=59 | nome=Natalia | acao=estudou computacao | valor=3689
linha=60 | nome=Mariana | acao=analisou os resultados | valor=8219
linha=61 | nome=Renata | acao=analisou os resultados | valor=9160
linha=62 | nome=Lucas | acao=fez um experimento | valor=2147
linha=63 | nome=Felipe | acao=escreveu o relatorio | valor=7193
linha=64 | nome=Carlos | acao=fez um experimento | valor=5268
linha=65 | nome=Mariana | acao=analisou os resultados | valor=6769
linha=66 | nome=Carlos | acao=otimizou o algoritmo | valor=1383
linha=67 | nome=Karen | acao=participou da aula | valor=7105
linha=68 | nome=Eduarda | acao=otimizou o algoritmo | valor=9053
linha=69 | nome=Sofia | acao=participou da aula | valor=4791
linha=70 | nome=Otavio | acao=comparou as metricas | valor=1449
linha=71 | nome=Karen | acao=estudou computacao | valor=3583
linha=72 | nome=Renata | acao=otimizou o algoritmo | valor=5360
linha=73 | nome=Eduarda | acao=estudou computacao | valor=3107
linha=74 | nome=Renata | acao=estudou computacao | valor=1765
linha=75 | nome=Igor | acao=escreveu o relatorio | valor=4786
linha=76 | nome=Carlos | acao=analisou os resultados | valor=8791
linha=77 | nome=Daniela | acao=executou o benchmark | valor=1720
linha=78 | nome=Sofia | acao=participou da aula | valor=8546
linha=79 | nome=Helena | acao=estudou computacao | valor=5064
linha=80 | nome=Felipe | acao=comparou as metricas | valor=4950
linha=81 | nome=Felipe | acao=comparou as metricas | valor=8015
linha=82 | nome=Bruno | acao=fez um experimento | valor=5478
linha=83 | nome=Felipe | acao=participou da aula | valor=4536
linha=84 | nome=Bruno | acao=escreveu o relatorio | valor=3636
linha=85 | nome=Mariana | acao=estudou computacao | valor=4238
linha=86 | nome=Karen | acao=otimizou o algoritmo | valor=9102
linha=87 | nome=Otavio | acao=participou da aula | valor=2069
linha=88 | nome=Natalia | acao=analisou os resultados | valor=7228
linha=89 | nome=Eduarda | acao=analisou os resultados | valor=3806
linha=90 | nome=Sofia | acao=fez um experimento | valor=3540
linha=91 | nome=Gabriela | acao=otimizou o algoritmo | valor=8008
linha=92 | nome=Karen | acao=otimizou o algoritmo | valor=7944
linha=93 | nome=Otavio | acao=participou da aula | valor=2841
linha=94 | nome=Mariana | acao=otimizou o algoritmo | valor=5068
linha=95 | nome=Paulo | acao=fez um experimento | valor=3355
linha=96 | nome=Tiago | acao=escreveu o relatorio | valor=8946
linha=97 | nome=Sofia | acao=fez um experimento | valor=3511
linha=98 | nome=Carlos | acao=estudou computacao | valor=6436
linha=99 | nome=Gabriela | acao=participou da aula | valor=4429
linha=100 | nome=Bruno | acao=analisou os resultados | valor=6640
linha=101 | nome=Eduarda | acao=participou da aula | valor=1314
linha=102 | nome=Lucas | acao=fez um experimento | valor=3046
linha=103 | nome=Igor | acao=fez um experimento | valor=8053
linha=104 | nome=Felipe | acao=participou da aula | valor=8698
linha=105 | nome=Ana | acao=executou o benchmark | valor=7130
linha=106 | nome=Bruno | acao=fez um experimento | valor=6719
linha=107 | nome=Eduarda | acao=escreveu o relatorio | valor=9703
linha=108 | nome=Mariana | acao=estudou computacao | valor=6981
linha=109 | nome=Mariana | acao=estudou computacao | valor=5231
linha=110 | nome=Ana | acao=executou o benchmark | valor=3088
linha=111 | nome=Ana | acao=participou da aula | valor=4321
linha=112 | nome=Igor | acao=participou da aula | valor=2538
linha=113 | nome=Lucas | acao=analisou os resultados | valor=3224
linha=114 | nome=Mariana | acao=executou o benchmark | valor=9137
linha=115 | nome=Sofia | acao=fez um experimento | valor=5434
linha=116 | nome=Daniela | acao=executou o benchmark | valor=2048
linha=117 | nome=Joao | acao=participou da aula | valor=6319
linha=118 | nome=Joao | acao=fez um experimento | valor=8711
linha=119 | nome=Tiago | acao=estudou computacao | valor=5884
linha=120 | nome=Renata | acao=analisou os resultados | valor=9024
linha=121 | nome=Otavio | acao=estudou computacao | valor=9645
linha=122 | nome=Eduarda | acao=executou o benchmark | valor=6245
linha=123 | nome=Joao | acao=fez um experimento | valor=6812
linha=124 | nome=Ana | acao=otimizou o algoritmo | valor=4612
linha=125 | nome=Bruno | acao=otimizou o algoritmo | valor=4122
linha=126 | nome=Lucas | acao=participou da aula | valor=5268
linha=127 | nome=Lucas | acao=estudou computacao | valor=4092
linha=128 | nome=Sofia | acao=participou da aula | valor=5777
linha=129 | nome=Paulo | acao=analisou os resultados | valor=1271
linha=130 | nome=Gabriela | acao=escreveu o relatorio | valor=3238
linha=131 | nome=Otavio | acao=otimizou o algoritmo | valor=3262
linha=132 | nome=Vitor | acao=fez um experimento | valor=9793
linha=133 | nome=Joao | acao=comparou as metricas | valor=3308
linha=134 | nome=Karen | acao=escreveu o relatorio | valor=2314
linha=135 | nome=Otavio | acao=otimizou o algoritmo | valor=6238
linha=136 | nome=Vitor | acao=executou o benchmark | valor=3599
linha=137 | nome=Paulo | acao=participou da aula | valor=5102
linha=138 | nome=Otavio | acao=estudou computacao | valor=5183
linha=139 | nome=Joao | acao=analisou os resultados | valor=3301
linha=140 | nome=Tiago | acao=comparou as metricas | valor=8296
linha=141 | nome=Igor | acao=participou da aula | valor=3511
linha=142 | nome=Mariana | acao=estudou computacao | valor=1930
linha=143 | nome=Ana | acao=comparou as metricas | valor=1821
linha=144 | nome=Tiago | acao=fez um experimento | valor=2987
linha=145 | nome=Felipe | acao=estudou computacao | valor=6267
linha=146 | nome=Helena | acao=otimizou o algoritmo | valor=2067
linha=147 | nome=Ana | acao=escreveu o relatorio | valor=4380
linha=148 | nome=Igor | acao=otimizou o algoritmo | valor=5953
linha=149 | nome=Otavio | acao=analisou os resultados | valor=8258
linha=150 | nome=Karen | acao=comparou as metricas | valor=3866
linha=151 | nome=Carlos | acao=participou da aula | valor=3990
linha=152 | nome=Karen | acao=executou o benchmark | valor=9745
linha=153 | nome=Ana | acao=participou da aula | valor=3614
linha=154 | nome=Tiago | acao=fez um experimento | valor=8840
linha=155 | nome=Lucas | acao=escreveu o relatorio | valor=6460
linha=156 | nome=Eduarda | acao=executou o benchmark | valor=6875
linha=157 | nome=Joao | acao=otimizou o algoritmo | valor=7819
linha=158 | nome=Sofia | acao=executou o benchmark | valor=9529
linha=159 | nome=Vitor | acao=executou o benchmark | valor=8547
linha=160 | nome=Lucas | acao=comparou as metricas | valor=3333
linha=161 | nome=Tiago | acao=otimizou o algoritmo | valor=1461
linha=162 | nome=Otavio | acao=comparou as metricas | valor=6542
linha=163 | nome=Felipe | acao=fez um experimento | valor=5050
linha=164 | nome=Mariana | acao=analisou os resultados | valor=3534
linha=165 | nome=Renata | acao=participou da aula | valor=9092
linha=166 | nome=Igor | acao=analisou os resultados | valor=6571
linha=167 | nome=Gabriela | acao=participou da aula | valor=7068
linha=168 | nome=Paulo | acao=analisou os resultados | valor=3810
linha=169 | nome=Felipe | acao=executou o benchmark | valor=4196
linha=170 | nome=Gabriela | acao=fez um experimento | valor=8046
linha=171 | nome=Renata | acao=participou da aula | valor=8726
linha=172 | nome=Tiago | acao=otimizou o algoritmo | valor=6616
linha=173 | nome=Ana | acao=comparou as metricas | valor=1425
linha=174 | nome=Paulo | acao=analisou os resultados | valor=9957
linha=175 | nome=Gabriela | acao=participou da aula | valor=5779
linha=176 | nome=Paulo | acao=fez um experimento | valor=8761
linha=177 | nome=Karen | acao=executou o benchmark | valor=8098
