=== BUSCA SEQUENCIAL ===
Diretorio: data/txt
Nome buscado: Mariana
Algoritmo: KMP
Arquivos analisados: 12
Ocorrencias encontradas: 828
Tempo: 46,431 ms
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 13 | Conteudo: linha=13 | nome=Mariana | acao=fez um experimento | valor=5094
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 21 | Conteudo: linha=21 | nome=Mariana | acao=analisou os resultados | valor=7983
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 57 | Conteudo: linha=57 | nome=Mariana | acao=analisou os resultados | valor=9410
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 72 | Conteudo: linha=72 | nome=Mariana | acao=estudou computacao | valor=2732
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 77 | Conteudo: linha=77 | nome=Mariana | acao=fez um experimento | valor=3802
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 117 | Conteudo: linha=117 | nome=Mariana | acao=fez um experimento | valor=7551
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 121 | Conteudo: linha=121 | nome=Mariana | acao=comparou as metricas | valor=9043
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 131 | Conteudo: linha=131 | nome=Mariana | acao=escreveu o relatorio | valor=9040
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 154 | Conteudo: linha=154 | nome=Mariana | acao=estudou computacao | valor=5630
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 167 | Conteudo: linha=167 | nome=Mariana | acao=otimizou o algoritmo | valor=1871
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 170 | Conteudo: linha=170 | nome=Mariana | acao=otimizou o algoritmo | valor=7935
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 173 | Conteudo: linha=173 | nome=Mariana | acao=comparou as metricas | valor=2992
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 196 | Conteudo: linha=196 | nome=Mariana | acao=executou o benchmark | valor=6005
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 208 | Conteudo: linha=208 | nome=Mariana | acao=otimizou o algoritmo | valor=8872
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 226 | Conteudo: linha=226 | nome=Mariana | acao=analisou os resultados | valor=2629
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 231 | Conteudo: linha=231 | nome=Mariana | acao=comparou as metricas | valor=7160
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 239 | Conteudo: linha=239 | nome=Mariana | acao=analisou os resultados | valor=1555
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 243 | Conteudo: linha=243 | nome=Mariana | acao=executou o benchmark | valor=9203
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 264 | Conteudo: linha=264 | nome=Mariana | acao=participou da aula | valor=7657
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 287 | Conteudo: linha=287 | nome=Mariana | acao=analisou os resultados | valor=6460
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 302 | Conteudo: linha=302 | nome=Mariana | acao=fez um experimento | valor=7517
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 328 | Conteudo: linha=328 | nome=Mariana | acao=executou o benchmark | valor=2168
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 337 | Conteudo: linha=337 | nome=Mariana | acao=estudou computacao | valor=4041
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 350 | Conteudo: linha=350 | nome=Mariana | acao=escreveu o relatorio | valor=8951
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 371 | Conteudo: linha=371 | nome=Mariana | acao=estudou computacao | valor=9257
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 384 | Conteudo: linha=384 | nome=Mariana | acao=analisou os resultados | valor=5570
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 387 | Conteudo: linha=387 | nome=Mariana | acao=otimizou o algoritmo | valor=5154
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 388 | Conteudo: linha=388 | nome=Mariana | acao=fez um experimento | valor=8503
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 390 | Conteudo: linha=390 | nome=Mariana | acao=otimizou o algoritmo | valor=6237
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 401 | Conteudo: linha=401 | nome=Mariana | acao=otimizou o algoritmo | valor=7715
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 417 | Conteudo: linha=417 | nome=Mariana | acao=fez um experimento | valor=6048
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 421 | Conteudo: linha=421 | nome=Mariana | acao=fez um experimento | valor=3035
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 430 | Conteudo: linha=430 | nome=Mariana | acao=participou da aula | valor=8940
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 432 | Conteudo: linha=432 | nome=Mariana | acao=executou o benchmark | valor=1066
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 444 | Conteudo: linha=444 | nome=Mariana | acao=executou o benchmark | valor=5804
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 473 | Conteudo: linha=473 | nome=Mariana | acao=analisou os resultados | valor=7820
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 498 | Conteudo: linha=498 | nome=Mariana | acao=escreveu o relatorio | valor=1174
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 518 | Conteudo: linha=518 | nome=Mariana | acao=otimizou o algoritmo | valor=1882
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 540 | Conteudo: linha=540 | nome=Mariana | acao=executou o benchmark | valor=4920
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 541 | Conteudo: linha=541 | nome=Mariana | acao=escreveu o relatorio | valor=3947
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 552 | Conteudo: linha=552 | nome=Mariana | acao=executou o benchmark | valor=2813
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 566 | Conteudo: linha=566 | nome=Mariana | acao=fez um experimento | valor=7482
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 576 | Conteudo: linha=576 | nome=Mariana | acao=otimizou o algoritmo | valor=1597
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 593 | Conteudo: linha=593 | nome=Mariana | acao=executou o benchmark | valor=7091
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 611 | Conteudo: linha=611 | nome=Mariana | acao=fez um experimento | valor=9575
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 633 | Conteudo: linha=633 | nome=Mariana | acao=fez um experimento | valor=2884
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 635 | Conteudo: linha=635 | nome=Mariana | acao=analisou os resultados | valor=1249
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 649 | Conteudo: linha=649 | nome=Mariana | acao=escreveu o relatorio | valor=6803
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 650 | Conteudo: linha=650 | nome=Mariana | acao=estudou computacao | valor=1898
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 659 | Conteudo: linha=659 | nome=Mariana | acao=fez um experimento | valor=4671
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 680 | Conteudo: linha=680 | nome=Mariana | acao=estudou computacao | valor=4045
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 687 | Conteudo: linha=687 | nome=Mariana | acao=executou o benchmark | valor=7517
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 689 | Conteudo: linha=689 | nome=Mariana | acao=otimizou o algoritmo | valor=7310
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 697 | Conteudo: linha=697 | nome=Mariana | acao=participou da aula | valor=1198
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 699 | Conteudo: linha=699 | nome=Mariana | acao=participou da aula | valor=4193
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 722 | Conteudo: linha=722 | nome=Mariana | acao=participou da aula | valor=4884
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 724 | Conteudo: linha=724 | nome=Mariana | acao=otimizou o algoritmo | valor=3226
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 725 | Conteudo: linha=725 | nome=Mariana | acao=participou da aula | valor=1534
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 742 | Conteudo: linha=742 | nome=Mariana | acao=comparou as metricas | valor=1795
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 758 | Conteudo: linha=758 | nome=Mariana | acao=participou da aula | valor=4954
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 779 | Conteudo: linha=779 | nome=Mariana | acao=fez um experimento | valor=8032
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 792 | Conteudo: linha=792 | nome=Mariana | acao=participou da aula | valor=8679
Arquivo: data/txt/lote_1/dados_001.txt | Linha: 797 | Conteudo: linha=797 | nome=Mariana | acao=estudou computacao | valor=2035
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 8 | Conteudo: linha=8 | nome=Mariana | acao=comparou as metricas | valor=8867
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 45 | Conteudo: linha=45 | nome=Mariana | acao=otimizou o algoritmo | valor=6516
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 65 | Conteudo: linha=65 | nome=Mariana | acao=estudou computacao | valor=3540
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 80 | Conteudo: linha=80 | nome=Mariana | acao=participou da aula | valor=8624
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 81 | Conteudo: linha=81 | nome=Mariana | acao=executou o benchmark | valor=1433
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 102 | Conteudo: linha=102 | nome=Mariana | acao=comparou as metricas | valor=5136
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 112 | Conteudo: linha=112 | nome=Mariana | acao=estudou computacao | valor=9179
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 123 | Conteudo: linha=123 | nome=Mariana | acao=analisou os resultados | valor=5000
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 127 | Conteudo: linha=127 | nome=Mariana | acao=otimizou o algoritmo | valor=3713
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 130 | Conteudo: linha=130 | nome=Mariana | acao=analisou os resultados | valor=5144
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 135 | Conteudo: linha=135 | nome=Mariana | acao=otimizou o algoritmo | valor=2580
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 138 | Conteudo: linha=138 | nome=Mariana | acao=estudou computacao | valor=1892
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 139 | Conteudo: linha=139 | nome=Mariana | acao=estudou computacao | valor=7036
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 156 | Conteudo: linha=156 | nome=Mariana | acao=analisou os resultados | valor=3405
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 183 | Conteudo: linha=183 | nome=Mariana | acao=escreveu o relatorio | valor=9019
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 191 | Conteudo: linha=191 | nome=Mariana | acao=comparou as metricas | valor=3595
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 219 | Conteudo: linha=219 | nome=Mariana | acao=estudou computacao | valor=3265
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 234 | Conteudo: linha=234 | nome=Mariana | acao=analisou os resultados | valor=8104
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 238 | Conteudo: linha=238 | nome=Mariana | acao=escreveu o relatorio | valor=9775
Arquivo: data/txt/lote_1/dados_002.txt | Linha: 244 | Conteudo: linha=244 | nome=Mariana | acao=estudou computacao | valor=9167
